 	elle	lui	posa	un	bandage	autour	de	sa	tête	blessée	</S>
w	0.789518	0.15868	0.0236071	0.0107335	0.000998083	0.00472283	0.0053592	0.00509232	0.00095287	0.000298204	3.75304e-05
a	0.838664	0.111445	0.00774042	0.018217	0.000267965	0.00280723	0.00634693	0.00703215	0.00551686	0.00192087	4.13686e-05
a	0.210375	0.570192	0.164689	0.0175139	0.00453666	0.00657451	0.00513406	0.00461495	0.00135695	0.00237431	0.0126385
d	0.0663221	0.398638	0.302333	0.095903	0.0474702	0.0243438	0.019173	0.00910393	0.00748835	0.00265182	0.0265727
í	0.017165	0.153049	0.743417	0.0319354	0.00294341	0.00634643	0.00557379	0.00202016	0.00112827	0.00162147	0.0347992
n	0.00322064	0.0296255	0.741226	0.0601927	0.0102229	0.011914	0.0135283	0.00586915	0.00416683	0.0074784	0.112555
g	0.0065355	0.0371008	0.900103	0.043549	0.000437378	0.00174594	0.0014439	0.00222325	0.000228599	0.0013483	0.00528391
í	0.00225264	0.0197855	0.913098	0.055466	0.00154934	0.00210838	0.00103666	0.00154628	0.000126609	0.000508292	0.00252263
l	0.0357502	0.0717445	0.192197	0.474191	0.0919988	0.0420131	0.0261952	0.0264624	0.0109358	0.0081249	0.0203873
í	0.00958163	0.0230828	0.633099	0.156882	0.0527901	0.0246574	0.0194462	0.0157413	0.00234497	0.0107713	0.0516034
w	0.00568654	0.0202079	0.117701	0.457669	0.240375	0.0610393	0.0301704	0.0215037	0.0128139	0.0193792	0.0134533
a	0.0187603	0.0243655	0.0733207	0.303085	0.306253	0.0645613	0.0673466	0.0762553	0.0201139	0.0139672	0.031971
e	0.00316926	0.00761629	0.0571155	0.263276	0.385114	0.0934673	0.0462508	0.0363923	0.0175533	0.0200141	0.0700309
t	0.000751973	0.00296848	0.0134832	0.0656678	0.804614	0.0650898	0.0161776	0.00692876	0.00414859	0.0037831	0.0163868
é	0.000230438	0.000467005	0.00105934	0.00769499	0.92434	0.0370593	0.0130718	0.0045326	0.00238191	0.00272315	0.0064393
n	0.000344436	0.00122678	0.00747048	0.0291714	0.549847	0.0477994	0.0212101	0.00912569	0.0104869	0.0200123	0.303306
d	0.00103863	0.00223929	0.0156728	0.0665643	0.55201	0.140294	0.0528522	0.030987	0.00773657	0.0303489	0.100256
i	0.00291758	0.00728773	0.0549495	0.20649	0.196043	0.284743	0.087719	0.0375744	0.00396176	0.0199144	0.0983997
m	0.00104873	0.00220975	0.008282	0.0429133	0.150714	0.455794	0.212671	0.0743322	0.0166351	0.0105246	0.0248758
ó	0.00562908	0.0138375	0.00319579	0.116484	0.0171475	0.259332	0.18504	0.230365	0.0943493	0.011197	0.0634234
i	0.00512008	0.00560643	0.00405669	0.0265665	0.0147774	0.187745	0.298493	0.262489	0.0606787	0.125006	0.00946084
b	0.000699166	0.00442043	0.0081536	0.00861548	0.0511145	0.249663	0.34033	0.166021	0.0972938	0.0513501	0.0223394
o	0.000478458	0.00304693	0.00188194	0.0107542	0.0183495	0.112805	0.178022	0.124533	0.52152	0.0188615	0.0097471
ó	0.000149498	0.000791359	0.00218876	0.00387441	0.0671334	0.351846	0.222728	0.114745	0.0888119	0.071073	0.0766595
l	0.000247804	0.00219377	0.00535968	0.0166557	0.00242497	0.0454409	0.166692	0.377929	0.232748	0.0516047	0.0987035
í	0.000576398	0.00229679	0.0172113	0.0262299	0.0191585	0.0740041	0.101613	0.190457	0.0652604	0.238953	0.264239
í	0.000620254	0.00192251	0.00446273	0.014129	0.00290754	0.0249476	0.0560076	0.159709	0.122702	0.54983	0.062762
d	0.000731026	0.00431369	0.0164171	0.0256111	0.00492242	0.0437022	0.0783769	0.141543	0.258822	0.360842	0.0647187
í	0.000616693	0.00629232	0.0520568	0.0294953	0.000659457	0.0175679	0.0457496	0.0794864	0.139536	0.402294	0.226245
l	7.55295e-05	0.000323592	0.0027895	0.00978912	0.000572223	0.00854606	0.04985	0.0834895	0.165372	0.434691	0.244502
a	0.000107991	0.000492693	0.00694301	0.00754688	0.00114786	0.0102826	0.0184487	0.0434982	0.0251261	0.496415	0.389991
p	0.000235122	0.00129866	0.00531219	0.00465466	0.00106724	0.00817316	0.0123357	0.0440135	0.0158652	0.809048	0.0979962
ó	0.000185495	0.000328574	0.0012874	0.00162341	0.0122211	0.0111692	0.039362	0.0587588	0.119795	0.501253	0.254016
r	5.68304e-05	9.7257e-05	0.000370949	0.000680963	0.018071	0.0161058	0.0410876	0.096158	0.0530662	0.437929	0.336377
á	0.000515825	0.000418061	0.00144905	0.00305682	0.0191918	0.04438	0.0818789	0.179305	0.0968308	0.313966	0.259008
</S>	0.000537383	0.000467491	0.000747032	0.00455433	0.00461951	0.0129709	0.0330414	0.095008	0.124616	0.277778	0.44566
