 	ngala	cuit	le	safou	</S>
n	0.979889	0.0101349	0.00682893	0.0027502	0.000396766
g	0.999011	0.00049837	0.000236751	0.000220882	3.33024e-05
a	0.992901	0.00116805	0.000742323	0.00506353	0.000125205
l	0.753503	0.0590588	0.035662	0.120192	0.031584
a	0.713712	0.102932	0.0561742	0.0353715	0.091811
l	0.0988963	0.288893	0.182105	0.0809683	0.349138
á	0.189304	0.483136	0.105543	0.0469456	0.175071
a	0.171954	0.460206	0.32328	0.0199171	0.0246431
k	0.0290646	0.724071	0.137053	0.064559	0.0452525
á	0.00207501	0.74378	0.217884	0.0091829	0.027078
n	0.00705371	0.412969	0.463886	0.0377236	0.0783677
g	0.00965345	0.265782	0.556185	0.0870934	0.0812861
á	0.246296	0.0795362	0.176739	0.388997	0.108432
l	0.00955006	0.0677917	0.539462	0.310832	0.0723632
e	0.00109783	0.0357214	0.0953373	0.455022	0.412822
s	0.00121265	0.0100232	0.046032	0.612946	0.329786
á	0.000329343	0.00799972	0.0418817	0.819853	0.129936
á	0.00360323	0.0128194	0.139916	0.506408	0.337253
</S>	0.00186331	0.0449886	0.0894479	0.231408	0.632293
