 	sors	de	ma	maison	</S>
p	0.534399	0.439006	0.0226208	0.00174884	0.00222538
f	0.744862	0.242054	0.00780814	0.00127955	0.00399627
ú	0.583438	0.305216	0.0399421	0.0459141	0.0254892
á	0.681766	0.260878	0.0278039	0.0154054	0.0141466
n	0.164614	0.447256	0.205529	0.00809471	0.174505
g	0.12272	0.117285	0.219308	0.424859	0.115828
á	0.0735901	0.0810245	0.158259	0.643215	0.0439111
s	0.15486	0.172767	0.432369	0.144662	0.0953416
á	0.0851816	0.193373	0.311294	0.211237	0.198915
n	0.108164	0.0935763	0.26286	0.484427	0.0509722
d	0.00674723	0.00602374	0.105617	0.869755	0.0118567
é	0.0071673	0.00621857	0.0789627	0.774846	0.132805
e	0.0321031	0.0635975	0.202276	0.429773	0.272251
</S>	0.0700927	0.0879049	0.298132	0.0999795	0.443891
