 	la	piqûre	de	la	courtilière	donne	des	démangeaisons	</S>
m	0.440183	0.314344	0.158996	0.052277	0.01882	0.00568915	0.00698858	0.00133122	0.00137125
i	0.0862075	0.101862	0.139434	0.073283	0.50183	0.012902	0.0205704	0.0060992	0.0578115
n	0.231632	0.518829	0.0884818	0.0592508	0.0768939	0.00731088	0.00381231	0.00193231	0.0118578
a	0.178383	0.536488	0.111605	0.0669335	0.0340657	0.00128766	0.0019583	0.0123834	0.0568961
m	0.379039	0.273385	0.198168	0.0734402	0.0179435	0.0102334	0.00568685	0.00339304	0.0387108
é	0.273813	0.172091	0.371616	0.0943005	0.0127416	0.0416934	0.00996954	0.0019101	0.0218641
s	0.225867	0.0699404	0.265206	0.165419	0.110567	0.050881	0.0237636	0.00962823	0.0787272
ε	0.0840581	0.0272922	0.235677	0.391319	0.0618154	0.0268853	0.0226745	0.0404291	0.109849
l	0.0612624	0.01695	0.265476	0.158875	0.0809694	0.144789	0.0496418	0.0179244	0.204111
í	0.183563	0.013458	0.152124	0.153363	0.0249266	0.126358	0.0651529	0.0211256	0.259928
s	0.0621524	0.00447504	0.263537	0.243067	0.265047	0.075658	0.0444811	0.00625116	0.035331
ε	0.0191651	0.0036254	0.150771	0.47811	0.165238	0.0700704	0.0199396	0.028394	0.0646868
m	0.0360186	0.0081541	0.219619	0.232593	0.116766	0.169581	0.0514722	0.0245918	0.141204
á	0.116159	0.0182241	0.175404	0.0902529	0.154549	0.333697	0.0543029	0.00213039	0.0552809
a	0.0331129	0.00236341	0.0775326	0.156087	0.404803	0.208477	0.048026	0.0152721	0.0543253
p	0.0061995	0.00153764	0.00456843	0.0166698	0.144319	0.518	0.200377	0.0369424	0.0713867
έ	0.0015168	0.00144777	0.0015122	0.0104461	0.015635	0.60231	0.165049	0.0808177	0.121265
έ	0.0064	0.00342693	0.0136556	0.0455283	0.0936291	0.308323	0.0933451	0.0800156	0.355677
n	0.00280638	0.000363895	0.0105756	0.0341843	0.163887	0.296499	0.372447	0.0404014	0.0788346
d	0.00603119	0.00103844	0.0280755	0.114329	0.140362	0.0653142	0.270948	0.262846	0.111055
z	0.00214375	0.0014485	0.0301697	0.152656	0.304351	0.0347367	0.108409	0.245948	0.120137
ó	0.000666563	0.00172371	0.00951777	0.0314213	0.0326173	0.0454869	0.0561895	0.651765	0.170612
r	0.00148906	0.0052996	0.0223264	0.0549867	0.027455	0.103306	0.0690641	0.30782	0.408253
o	0.00689509	0.0339808	0.019632	0.0368561	0.0255286	0.116665	0.0633412	0.325433	0.371667
s	0.00580625	0.00164711	0.017129	0.0369583	0.0565748	0.128419	0.117717	0.13001	0.505739
u	0.0214066	0.0248423	0.0382865	0.0355443	0.0217936	0.115458	0.115706	0.427641	0.199321
ε	0.00414242	0.00138013	0.0120606	0.0153036	0.0176095	0.049149	0.12704	0.258426	0.514889
</S>	0.00208847	0.000513377	0.00143886	0.00147075	0.0109934	0.0904482	0.175119	0.179239	0.538689
