 	je	ne	comprends	pas	ce	que	tu	dis	tu	bredouilles	</S>
n	0.443731	0.0836811	0.0385035	0.0559221	0.0893559	0.106912	0.137987	0.0148959	0.0281797	0.000405357	0.000426945
g	0.921776	0.00336642	0.00136812	0.00217208	0.0033478	0.00592195	0.0568684	0.0012194	0.00384545	8.4002e-05	3.043e-05
á	0.828367	0.014167	0.00329603	0.00145817	0.00153347	0.00294192	0.117846	0.00730305	0.0199015	0.00295299	0.000233142
i	0.0913105	0.107383	0.139214	0.0720344	0.0542522	0.0592377	0.112427	0.0612236	0.134372	0.0263759	0.14217
d	0.0375448	0.351558	0.176495	0.0303465	0.00846642	0.00582025	0.0152082	0.0452942	0.055151	0.126698	0.147418
í	0.190393	0.422275	0.092312	0.0225024	0.0146681	0.016998	0.00580388	0.124967	0.00750716	0.0258842	0.0766894
o	0.026385	0.284612	0.203875	0.176224	0.105981	0.0720028	0.00989906	0.0681268	0.00887858	0.0100657	0.0339496
k	0.00444621	0.300642	0.616421	0.0456309	0.00679596	0.00213515	0.000681421	0.00472597	0.000249342	0.0136883	0.00458401
o	0.000303292	0.227084	0.598683	0.0713788	0.0184805	0.00381854	0.000256873	0.00799933	0.00061838	0.0589592	0.012418
b	0.000301051	0.0856202	0.591388	0.184005	0.0677082	0.0134341	0.00140262	0.00841236	0.00111712	0.0222842	0.0243263
h	0.00309129	0.0617772	0.440472	0.268537	0.119946	0.052954	0.00665962	0.0113433	0.000994508	0.0027611	0.0314632
á	0.00601952	0.0264518	0.146136	0.249956	0.276747	0.144909	0.00890858	0.0193276	0.00593141	0.00912953	0.106483
y	0.011384	0.0121766	0.0724791	0.201116	0.261168	0.327576	0.0608147	0.0458073	0.00290869	0.000560922	0.0040079
é	0.0103672	0.00798046	0.0286652	0.20128	0.356123	0.274288	0.0632229	0.0291396	0.0104849	0.0038673	0.0145809
é	0.0065547	0.003678	0.0103137	0.135758	0.315849	0.291306	0.112315	0.0651071	0.0267068	0.0160151	0.0163975
s	0.00289869	0.0442918	0.0995424	0.296312	0.196294	0.0982114	0.059631	0.130824	0.0107139	0.0386471	0.0226335
ε	0.00313747	0.0123728	0.0255366	0.134021	0.205487	0.124291	0.0316061	0.202727	0.00886639	0.131237	0.120718
r	0.00035517	0.00841243	0.0252	0.201251	0.357692	0.0860999	0.0183349	0.141314	0.00364578	0.0524768	0.105218
έ	0.000633669	0.0117063	0.0555777	0.250414	0.268647	0.108915	0.0895998	0.0628654	0.0102906	0.0397151	0.101636
n	0.000889558	0.00345625	0.00796107	0.0569581	0.161764	0.170802	0.199844	0.315579	0.0480087	0.0131896	0.0215485
ω	0.0208128	0.00193842	0.00342954	0.0183134	0.0538898	0.0536882	0.67493	0.06524	0.0671813	0.0109107	0.0296653
k	0.000595377	0.00157416	0.00360549	0.036388	0.126925	0.0934681	0.220756	0.335279	0.0923323	0.0370024	0.0520734
a	0.00299577	0.0167178	0.0118689	0.130997	0.199756	0.254368	0.085891	0.178615	0.0367953	0.00756031	0.0744352
á	0.00107394	0.00257829	0.00314801	0.0203021	0.0513337	0.0819455	0.0995649	0.34809	0.141518	0.0682544	0.182192
n	0.000670641	0.00236994	0.00181691	0.00411455	0.0096813	0.0153407	0.0630926	0.22345	0.425835	0.16688	0.0867488
ω	0.0185089	0.00218864	0.00133474	0.00372713	0.0144575	0.016452	0.342903	0.0856906	0.370913	0.0461668	0.0976579
l	0.000425624	0.00084219	0.00141769	0.0113137	0.0278129	0.0135982	0.0484887	0.173691	0.177566	0.302381	0.242464
ó	0.00188589	0.00487541	0.00511535	0.0136075	0.0185565	0.0153373	0.0200751	0.0874246	0.0672989	0.262706	0.503118
o	0.000434492	0.00119896	0.00312732	0.0207308	0.0519054	0.0514941	0.0217906	0.0623143	0.0534287	0.600424	0.133152
t	2.3642e-05	0.00223103	0.0027895	0.00288132	0.00238713	0.000848578	0.000847318	0.0107445	0.00794416	0.920979	0.0483242
i	5.92283e-06	0.00178108	0.00277802	0.00288352	0.00180241	0.00059884	0.000666217	0.00865668	0.00801108	0.87008	0.102736
á	2.81118e-05	0.00265219	0.00616013	0.0162929	0.018072	0.0079087	0.00475211	0.0277498	0.0177372	0.589626	0.309021
s	0.00170804	0.0022754	0.00737198	0.019445	0.0299174	0.0420475	0.0758714	0.0892975	0.283707	0.167316	0.281042
ó	0.000550708	0.000300586	0.000909823	0.00232573	0.00377787	0.00301498	0.0028728	0.0117126	0.0440211	0.762483	0.168031
n	0.00100675	0.000563132	0.0012489	0.0101855	0.0311743	0.0378736	0.0371608	0.0320545	0.10757	0.60544	0.135723
ω	0.00216834	0.000116714	0.000335423	0.00139042	0.00656897	0.0118163	0.0758259	0.0219872	0.182711	0.55463	0.142449
ω	0.000454798	0.000647543	0.00157603	0.00638993	0.0175756	0.0336097	0.0489084	0.111455	0.118065	0.171176	0.490143
</S>	0.00139091	0.0047064	0.00883133	0.0227281	0.0264708	0.0125196	0.00675148	0.0183021	0.0215658	0.441402	0.435331
