 	l'	oiseau	s'	est	envolé	loin	dans	les	air	</S>
n	0.680474	0.225213	0.0504102	0.0165196	0.000800476	0.00717787	0.00547256	0.0127579	0.000721363	0.000452949
y	0.0793071	0.917928	0.00263759	3.6829e-05	3.59194e-07	1.15443e-05	4.02041e-05	2.90374e-05	6.43817e-06	3.09763e-06
ω	0.064023	0.907689	0.0172931	0.00316684	7.02957e-05	0.00120208	0.00540009	0.000788217	0.000193956	0.00017354
s	0.00190388	0.996774	0.000774358	6.80141e-05	2.07438e-05	0.000212209	7.50133e-05	2.35569e-05	6.17961e-06	0.000141594
í	0.12419	0.186556	0.370372	0.054264	0.00398314	0.0322946	0.0693319	0.00969596	0.00284274	0.146469
á	0.144204	0.0105234	0.683566	0.143259	0.00298004	0.00474302	0.00162007	0.00245867	0.000325609	0.00632051
m	0.00523396	0.0131974	0.267817	0.55031	0.0693623	0.0628849	0.0145149	0.00450927	0.00236219	0.00980801
i	0.00853495	0.000912282	0.0878985	0.418783	0.331757	0.104669	0.0179077	0.00521414	0.00127635	0.0230477
f	0.00114929	0.000348319	0.0188338	0.263647	0.670062	0.0351259	0.00430799	0.000421321	0.00105555	0.00504906
u	0.000629974	6.01245e-05	0.00612935	0.217092	0.698	0.0535369	0.00987101	0.00118846	0.00536395	0.00812825
b	0.000884893	0.000411665	0.00510782	0.190742	0.67699	0.0114078	0.0265902	0.0042921	0.0131877	0.0703852
á	0.169963	0.00483055	0.0720911	0.252087	0.060577	0.0333839	0.149049	0.151463	0.0119249	0.0946309
á	0.0518009	0.00241761	0.0747945	0.068046	0.140413	0.320998	0.174913	0.0852388	0.0318874	0.0494918
i	0.00285077	0.000169097	0.0144838	0.025277	0.0492506	0.487987	0.340491	0.0641993	0.00557545	0.00971542
k	0.00083041	0.000259763	0.0030312	0.0153361	0.372682	0.205525	0.115683	0.0319109	0.226488	0.0282544
o	0.000106166	3.56145e-05	0.000410778	0.00285638	0.564699	0.0659662	0.0301621	0.00868801	0.303139	0.0239362
ó	8.70615e-05	0.000709129	0.00356464	0.0122859	0.260106	0.229007	0.0474033	0.0164215	0.378377	0.0520384
ó	0.000417828	6.28598e-05	0.00326644	0.00761856	0.00298893	0.0527981	0.335706	0.277101	0.0492545	0.270786
</S>	0.000670073	7.6415e-05	0.00230331	0.00539491	0.0165601	0.0347828	0.30775	0.236494	0.260451	0.135518
