 	il	n'	y	a	personne	pour	partager	la	nourriture	</S>
b	0.620089	0.0293339	0.0422449	0.0284676	0.0208077	0.0262433	0.0909574	0.0876285	0.0464025	0.0078256
e	0.53564	0.0440766	0.058569	0.0746972	0.0250375	0.0582467	0.0218617	0.0293616	0.126878	0.0256314
a	0.0609901	0.199597	0.133208	0.125409	0.0646692	0.106039	0.0556226	0.0563393	0.113295	0.0848311
í	0.0546906	0.180887	0.150034	0.0838946	0.0681744	0.0347673	0.0156913	0.0981503	0.0280236	0.285687
m	0.00824104	0.101344	0.267024	0.262416	0.119542	0.0257912	0.0276584	0.0778798	0.0351914	0.0749124
o	0.00812523	0.117745	0.0850665	0.234054	0.116102	0.111605	0.0168724	0.034462	0.0337246	0.242245
k	0.0242186	0.14516	0.0464135	0.0864969	0.0464468	0.0723576	0.272056	0.0735114	0.0273822	0.205957
á	0.000750343	0.0211348	0.0176194	0.0246012	0.0325365	0.0503982	0.691279	0.0484699	0.0212886	0.0919218
m	0.00107924	0.0299814	0.0436396	0.0430094	0.0828907	0.117481	0.518244	0.0455696	0.10205	0.0160551
b	0.00367733	0.0119038	0.0116473	0.0417842	0.0446668	0.500178	0.112476	0.0706136	0.100295	0.102758
á	0.00767213	0.0124437	0.0161565	0.0326209	0.0490843	0.265455	0.294539	0.0762885	0.102868	0.142872
o	0.00928609	0.0142706	0.101254	0.118102	0.131552	0.178168	0.0426556	0.239318	0.0755827	0.0898101
k	0.000471842	0.00435809	0.00375038	0.0147132	0.038568	0.0857949	0.480269	0.15114	0.145177	0.0757577
a	0.000406348	0.00117194	0.00198541	0.0047107	0.0142079	0.0314692	0.76874	0.0558715	0.0981717	0.023265
b	2.12274e-05	0.000509609	0.00129489	0.00339566	0.0165571	0.0520678	0.781917	0.038483	0.0705891	0.0351648
h	0.00225897	0.00651461	0.0153139	0.0318464	0.0764458	0.244191	0.196623	0.159593	0.0772466	0.189967
i	0.00335311	0.00263947	0.00706884	0.0120692	0.0175353	0.138216	0.404962	0.0588277	0.0515907	0.303737
</S>	0.000626839	0.00179364	0.00492401	0.0117816	0.0498734	0.0984834	0.0497901	0.173188	0.0273893	0.58215
