 	sa	manière	de	respecter	cette	femme	cache	quelque	chose	</S>
e	0.281755	0.474653	0.153406	0.0539559	0.0284945	0.00258956	0.00298624	0.000845582	0.000208345	0.00110641
k	0.000442373	0.00115933	0.0048201	0.980981	0.00369024	0.00350767	0.000765851	0.000430963	0.00408237	0.000120302
a	0.000596128	0.000237924	0.0118763	0.967057	0.00322203	0.000792554	0.00277923	0.00188578	0.0103308	0.00122239
n	0.000915298	0.00462787	0.0445244	0.881023	0.0345504	0.00202226	0.0126515	0.0134685	0.00489604	0.00132129
d	0.0863662	0.0176284	0.0446311	0.590698	0.10555	0.00531295	0.0294127	0.0308515	0.00758855	0.0819607
í	0.160565	0.0667895	0.0357608	0.36157	0.0941035	0.01989	0.0245689	0.0251838	0.0122339	0.199334
l	0.0182468	0.00861095	0.185035	0.0336122	0.151026	0.0555454	0.20032	0.078735	0.0144614	0.254406
í	0.04715	0.0157652	0.0481488	0.0272677	0.0406538	0.0798942	0.0689686	0.0566935	0.0242737	0.591184
y	0.44167	0.112738	0.146912	0.0333895	0.126264	0.0273009	0.0454847	0.0263143	0.00704	0.0328872
é	0.0988521	0.035769	0.367826	0.0571053	0.114854	0.118843	0.0286263	0.0172036	0.0293131	0.131609
é	0.143696	0.0681454	0.425508	0.119853	0.18005	0.0270013	0.00677204	0.00385932	0.00255773	0.0225568
k	0.00716415	0.00452524	0.158022	0.33826	0.18942	0.083441	0.0287608	0.0428618	0.0702347	0.0773105
a	0.000615292	0.000137535	0.0310975	0.772766	0.108135	0.00590307	0.0196325	0.0217576	0.011572	0.0283834
n	0.00033835	0.000473941	0.107636	0.578743	0.22964	0.0185422	0.0197747	0.0121421	0.00458983	0.0281201
d	0.0117317	0.00648111	0.114897	0.409896	0.305942	0.011962	0.0353078	0.0136414	0.00486769	0.0852728
á	0.0297461	0.0156461	0.244983	0.199116	0.309506	0.0130075	0.0222084	0.00789961	0.0067685	0.15112
w	0.0153545	0.00445649	0.104834	0.0367324	0.498732	0.0820749	0.173804	0.0656733	0.00466293	0.0136759
a	0.0190065	0.0219514	0.182312	0.0992298	0.428512	0.0592506	0.1383	0.0253764	0.00321984	0.0228417
o	0.00193614	0.000750165	0.0260285	0.0128794	0.305559	0.243442	0.346738	0.0427893	0.00499357	0.0148837
y	0.00324435	0.00361758	0.0165398	0.0791131	0.094354	0.492689	0.15231	0.106789	0.036072	0.0152701
ú	0.00124635	0.00247128	0.00977201	0.0155054	0.140841	0.702798	0.0394906	0.0323211	0.0391177	0.0164368
r	0.00284813	0.00253953	0.0194043	0.015407	0.553772	0.127366	0.0796061	0.0498094	0.0376796	0.111568
u	0.00952015	0.00033019	0.0486213	0.061795	0.595376	0.00966507	0.191028	0.0509591	0.0198626	0.0128426
w	0.00150493	0.000717469	0.0253261	0.00437967	0.177431	0.0533387	0.394368	0.267868	0.0133088	0.0617582
ó	0.0095915	0.00913409	0.0685093	0.046008	0.148543	0.0421543	0.442965	0.126225	0.00944912	0.0974203
y	0.00201768	0.000906888	0.0158495	0.00185409	0.0788016	0.0176721	0.134086	0.491032	0.0711151	0.186666
é	0.0606616	0.00801568	0.0584957	0.043692	0.347631	0.0625282	0.142085	0.0864636	0.135333	0.0550954
e	0.0406519	0.0345313	0.0413759	0.00714209	0.104132	0.0295914	0.171458	0.196526	0.230718	0.143874
s	0.000312379	0.000564374	0.00725576	0.00473462	0.0130367	0.010385	0.0272925	0.253754	0.5485	0.134165
ε	0.000714993	0.000396109	0.00598849	0.00457561	0.0417117	0.0327401	0.0132317	0.0945047	0.599853	0.206283
r	0.000206067	5.48196e-05	0.000911043	0.000377668	0.0120522	0.00368373	0.0142087	0.0482893	0.691096	0.22912
έ	0.0015946	0.000288739	0.00409687	0.0028176	0.0360385	0.0045497	0.0939012	0.134252	0.313576	0.408885
i	0.00209507	0.000596034	0.0072861	0.00129531	0.0279022	0.00400789	0.085923	0.121359	0.259487	0.490048
b	0.00109965	0.000595763	0.004298	0.00486283	0.00560766	0.00861747	0.0417481	0.0764367	0.413344	0.44339
h	0.000381826	0.00136251	0.0083604	0.0123047	0.0203279	0.00941521	0.202224	0.246051	0.383283	0.116289
ώ	0.000500862	6.93751e-05	0.00241183	0.0095036	0.0110223	0.000750938	0.060604	0.0905488	0.555935	0.268653
ω	0.00014371	2.0687e-05	0.00254558	0.00192338	0.0156758	0.000349769	0.0693902	0.0567801	0.277542	0.575629
</S>	0.0017318	0.000213576	0.00860499	0.000866578	0.0202728	0.000400987	0.0260567	0.0611556	0.192628	0.688069
