 	cet	enfant	a	grandi	</S>
m	0.892802	0.106729	0.000350157	8.26346e-05	3.65997e-05
w	0.133318	0.856724	0.00924828	5.59569e-05	0.000653717
á	0.0189194	0.980997	3.39675e-05	3.82551e-05	1.12495e-05
n	0.276591	0.721171	0.000134941	3.5667e-05	0.00206738
a	0.128422	0.338866	0.0336654	0.0122063	0.48684
w	0.817876	0.0787124	0.0730606	0.0188581	0.0114932
ó	0.472669	0.049175	0.271108	0.0222716	0.184776
á	0.0588733	0.0146188	0.812073	0.0150208	0.0994136
m	0.00563643	0.00179201	0.490883	0.401706	0.0999827
i	0.0166939	0.00151125	0.675956	0.203812	0.102027
s	0.00355951	0.000870185	0.120998	0.819796	0.0547762
o	0.00173019	0.000179794	0.0748018	0.891086	0.0322025
a	0.00245694	9.53001e-05	0.0939371	0.485624	0.417887
</S>	0.00487297	0.000301107	0.522619	0.044202	0.428005
