 	j'	ai	décollé	la	feuille	de	papier	qui	était	sur	le	mur	de	la	maison	</S>
n	0.928353	0.0148078	0.0019385	0.00672026	0.00770805	0.0199487	0.00343764	0.00321008	0.000445047	0.00203606	0.00216486	0.00299255	0.00117594	0.00482626	8.30297e-05	0.000152402
g	0.931577	0.0317542	0.00773118	0.00252211	0.0028491	0.00484002	0.00029303	0.00126771	0.000315584	0.00159116	0.00310764	0.000819703	0.00174322	0.00246724	0.00709712	2.35936e-05
á	0.703383	0.12067	0.0548087	0.00196142	0.00186362	0.00330816	0.00150713	0.00942929	0.00297425	0.00457915	0.00651072	0.000994771	0.00177344	0.00269532	0.0833039	0.000237156
í	0.0500323	0.114246	0.149188	0.0508559	0.0572542	0.0490125	0.0408758	0.0369645	0.00908282	0.0277088	0.0211841	0.0246888	0.0252613	0.0297371	0.00231299	0.311594
n	0.0128552	0.236011	0.559887	0.0575294	0.0139966	0.00852182	0.0238077	0.0116338	0.0184757	0.0173681	0.00560935	0.0058852	0.00999239	0.00296572	0.00151142	0.0139499
a	0.000584038	0.0495742	0.925806	0.00345479	0.00484493	0.000546411	0.0019208	0.00169264	0.00136308	0.00136908	0.00111519	0.00029371	0.00108421	0.000382829	0.00279991	0.00316854
r	0.000138486	0.016987	0.546225	0.0580295	0.090562	0.00890046	0.101538	0.0561761	0.0261095	0.022884	0.0350094	0.00200701	0.0156036	0.00414611	0.00255316	0.0131305
i	0.00946231	0.0760457	0.257842	0.195162	0.0658597	0.0330188	0.0176902	0.0296954	0.065972	0.073544	0.0371056	0.0146935	0.0427965	0.0102853	0.0143966	0.0564303
l	0.00741533	0.0313144	0.0316636	0.324538	0.194039	0.224188	0.019951	0.0321897	0.0134885	0.0192444	0.0156086	0.0199175	0.0233683	0.0278266	0.00225879	0.0129883
e	0.0052025	0.0301752	0.0389908	0.208667	0.263266	0.109399	0.0563478	0.0283171	0.0211023	0.0284128	0.0192	0.0192515	0.033441	0.0237012	0.00969157	0.104835
k	0.000679129	0.00547515	0.00970127	0.0902755	0.225083	0.191435	0.155003	0.0888178	0.0508238	0.019446	0.0150018	0.0134949	0.0247257	0.0109545	0.00784132	0.0912428
á	7.89328e-06	0.000254035	0.000696326	0.161495	0.520984	0.0339145	0.212525	0.0124238	0.0226174	0.00491319	0.014714	0.00261242	0.00845976	0.000358182	0.000458198	0.00356536
s	0.000198694	0.00118409	0.00382596	0.0689181	0.306738	0.0375389	0.446679	0.00864013	0.0306117	0.0110261	0.0115917	0.0087911	0.0163713	0.00233561	0.00131101	0.0442386
i	4.2954e-05	0.000252244	0.00264039	0.13618	0.369897	0.145587	0.148266	0.0262819	0.0411767	0.0175098	0.0276426	0.0107911	0.0443673	0.0133349	0.000916025	0.0151137
l	6.56224e-05	0.00135488	0.0039431	0.0632032	0.0569749	0.229627	0.121981	0.179081	0.15883	0.0639081	0.0451613	0.0173035	0.0285902	0.0146785	0.00159374	0.0137039
í	0.000971932	0.00132605	0.00122947	0.0378192	0.0609257	0.107809	0.0521796	0.0795683	0.0661326	0.059179	0.0650083	0.0355	0.0634964	0.036274	0.036916	0.295664
í	0.000534291	0.000567287	0.000598039	0.0149561	0.022279	0.125399	0.0438136	0.252203	0.115985	0.100365	0.109647	0.0518694	0.0595059	0.0486198	0.0155472	0.0381102
d	4.52316e-05	0.00217363	0.00313236	0.0120735	0.013902	0.00982343	0.118304	0.142585	0.368811	0.149304	0.106273	0.0161081	0.0368589	0.00799108	0.00366659	0.00894756
z	3.26606e-05	0.000457879	0.00238769	0.00292674	0.00726495	0.00333644	0.0916367	0.180266	0.414919	0.150654	0.051858	0.00833591	0.0388487	0.00773813	0.00297848	0.0363583
e	0.00078132	0.000573089	0.00156802	0.00351135	0.00215611	0.0071028	0.00429986	0.272509	0.334277	0.191862	0.0707803	0.00717426	0.0404011	0.011595	0.0278417	0.0235669
m	5.60898e-05	0.000336917	0.000963587	0.0140155	0.0141691	0.0308526	0.0195241	0.0871385	0.0659481	0.158024	0.210561	0.0873559	0.136928	0.12534	0.00899389	0.039793
é	0.000170311	0.000333446	0.000458662	0.00252019	0.00128706	0.00663189	0.002531	0.0624529	0.0257276	0.217457	0.187032	0.0992344	0.113286	0.0872018	0.0114576	0.182219
b	1.09702e-05	0.000142574	5.51541e-05	0.00123433	0.00169441	0.00486949	0.00443223	0.0261931	0.0147837	0.0820804	0.171917	0.185265	0.237947	0.1398	0.0768393	0.0527351
a	1.5784e-05	0.000215192	0.000197935	0.00464248	0.0177099	0.0055911	0.0138683	0.00777183	0.0115364	0.0663383	0.287042	0.132457	0.342291	0.0423948	0.020577	0.0473512
á	6.42608e-06	3.22625e-05	0.000110221	0.000752723	0.00254419	0.00605164	0.00580019	0.0031797	0.00830775	0.0466765	0.200872	0.197615	0.33617	0.0797575	0.0143349	0.0977891
y	8.55524e-05	0.00100172	0.00127713	0.00238172	0.00223083	0.00633727	0.00538969	0.0109616	0.0101075	0.102055	0.0510908	0.167536	0.202076	0.208574	0.0821834	0.146712
á	0.00024583	0.00093804	0.000740191	0.00624065	0.0030188	0.0100015	0.00133076	0.0159144	0.0133504	0.0758251	0.0978126	0.051869	0.171956	0.253845	0.179314	0.117597
n	0.0004604	0.000280223	0.000110772	0.00200431	0.00155471	0.0091869	0.000591002	0.00419939	0.00245489	0.0288973	0.0392957	0.0762143	0.0986611	0.432887	0.244964	0.058238
d	0.000575299	8.22621e-05	0.000174943	9.12751e-05	0.00019123	0.000736552	2.07471e-05	0.000501476	0.000120779	0.00276692	0.00729461	0.00923662	0.0239383	0.0897756	0.840761	0.0237326
é	0.00047429	0.000141377	0.000213036	0.000159713	0.000315056	0.00122029	5.93767e-05	0.00138775	0.000553385	0.00343495	0.00554158	0.00334463	0.0137935	0.0606472	0.85953	0.0491839
e	9.39618e-06	6.20279e-05	0.000194241	0.000548014	0.000716024	0.00382555	0.000379989	0.0070962	0.00488279	0.0218574	0.0512049	0.0181867	0.0934694	0.0912486	0.171171	0.535148
</S>	2.36579e-05	0.00018345	0.000246946	0.00090574	0.000311382	0.00278206	0.000608998	0.00544076	0.00273777	0.0325645	0.0534305	0.0979068	0.16669	0.118826	0.0428896	0.474451
