 	cet	enfant	m'	a	manqué	du	respect	</S>
m	0.683145	0.289072	0.00401895	0.00874011	0.00923414	0.00345917	0.00170627	0.000624038
w	0.243896	0.667301	0.0532293	0.0153087	0.00720631	0.00702752	3.34851e-05	0.00599787
á	0.013258	0.985442	0.000556867	0.000469587	0.000218435	3.02078e-05	1.69188e-05	8.34079e-06
n	0.288347	0.689183	0.00988387	0.0036803	0.00232144	0.000422225	0.000317514	0.00584551
a	0.0332444	0.214715	0.272453	0.0760457	0.0401544	0.0061906	0.00106281	0.356134
w	0.689355	0.0552969	0.132083	0.0321242	0.0111441	0.0274365	0.00200303	0.0505577
ó	0.181325	0.129262	0.0388924	0.0999788	0.119692	0.137977	0.154308	0.138565
a	0.0762758	0.0529159	0.0815979	0.193275	0.0756329	0.087111	0.00701293	0.426179
k	0.0117497	0.004451	0.0598554	0.436568	0.25085	0.108641	0.00540945	0.122475
a	0.00598916	0.00191974	0.00808394	0.381058	0.469047	0.0698489	0.0289921	0.0350615
n	0.00467397	0.000794311	0.00950847	0.301355	0.475072	0.0882241	0.0116731	0.108699
i	0.0566009	0.00246715	0.113755	0.239533	0.261799	0.127526	0.0302194	0.168099
n	0.00497005	0.0029151	0.613029	0.0750796	0.0735322	0.103126	0.0964367	0.0309109
g	0.0266683	0.0119357	0.875838	0.0219008	0.0199071	0.022826	0.0126865	0.00823768
á	0.0180388	0.0373957	0.910017	0.0110064	0.00860622	0.00885139	0.00354924	0.00253479
a	0.0134419	0.00577165	0.0804139	0.0659583	0.10503	0.319582	0.374397	0.0354051
b	0.0025142	0.000182185	0.0086035	0.0679703	0.170874	0.111236	0.563094	0.0755253
ώ	0.000856425	0.000196322	0.000769026	0.0262017	0.0527852	0.0154803	0.896055	0.00765603
ω	0.00105913	0.000164738	0.0177195	0.113914	0.128152	0.238129	0.376031	0.12483
</S>	0.0138194	6.28051e-05	0.0195802	0.0339991	0.0734802	0.260462	0.0335179	0.565078
