 	l'	enfant	d'	ondongo	a	commis	le	délit	de	voler	des	beignets	</S>
m	0.624511	0.337996	0.030986	0.00157643	0.0012393	0.000156482	0.0003936	0.00181859	0.000634078	0.0002574	0.000367011	4.70605e-05	1.72501e-05
w	0.0035366	0.982031	0.00611131	0.0052028	0.000131423	5.80771e-05	0.000358697	0.0002963	0.000165735	0.000287565	0.000460266	9.39873e-05	0.00126575
á	0.000736671	0.996873	9.24376e-05	0.00227114	1.51589e-06	9.20732e-06	2.19529e-06	3.0857e-06	1.16841e-06	5.71173e-06	1.39612e-06	2.00575e-06	9.6358e-07
n	0.160969	0.829865	0.00440151	0.0032376	0.000142505	0.000112825	0.000100514	0.000273518	0.000204625	3.35281e-05	6.44981e-05	3.28774e-05	0.000561313
a	0.0865427	0.823175	0.0354823	0.00899909	0.00471382	0.00256647	0.00348024	0.0044048	0.00566259	0.00261285	0.0014329	0.000467029	0.0204601
y	0.406766	0.036897	0.419581	0.0166352	0.0385854	0.00675096	0.00816289	0.0076577	0.0165041	0.0123061	0.0174972	0.00086224	0.0117939
o	0.166384	0.0355725	0.399541	0.194575	0.0857101	0.00541629	0.0276194	0.0220281	0.0264977	0.0081925	0.0062147	0.00744972	0.0147995
n	0.28222	0.0264592	0.422098	0.194294	0.0407029	0.000951802	0.00582448	0.00780095	0.00830277	0.00107302	0.00223747	0.000984542	0.00704984
d	0.526409	0.284709	0.0495013	0.122775	0.00141148	0.000447709	0.00144673	0.00299546	0.00155466	0.000420878	0.000910208	0.000293822	0.0071251
o	0.0199437	0.0558782	0.114791	0.733672	0.00860723	0.00148877	0.00457221	0.00342578	0.00198792	0.00077809	0.0012078	0.00263717	0.0510104
n	0.0169298	0.0143575	0.0485291	0.855703	0.00658471	0.00434922	0.00536932	0.0101716	0.00490419	0.00107879	0.00193118	0.00590864	0.0241832
g	0.183333	0.081872	0.104775	0.492576	0.0310752	0.00223139	0.00612379	0.0142754	0.0133582	0.00102266	0.00140529	0.00103085	0.0669212
