 	j'	ai	caché	de	l'	argent	là	</S>
n	0.964705	0.0158979	0.00240643	0.0132256	0.00190049	0.00132033	0.00044428	9.98549e-05
g	0.92941	0.0350691	0.00193864	0.0257417	0.00403217	0.00305211	0.000723528	3.32394e-05
á	0.953548	0.040656	0.000200543	0.00234743	0.00116099	0.00194442	8.03046e-05	6.27908e-05
í	0.0449035	0.225184	0.047948	0.0855966	0.0339045	0.0224699	0.0240928	0.515901
b	0.006394	0.12844	0.815114	0.0297536	0.0106404	0.00202979	0.00120859	0.0064202
h	8.71248e-05	0.0185852	0.946875	0.0195201	0.00700638	0.00268927	0.00144429	0.0037924
í	0.000655089	0.0253842	0.938994	0.0291814	0.00378176	0.00136304	0.000220545	0.00042026
s	0.000474474	0.00892939	0.626661	0.10626	0.121715	0.00877265	0.0286991	0.0984886
i	0.00018263	0.00885904	0.429812	0.446514	0.0890273	0.0109165	0.00396226	0.0107262
m	0.00221418	0.126827	0.0498697	0.293133	0.289353	0.152865	0.0309994	0.054739
b	0.000444587	0.0117813	0.00156968	0.0894624	0.362128	0.453452	0.0225734	0.0585888
ώ	1.85285e-05	0.000436789	0.000503158	0.0557525	0.427985	0.501318	0.00818143	0.00580439
n	4.60496e-06	0.000921831	0.00341771	0.0685884	0.404681	0.474322	0.0361106	0.0119532
g	0.00017225	0.00315254	0.00292432	0.167297	0.664643	0.0557449	0.0231544	0.0829113
ω	0.00145429	0.00185641	0.000163697	0.0373811	0.306097	0.59834	0.0277668	0.0269409
b	4.82278e-05	0.0017124	0.0005118	0.0791742	0.158484	0.11517	0.300776	0.344124
h	0.000438155	0.00309383	0.0120564	0.0502251	0.185304	0.0510007	0.390087	0.307795
έ	0.000149335	0.000668	0.0010346	0.0187676	0.127962	0.30394	0.418192	0.129287
ε	1.08977e-05	0.000182309	0.00018096	0.018489	0.0578928	0.0331881	0.536374	0.353682
</S>	1.10656e-05	0.000772698	0.000356617	0.0187083	0.0559753	0.0216438	0.458339	0.444193
