 	l'	albinos	n'	aime	pas	se	promener	sous	le	soleil	</S>
e	0.661831	0.122379	0.032371	0.00411045	0.0855612	0.0803708	0.00846728	0.00100384	0.00340694	0.000380383	0.000118753
f	0.0896485	0.787609	0.0490201	0.0505677	0.00784697	0.00355128	0.00631892	0.0030242	0.00137868	0.000789854	0.000244615
ú	0.0216885	0.380521	0.0360037	0.473651	0.0358932	0.00727062	0.0284794	0.00890863	0.00278109	0.00206865	0.00273461
l	0.0300861	0.61184	0.113228	0.139619	0.0366184	0.0157089	0.0366169	0.00735009	0.00363537	0.0015404	0.00375694
á	0.411481	0.111579	0.0679525	0.0919475	0.141805	0.0624619	0.0467249	0.0251777	0.0129175	0.00643956	0.0215135
é	0.216725	0.0755164	0.501319	0.113143	0.0249599	0.0173353	0.0112707	0.0142872	0.0112748	0.00238588	0.0117833
d	0.0110115	0.0282211	0.496022	0.35052	0.0280695	0.0129844	0.029206	0.0269708	0.00681818	0.00146339	0.00871269
i	0.0042167	0.0040831	0.589529	0.208406	0.0507989	0.0170588	0.0121322	0.0237117	0.00931915	0.00454726	0.0761967
p	0.00725689	0.00244503	0.293016	0.451871	0.126247	0.0309106	0.0183019	0.0209704	0.012748	0.00354394	0.0326896
ó	0.000256891	0.000353928	0.0117646	0.842332	0.0706235	0.0232888	0.0154322	0.0176535	0.00315815	0.00387743	0.0112589
s	0.000958143	0.00233374	0.0732483	0.66293	0.0715196	0.0412319	0.0466514	0.041359	0.0109575	0.00693357	0.0418769
á	0.00158438	0.000851815	0.0123604	0.621402	0.165818	0.0639492	0.0677924	0.0376459	0.0119099	0.00495591	0.0117302
o	0.00237774	0.000325669	0.00712377	0.0388645	0.291962	0.559982	0.068177	0.0104431	0.00873319	0.00540553	0.00660483
b	0.00140423	0.00519963	0.0114464	0.227872	0.0995773	0.12297	0.494065	0.024846	0.00332656	0.00601904	0.00327392
h	0.000952807	0.00116234	0.0097502	0.0476487	0.0564278	0.104981	0.737166	0.0182206	0.00339088	0.0112739	0.00902632
é	0.000402839	0.000230828	0.0035532	0.0566864	0.0436227	0.0695564	0.743759	0.0462248	0.00886174	0.0141044	0.0129974
m	0.00298821	0.00346165	0.0231899	0.252386	0.139479	0.10645	0.309317	0.0976612	0.0235789	0.00711686	0.0343709
b	0.002473	0.000510761	0.0010751	0.00205083	0.166041	0.314621	0.444664	0.0167146	0.00840991	0.0224738	0.0209663
á	0.000877186	0.000936134	0.00331595	0.00394434	0.0971475	0.162767	0.519815	0.0560797	0.0211411	0.0350967	0.0988799
ó	0.00357096	0.000679714	0.00585287	0.007805	0.123179	0.245794	0.260168	0.210938	0.099704	0.0116862	0.0306225
m	0.00185183	0.00388759	0.00965558	0.00839441	0.0187243	0.0319344	0.0946539	0.510498	0.255574	0.0521053	0.0127204
w	0.00163345	0.000687861	0.00657097	0.00146917	0.0332693	0.11618	0.0814564	0.248224	0.0999563	0.290781	0.119771
é	0.000333555	1.13968e-05	0.000107439	0.000552006	0.00425904	0.0313724	0.0609731	0.0917033	0.0236798	0.739481	0.0475271
s	0.00108924	0.00019065	0.000907669	0.000780723	0.0290894	0.0565909	0.164194	0.254351	0.160967	0.218156	0.113684
é	0.00271021	0.000815879	0.00189088	0.00158556	0.0159717	0.0381732	0.099743	0.299545	0.0956258	0.23269	0.211249
k	0.0017263	0.00146186	0.00613129	0.00215834	0.020838	0.0453214	0.043676	0.296523	0.398801	0.0293518	0.154012
a	0.000267987	0.000392413	0.00167345	0.0072	0.0246488	0.0217388	0.0280722	0.326053	0.28604	0.101063	0.20285
á	7.46864e-05	0.000179871	0.000517048	0.00382678	0.00465208	0.0106925	0.03129	0.303734	0.198308	0.097803	0.348922
</S>	0.000157447	0.000320535	0.00280801	0.000898922	0.00310982	0.00535892	0.00707472	0.0710393	0.215871	0.0889131	0.604448
