 	il	assemble	les	branches	pour	faire	un	brancard	</S>
w	0.892471	0.00216371	0.0309038	0.0269093	0.0158153	0.0195889	0.00744469	0.00464635	5.74784e-05
a	0.848539	0.00147451	0.0413624	0.0743014	0.0156421	0.00618579	0.00670433	0.00575687	3.31494e-05
l	0.4089	0.184764	0.205323	0.0571056	0.0521105	0.0394033	0.0328934	0.00794373	0.0115571
á	0.191189	0.0382664	0.162875	0.15891	0.128406	0.0645918	0.0809465	0.0475393	0.127276
a	0.284566	0.0239966	0.105945	0.0994203	0.0991676	0.0470953	0.0745115	0.136312	0.128986
t	0.0200806	0.922759	0.0148647	0.00441519	0.00714327	0.00550517	0.00458344	0.00200384	0.0186446
έ	0.00956707	0.968037	0.00641143	0.00190645	0.00213156	0.00197694	0.00197313	0.000802899	0.00719325
s	0.0471042	0.55202	0.180995	0.0421461	0.0377973	0.0285026	0.0271832	0.0169665	0.0672859
έ	0.160273	0.610072	0.110383	0.0411296	0.0149083	0.0229001	0.0154223	0.00533184	0.0195798
έ	0.0445838	0.25547	0.403005	0.0832551	0.0342581	0.0307684	0.0214977	0.0225482	0.104614
i	0.0162636	0.0449733	0.469328	0.287769	0.0899051	0.0364043	0.0190226	0.0250856	0.0112489
k	0.00679734	0.0294559	0.280709	0.435742	0.178492	0.0352718	0.0169796	0.00988005	0.00667232
y	0.00342782	0.0931194	0.253968	0.224341	0.167781	0.12839	0.0300922	0.0585886	0.0402912
é	0.003043	0.440564	0.152346	0.105278	0.0767396	0.103169	0.0305881	0.0227683	0.0655029
n	0.00514066	0.156869	0.255639	0.169554	0.0997528	0.116889	0.0593874	0.0152654	0.121502
i	0.0225293	0.0957973	0.109213	0.121494	0.103723	0.0807239	0.0452445	0.0531385	0.368137
b	0.0207972	0.0362221	0.262686	0.207548	0.230791	0.151813	0.037663	0.00386969	0.0486091
á	0.0361005	0.00903648	0.207217	0.291333	0.150675	0.202468	0.0502955	0.0115084	0.0413663
a	0.0169453	0.00132076	0.217036	0.329002	0.150704	0.157565	0.0345573	0.0221216	0.0707474
b	0.0015449	0.0159577	0.0448587	0.0769983	0.272925	0.383087	0.120953	0.0186967	0.0649787
v	0.00162681	0.0106278	0.0337965	0.146618	0.187982	0.402086	0.151885	0.0406834	0.0246954
ú	0.000654095	0.00396077	0.0231984	0.153536	0.153716	0.389681	0.187494	0.0676815	0.0200775
a	0.000705433	0.00189483	0.0516656	0.147695	0.190785	0.299339	0.258995	0.00503658	0.0438836
m	0.00102371	0.00282232	0.0390494	0.093149	0.157076	0.294589	0.289762	0.0117983	0.11073
ó	0.00790799	0.00360773	0.0223003	0.106117	0.0842035	0.0555208	0.179398	0.0250821	0.515862
i	0.00386687	0.00386985	0.0413014	0.0574493	0.0508291	0.0983382	0.160663	0.533143	0.0505392
b	0.00443048	0.0176356	0.0174263	0.0189444	0.0532818	0.129979	0.305873	0.236029	0.216401
ω	0.00102689	0.00468595	0.0133155	0.0487338	0.0606245	0.202483	0.257324	0.357564	0.0542414
n	2.11341e-05	0.00114739	0.00354552	0.00919878	0.0236423	0.124627	0.145627	0.638152	0.0540399
g	0.000993975	0.00430924	0.0061011	0.0161767	0.0478916	0.242288	0.255288	0.224877	0.202074
ω	0.00196108	0.00103514	0.0113532	0.0445703	0.0472814	0.123148	0.103305	0.622229	0.045117
l	0.000925977	0.000519807	0.028575	0.0420136	0.0381177	0.0968114	0.239909	0.154953	0.398174
á	0.0031538	0.0059885	0.0567177	0.0392004	0.0802891	0.0964585	0.252779	0.207633	0.25778
o	0.00582957	0.00639935	0.169162	0.10365	0.0589714	0.0687041	0.193846	0.282483	0.110954
b	0.000515001	0.021171	0.0240622	0.0275488	0.0351947	0.0521106	0.249186	0.458842	0.13137
é	0.000480023	0.00706302	0.0117574	0.0270696	0.0607209	0.121809	0.30222	0.40706	0.0618198
é	4.44876e-05	0.00627872	0.00375703	0.00497951	0.0100044	0.0799246	0.314118	0.22107	0.359823
m	0.00040446	0.0019751	0.0178236	0.029102	0.0294212	0.0578442	0.261303	0.109333	0.492793
ó	0.0104507	0.000935327	0.0271078	0.111424	0.0573034	0.0419108	0.27359	0.0583729	0.418905
i	0.00114229	0.00251411	0.0449665	0.0348639	0.0266535	0.0519349	0.134047	0.388566	0.315312
b	0.001566	0.0109287	0.026025	0.0194287	0.0340261	0.0481029	0.127462	0.297134	0.435327
é	0.000905797	0.00495076	0.0224988	0.0549366	0.0624736	0.0984915	0.263624	0.421897	0.0702224
r	0.000222808	0.00112577	0.00460006	0.00803702	0.00859794	0.0494187	0.147546	0.334464	0.445987
a	9.81534e-05	0.00105766	0.00225424	0.00320092	0.0102688	0.0346521	0.118521	0.279892	0.550055
l	0.000610981	0.00153381	0.0164213	0.0111208	0.0163878	0.0500121	0.145135	0.235456	0.523323
á	0.00651897	0.0100027	0.0197088	0.0180325	0.0280635	0.0485256	0.0651146	0.301208	0.502825
ω	0.0140147	0.0217202	0.160355	0.133585	0.0491346	0.0663932	0.0982599	0.300955	0.155582
k	0.000941234	0.0335886	0.0399115	0.0287822	0.0491373	0.0620077	0.165125	0.360156	0.260351
ω	3.79014e-05	0.015126	0.00456057	0.00397942	0.0213291	0.0925435	0.143891	0.299892	0.418641
n	0.000325985	0.00285392	0.00308243	0.0035423	0.00418023	0.0249953	0.0711736	0.772968	0.116878
í	0.00252027	0.00346209	0.0035534	0.00566923	0.0118603	0.0338673	0.100529	0.583079	0.25546
</S>	0.000614656	0.000754715	0.0171471	0.0138202	0.0157912	0.0456622	0.0891925	0.113671	0.703346
