 	il	l'	a	attendu	longtemps	</S>
w	0.813206	0.16592	0.0200583	0.00020131	0.000550253	6.48974e-05
a	0.861773	0.135061	0.00149557	0.000127376	0.00121279	0.000330241
á	0.124965	0.661153	0.208413	0.00263602	0.000783051	0.00204963
k	0.0435584	0.305927	0.574572	0.0498092	0.0123832	0.0137503
y	0.0221465	0.079347	0.531559	0.239417	0.0380914	0.0894394
έ	0.015726	0.0586281	0.847669	0.0705091	0.00523006	0.0022378
έ	0.134381	0.18976	0.289415	0.195447	0.0327462	0.158251
l	0.0924754	0.0555017	0.13238	0.391345	0.203226	0.125072
i	0.161874	0.0670573	0.0915606	0.313444	0.180352	0.185712
w	0.0470281	0.0369675	0.0577506	0.122324	0.406695	0.329236
á	0.265356	0.21398	0.0833012	0.0422906	0.212615	0.182457
o	0.0215168	0.00395128	0.0109904	0.038208	0.230296	0.695037
y	0.000340022	0.000756705	0.0070902	0.0201462	0.677252	0.294415
í	0.000306059	0.00534193	0.014063	0.0370269	0.173273	0.769989
í	0.00031072	0.000896601	0.00157964	0.00193406	0.0284025	0.966877
</S>	0.0126523	0.021331	0.0410559	0.0257862	0.165073	0.734102
