 	on	fabrique	l'	eyalala	avec	les	fibres	de	lianes	</S>
b	0.550329	0.350083	0.0756961	0.0143078	0.00520587	0.00117751	5.44896e-05	0.00298367	0.000146292	1.59069e-05
á	0.401288	0.462507	0.0967366	0.00383072	0.00431815	0.00473449	9.91072e-05	0.0237394	0.00224691	0.0004988
a	0.526678	0.394816	0.0567934	0.00635341	0.00279449	0.00498131	0.000301915	0.00554775	0.000613752	0.00112075
b	0.292632	0.29527	0.362537	0.0230474	0.0114348	0.00729236	0.000508943	0.00184468	3.40085e-05	0.00539909
ω	0.115307	0.57946	0.192867	0.043195	0.0230198	0.0274725	0.00117948	0.00905038	0.00128632	0.00716256
n	0.102257	0.474767	0.260891	0.0935315	0.0433409	0.014018	0.00310339	0.000879528	0.00048287	0.00672906
g	0.0914776	0.385125	0.354063	0.0687462	0.0339289	0.0234324	0.00331572	0.0100155	0.000718858	0.029177
ώ	0.116278	0.294383	0.393493	0.0448208	0.0529094	0.0193928	0.00150249	0.0234854	0.0019963	0.0517386
e	0.0912367	0.0615275	0.660374	0.0976113	0.0589741	0.011441	0.00312886	0.0104323	0.000833839	0.00443999
y	0.0119811	0.0215172	0.101148	0.66527	0.167852	0.0182673	0.00920011	0.000645372	0.000307091	0.00381217
a	0.00365871	0.00577383	0.216293	0.492748	0.186555	0.0195906	0.0255953	0.0142047	0.00227027	0.03331
l	0.00309749	0.000919617	0.0708265	0.410723	0.348382	0.0375843	0.042651	0.00517354	0.00285903	0.0777843
á	0.00797555	0.0123966	0.139142	0.538331	0.215005	0.0409537	0.00344522	0.0108079	0.00151315	0.0304294
l	0.0110883	0.0050923	0.0898933	0.10958	0.609049	0.103337	0.0265081	0.0227481	0.00231051	0.0203933
á	0.00918379	0.00400316	0.0187586	0.152553	0.379224	0.162244	0.0225756	0.0236602	0.00878436	0.219014
m	0.0231534	0.014176	0.0686133	0.0748101	0.281112	0.233505	0.142515	0.0764208	0.0460061	0.0396874
i	0.0117837	0.00205234	0.016514	0.0176114	0.233501	0.467479	0.208352	0.0127859	0.00569432	0.0242261
t	0.000630221	0.00150112	0.00461333	0.0197394	0.168163	0.663987	0.120445	0.00693013	0.00111014	0.0128805
e	0.000122724	0.000132224	0.00025488	0.00532972	0.008491	0.0273842	0.952054	0.000452191	0.000511804	0.00526759
t	4.89388e-05	0.000141913	0.000390839	0.00642628	0.0150337	0.0754629	0.862744	0.0012195	0.00142743	0.0371041
é	0.000743189	0.000863182	0.000701481	0.00580546	0.00646031	0.0167997	0.935245	0.00229397	0.00101232	0.0300752
m	0.00137777	0.00142345	0.0044501	0.00649162	0.0410316	0.225	0.423696	0.0352834	0.00387645	0.25737
a	0.00444166	0.00196196	0.0121136	0.0106177	0.0614751	0.181543	0.394031	0.0680342	0.00348958	0.262292
m	0.00822163	0.00237973	0.0126491	0.00577014	0.0222823	0.156279	0.162003	0.115749	0.0894467	0.425219
á	0.006428	0.00239787	0.0209746	0.0105527	0.0698837	0.277448	0.110368	0.192718	0.0507173	0.258511
n	0.0112606	0.00625038	0.0289096	0.0172657	0.0258217	0.104024	0.0568913	0.196612	0.49826	0.0547049
g	0.000324246	0.000484429	0.00163255	0.000978846	0.00362948	0.0122797	0.00145626	0.0897552	0.84548	0.0439789
ω	2.34225e-05	8.60047e-05	0.000184906	0.000128899	0.000731996	0.00232721	0.00092047	0.0180344	0.968919	0.00864419
s	9.17071e-05	0.000174385	0.000337341	0.000278881	0.00472963	0.0117464	0.00218056	0.0338258	0.863945	0.0826909
í	0.00049619	0.000264137	0.00122593	0.00128959	0.00747194	0.0300152	0.0278548	0.0541358	0.0886842	0.788562
</S>	0.0034974	0.000748999	0.00571565	0.00113898	0.00611562	0.0341499	0.0183571	0.147346	0.073825	0.709105
