 	mon	épouse	et	moi	nous	partons	au	ruisseau	vouma	chercher	de	petits	étangs	où	pêcher	à	l'	écopée	</S>
b	0.74099	0.0800337	0.0477873	0.014319	0.0759146	0.0017955	0.0163869	0.00776598	0.00105547	0.000307515	0.00309987	0.00435345	0.00120234	0.00164014	0.0013034	0.00104507	0.000816682	1.0503e-05	0.000172419
í	0.114669	0.623873	0.0257385	0.0149887	0.133267	0.00219539	0.00617135	0.000900483	0.00189099	7.36688e-05	0.00112288	0.0675378	0.000812659	0.00343408	0.00109908	0.000906554	0.00118938	4.81862e-06	0.000124336
s	0.467759	0.147271	0.113224	0.0121316	0.174858	0.00532896	0.017544	0.0019427	0.00339861	0.000942893	0.00227394	0.041042	0.00539976	0.00150548	0.00297657	0.00142469	0.00023604	3.25762e-05	0.000708913
í	0.651185	0.0716896	0.0631425	0.151014	0.00613716	0.0135262	0.00532958	0.0026132	0.00304958	0.000633474	0.000994058	0.0256891	0.000594141	0.00192517	0.00131351	0.000673876	0.000153666	2.19533e-05	0.000313975
l	0.0820173	0.0730725	0.0827123	0.026076	0.0590018	0.0243057	0.0549554	0.0193354	0.0254662	0.0497513	0.0366357	0.0355287	0.0147567	0.0378313	0.0246838	0.0538248	0.0334642	0.0166194	0.249962
a	0.0720676	0.00572002	0.0891565	0.156651	0.157024	0.027749	0.0841396	0.0194294	0.0309925	0.0246935	0.0195838	0.0866084	0.00466753	0.0540133	0.0169856	0.0254923	0.023273	0.00445264	0.0973005
m	0.0827205	0.138491	0.199837	0.0654588	0.0452133	0.279341	0.0451428	0.0353587	0.0134861	0.0106076	0.0127915	0.0117121	0.00262796	0.0176236	0.0036499	0.00604532	0.00996584	0.00398226	0.0159453
w	0.0342122	0.473555	0.119738	0.0195832	0.00612586	0.268629	0.00932997	0.00351854	0.0248276	0.0135756	0.00263328	0.00336804	0.0017972	0.00100397	0.00171418	0.00211658	0.000954922	0.00663645	0.00668092
á	0.00977452	0.603096	0.195526	0.0331852	0.0158952	0.0496826	0.03022	0.00694591	0.0140507	0.00690036	0.00596366	0.0127992	0.00196217	0.00182934	0.00492858	0.00320673	0.000740163	0.00048106	0.00281192
s	0.118708	0.0691611	0.545294	0.0880751	0.0230574	0.00699865	0.0166289	0.00332874	0.0111266	0.00428397	0.00597508	0.0433075	0.0110004	0.00982223	0.0162109	0.00887528	0.00485852	0.000267507	0.0130198
í	0.234352	0.006743	0.300828	0.148145	0.0136103	0.00177764	0.0147585	0.00710272	0.0062088	0.00691867	0.0112197	0.0702711	0.00967139	0.0522404	0.0179811	0.0102297	0.00680366	0.00224202	0.0788962
l	0.016837	0.0134278	0.488008	0.306473	0.0728618	0.026559	0.0130117	0.00998268	0.00321728	0.00407151	0.00591535	0.00388288	0.00314874	0.00536696	0.00399147	0.0060799	0.0100521	0.00124631	0.00586666
é	0.0285855	0.000672557	0.15278	0.0724308	0.0508694	0.0372553	0.0839723	0.0405102	0.0236339	0.0692378	0.0438803	0.0173258	0.0304391	0.0396802	0.0240432	0.0514372	0.0325602	0.0185142	0.182172
m	0.0417943	0.00246217	0.191825	0.173007	0.1241	0.236088	0.0514844	0.0341065	0.0189157	0.016233	0.0155054	0.0133409	0.00664982	0.0121277	0.00882327	0.0133723	0.011232	0.00613784	0.0227946
o	0.00270623	0.0164796	0.017813	0.0147168	0.0240298	0.83792	0.0229381	0.00350114	0.0409651	0.00232002	0.00222001	0.00300082	0.000592849	0.00092978	0.00143438	0.0021633	0.0014099	0.000893805	0.00396526
d	0.000336491	0.0100714	0.014575	0.011503	0.0286431	0.863828	0.0216446	0.012033	0.0126163	0.00587055	0.00249503	0.000987237	0.0013205	0.000629666	0.0015833	0.00200208	0.00151468	0.00133872	0.00700736
z	9.36688e-05	8.75596e-05	0.00433451	0.00138704	0.0428949	0.492993	0.0827499	0.0542085	0.0273251	0.0488047	0.032339	0.00633931	0.00991472	0.00532502	0.0116332	0.0138662	0.00338075	0.0190274	0.143295
w	0.0017923	0.00120123	0.00713693	0.00357635	0.00285129	0.83988	0.0173186	0.0377737	0.0361612	0.028355	0.00571699	0.000662906	0.00216271	0.000924589	0.00125462	0.00130365	0.000794787	0.00767893	0.00345437
á	0.000412394	0.000168938	0.0394747	0.00863461	0.073472	0.0479794	0.203806	0.241829	0.00931903	0.0338009	0.0602462	0.0133667	0.0725746	0.0246501	0.0416173	0.0270834	0.00748354	0.00747562	0.0866064
o	0.000699154	0.000329585	0.0217551	0.0516855	0.040228	0.0534788	0.416299	0.236885	0.0697879	0.0195061	0.0240758	0.0173521	0.00771335	0.00874011	0.00776554	0.00745906	0.00542169	0.000958555	0.00985916
p	9.31935e-05	0.000597014	0.00254463	0.00363881	0.0244945	0.450841	0.146649	0.162482	0.0711318	0.080952	0.0183005	0.00367699	0.00865857	0.00172877	0.00257763	0.0023349	0.000915804	0.0121236	0.00625883
f	2.08068e-05	0.000278041	0.00484904	0.00177407	0.00956756	0.028339	0.0904716	0.319583	0.0269504	0.255849	0.0265016	0.00202741	0.130394	0.00264621	0.00797084	0.00661331	0.00148627	0.0504078	0.0342693
ú	1.27772e-05	7.3121e-05	0.00245055	0.00064419	0.00156582	0.0320357	0.129171	0.411222	0.0211388	0.17334	0.042896	0.00475129	0.080749	0.00432639	0.00987686	0.0109764	0.00255508	0.0175185	0.0546968
r	0.00133096	4.53878e-05	0.0084752	0.00459659	0.0126844	0.0157953	0.227256	0.513098	0.0246082	0.0518748	0.0517615	0.0104096	0.0298595	0.00471148	0.00811913	0.00941023	0.0033898	0.00266601	0.0199085
á	0.00279997	1.25285e-05	0.00744098	0.0124313	0.00383047	0.0195612	0.160632	0.202989	0.0378962	0.0853468	0.109277	0.0835359	0.102425	0.0333666	0.0301587	0.0402796	0.00622346	0.00368607	0.0581071
a	0.00281675	0.000354919	0.0134945	0.0287479	0.0156905	0.0102727	0.15672	0.180199	0.190762	0.0988143	0.111942	0.0573775	0.0553961	0.0289071	0.0140614	0.0111315	0.0103742	0.00123626	0.0117016
b	0.00010945	6.78344e-05	0.00106779	0.0013127	0.00308857	0.00867418	0.0353699	0.0754096	0.134577	0.390318	0.184398	0.0310837	0.0684192	0.0166803	0.0143412	0.0112678	0.00600246	0.00819045	0.00962243
h	2.11727e-05	0.000153845	0.00336345	0.00114331	0.0457237	0.00322731	0.0525068	0.0474582	0.0228099	0.198012	0.197397	0.0489068	0.217867	0.0167065	0.0930388	0.0313376	0.00497027	0.00343297	0.0119239
έ	1.43181e-05	2.42384e-05	0.00124356	0.000421428	0.0206364	0.00942856	0.102568	0.0767399	0.0118783	0.135554	0.166999	0.0752098	0.220945	0.0163587	0.0942343	0.0252448	0.00301686	0.00160661	0.0378763
n	7.24953e-06	2.0918e-06	0.000769564	0.000558165	0.00108148	0.00142283	0.0581485	0.0964967	0.0351138	0.193104	0.259044	0.0762863	0.0780921	0.0427029	0.0369113	0.0359505	0.0148469	0.0033343	0.0661274
g	0.000190319	1.05481e-05	0.00170265	0.00373607	0.000807118	0.00198447	0.0582707	0.116006	0.0341852	0.0751456	0.184737	0.120743	0.101719	0.15314	0.0273189	0.0263169	0.00966871	0.00269688	0.0816204
έ	0.00144541	8.47315e-06	0.00453764	0.0100358	0.000838811	0.000966619	0.0330934	0.161481	0.0270734	0.0491956	0.173064	0.249465	0.100975	0.12714	0.0207072	0.011815	0.00602149	0.00113406	0.0210024
s	5.21916e-05	2.9968e-06	0.000406202	0.000474264	0.000278349	0.00016073	0.018943	0.025101	0.0364617	0.0664787	0.211309	0.128573	0.179218	0.141281	0.0771583	0.053164	0.0280559	0.00174976	0.031132
a	0.000198791	2.68822e-06	0.000424429	0.000880999	0.000302877	0.000564625	0.010332	0.0199014	0.0303264	0.18114	0.219164	0.146374	0.0718089	0.149128	0.0562723	0.0357408	0.0141975	0.0191303	0.0441103
w	3.45983e-05	4.71742e-05	0.000795701	0.00165085	0.000314204	0.000126679	0.00283589	0.00922805	0.0611939	0.11569	0.134363	0.248699	0.0386193	0.162168	0.108089	0.0346339	0.033907	0.018141	0.0294616
ó	0.00428542	0.000150246	0.0052691	0.00400085	0.00231795	0.000380976	0.0126765	0.0182815	0.0504701	0.0818205	0.128997	0.0808545	0.102626	0.149957	0.173573	0.081109	0.0720162	0.00786874	0.0233464
m	0.000361646	8.83006e-05	0.000408419	0.000572324	0.000513401	0.000793828	0.00345915	0.0078036	0.0266431	0.0518637	0.0823938	0.0861875	0.0516059	0.175411	0.208885	0.0838815	0.0746684	0.0321019	0.112358
á	4.36517e-05	0.000775016	0.000588928	0.000310296	0.000534206	0.00857539	0.00617298	0.00264282	0.13466	0.0555498	0.113455	0.0657566	0.0166875	0.0563646	0.0914119	0.145885	0.119681	0.0298921	0.151013
m	4.88977e-05	5.36444e-05	0.000742528	0.00146273	0.000807624	0.00102037	0.0044634	0.00658789	0.0120731	0.0212208	0.0607228	0.0892009	0.0198678	0.113323	0.201398	0.138284	0.211593	0.0567158	0.0604135
í	0.000111122	0.00141655	0.000825947	0.00126509	0.000147572	0.0116508	0.00170878	0.0019107	0.0934828	0.0207826	0.0446174	0.146146	0.00700735	0.11501	0.101378	0.0853979	0.139419	0.13787	0.0898522
t	1.55622e-06	3.19869e-05	0.000318965	0.000399921	0.000343659	0.000502967	0.0036488	0.00195361	0.0090356	0.0142384	0.0439874	0.0750887	0.0150748	0.0698628	0.244808	0.179286	0.201493	0.0504688	0.0894544
ó	7.61896e-06	5.04769e-06	0.00032801	0.000287978	0.000308311	0.000207219	0.00224626	0.00401494	0.00376703	0.0654592	0.0513158	0.0198726	0.0524787	0.0566249	0.128546	0.119821	0.0762437	0.331749	0.0867157
a	1.05463e-05	2.99931e-06	0.000141685	0.000106226	9.4345e-05	0.000209375	0.000962767	0.00320344	0.00467294	0.0533858	0.029863	0.0127116	0.0329403	0.0642226	0.19958	0.0777784	0.0644248	0.317006	0.138684
</S>	5.56363e-05	1.71584e-06	0.000335044	0.000253583	0.000344075	0.00013593	0.00277167	0.0025869	0.00322774	0.00640664	0.0181929	0.0164867	0.00793809	0.111729	0.0961956	0.203991	0.333783	0.0460162	0.149548
