 	nous	nous	sommes	séparés	depuis	longtemps	mon	oncle	et	moi	</S>
n	0.240319	0.1712	0.0903325	0.125468	0.15627	0.105429	0.0677216	0.00604346	0.0259415	0.00349977	0.00777496
g	0.0275258	0.0373858	0.172092	0.0762709	0.0275207	0.00954886	0.512957	0.0666809	0.00848292	0.0607376	0.000797913
á	0.0768818	0.0734665	0.0767218	0.0768538	0.0174622	0.0170567	0.282901	0.261657	0.00423136	0.110189	0.00257842
b	0.0181524	0.104441	0.153367	0.144325	0.162641	0.0744395	0.0538907	0.0183826	0.0712988	0.0761368	0.122926
í	0.0690027	0.208366	0.105992	0.20497	0.0539944	0.0756461	0.0173073	0.0315849	0.0762581	0.105312	0.0515663
s	0.361566	0.472386	0.0669561	0.0317358	0.0197739	0.0107703	0.00827953	0.00280464	0.00463343	0.0116556	0.00943941
í	0.0706334	0.262599	0.346517	0.0281629	0.0184845	0.00859761	0.0886596	0.037627	0.0253585	0.0955232	0.0178375
l	0.0314684	0.0602433	0.0911829	0.18096	0.41164	0.0740396	0.0362799	0.00917795	0.0388891	0.016032	0.0500863
a	0.0206869	0.0282343	0.0574332	0.0156388	0.0569263	0.129453	0.0997425	0.0376058	0.0626337	0.049143	0.442503
n	0.0768211	0.0864382	0.128731	0.0744944	0.0958321	0.165391	0.122634	0.114712	0.0198164	0.0533691	0.0617612
g	0.038025	0.0472293	0.10737	0.0572611	0.0681577	0.0863732	0.396931	0.0615168	0.00937293	0.0676742	0.060089
ó	0.0104568	0.0209636	0.111924	0.0284039	0.032462	0.0251645	0.207091	0.488214	0.00395533	0.0571632	0.0142015
l	0.0128666	0.0413636	0.111942	0.094042	0.0742953	0.0248162	0.160385	0.385107	0.0248594	0.0505525	0.0197698
ó	0.00599798	0.0187806	0.0475467	0.11222	0.198064	0.272438	0.109518	0.147181	0.0504534	0.0060065	0.0317933
m	0.00582033	0.0103427	0.02463	0.0542717	0.0758025	0.206802	0.118551	0.302468	0.154114	0.0225744	0.0246242
i	0.00583679	0.0148688	0.0620175	0.0131572	0.052459	0.0345414	0.0850843	0.114594	0.283194	0.0172299	0.317017
l	0.00119174	0.00315489	0.00991453	0.00673714	0.0477844	0.0673754	0.146511	0.0920174	0.477186	0.0398494	0.108279
é	0.00817095	0.00885464	0.0174245	0.0115557	0.0136775	0.140779	0.106164	0.174246	0.162162	0.074276	0.282689
m	0.00210925	0.00371084	0.00618805	0.0201459	0.0507999	0.11095	0.244477	0.0906608	0.265916	0.130125	0.0749164
i	0.000549748	0.0020325	0.0547077	0.0290269	0.0239425	0.0137384	0.0206938	0.142925	0.337635	0.13719	0.237559
l	5.43314e-05	0.00034283	0.0052747	0.0040449	0.00733307	0.0105214	0.0153725	0.0500716	0.521438	0.142326	0.24322
o	0.00263938	0.00440007	0.0116404	0.0152408	0.0163533	0.0599131	0.0781984	0.0480485	0.246361	0.18776	0.329445
n	0.000502484	0.0017318	0.00618603	0.00761078	0.00662406	0.0178725	0.0767255	0.170879	0.153808	0.338943	0.219117
a	0.00613982	0.0148812	0.0492814	0.0340849	0.0138267	0.00759862	0.0709749	0.102511	0.116864	0.245248	0.33859
a	0.000189048	0.000586734	0.000976901	0.00354962	0.00495675	0.0106407	0.0233736	0.029961	0.0939156	0.202182	0.629668
</S>	0.000293689	0.000999299	0.00292987	0.00187753	0.00533027	0.00449456	0.0476066	0.00595659	0.217111	0.0981745	0.615226
