 	okonza	se	gratte	les	fesses	</S>
o	0.977944	0.0184761	0.00109993	0.00223741	0.000210249	3.26213e-05
k	0.975495	0.0190265	0.00208045	0.000321311	0.00207269	0.00100433
o	0.931444	0.0470508	0.0114975	0.00113316	0.00564925	0.00322551
n	0.738348	0.188239	0.0165839	0.0199164	0.0116041	0.0253078
d	0.644105	0.184926	0.0789315	0.0341672	0.0319332	0.0259364
z	0.843727	0.0975979	0.0153595	0.00353229	0.000750974	0.0390322
a	0.767344	0.114519	0.0143345	0.00406057	0.00225477	0.0974878
b	0.117371	0.703286	0.119147	0.0376578	0.00281047	0.0197272
o	0.146584	0.223407	0.284254	0.202743	0.0330166	0.109996
l	0.145915	0.601041	0.203379	0.0292669	0.00350849	0.016889
á	0.056707	0.249889	0.221452	0.078061	0.0652131	0.328678
a	0.117994	0.199975	0.324156	0.266254	0.045781	0.0458413
s	0.0172616	0.160739	0.50669	0.103378	0.0559863	0.155945
w	0.0233215	0.0390069	0.679789	0.101334	0.0647616	0.0917867
ε	0.00417954	0.0135344	0.687874	0.109987	0.00242627	0.181999
ε	0.000298805	0.0140176	0.565074	0.213385	0.00291776	0.204307
g	0.00114557	0.00881645	0.348618	0.450714	0.0243386	0.166367
h	0.000446	0.0136051	0.568098	0.213891	0.0337911	0.170169
έ	0.000763609	0.00807541	0.557618	0.189126	0.0811531	0.163265
a	0.000113942	0.00418051	0.350152	0.408463	0.0187585	0.218332
n	0.00110519	0.00587053	0.068537	0.632317	0.156758	0.135412
y	0.0108002	0.015388	0.104962	0.107893	0.657042	0.103915
ώ	0.00393534	0.00349103	0.1492	0.167848	0.597185	0.0783408
ώ	0.000498744	0.00726376	0.111262	0.0518233	0.728409	0.100743
</S>	0.000439053	0.00360441	0.0895823	0.385217	0.0701177	0.45104
