 	aujourd'	hui	c'	est	le	jour	où	l'	on	adore	le	seigneur	dieu	</S>
p	0.365136	0.282544	0.177757	0.0153336	0.0143116	0.0338128	0.0216075	0.0223126	0.0401363	0.00950049	0.0157444	0.00134237	0.000347115	0.000114104
á	0.249935	0.581614	0.0323319	0.00445632	0.00668012	0.0148129	0.00628889	0.00974249	0.0161408	0.0606708	0.00792587	0.00456134	0.00407286	0.000766977
b	0.100165	0.673784	0.0332173	0.0115317	0.00855986	0.018751	0.012832	0.0161322	0.025192	0.0122126	0.0196256	0.00437771	0.0190859	0.0445332
h	0.290598	0.248733	0.0428103	0.0123398	0.0158151	0.0274345	0.0463612	0.0367113	0.0494649	0.110561	0.0354075	0.00884803	0.00779271	0.0671217
a	0.323637	0.340352	0.0498501	0.0155356	0.0244178	0.029822	0.0370903	0.0309452	0.0433553	0.0412689	0.0181348	0.00558851	0.00278543	0.0372173
é	0.209284	0.0869797	0.377154	0.0622505	0.0635886	0.0370354	0.0442189	0.0296681	0.0333257	0.0116181	0.0118378	0.00455976	0.00293973	0.0255396
d	0.0286054	0.00659954	0.166285	0.259226	0.166988	0.0522244	0.0513076	0.0588737	0.0684385	0.0255424	0.0426859	0.0139007	0.00369253	0.0556305
í	0.00117773	0.000296786	0.0466928	0.250076	0.10659	0.0401677	0.0403746	0.0793064	0.0398814	0.00657755	0.0270679	0.00950335	0.0150543	0.337233
o	0.0065254	0.00490658	0.069974	0.151461	0.172299	0.134878	0.127457	0.0922365	0.110494	0.0221792	0.0211006	0.0131831	0.00496622	0.0683393
k	0.00160244	0.000469636	0.00347626	0.0466352	0.133865	0.125785	0.0716074	0.142176	0.123072	0.293566	0.0120412	0.0196114	0.00770784	0.0183854
ω	0.00184921	0.000291725	0.00253537	0.024831	0.0978337	0.0959173	0.0711116	0.101315	0.0944925	0.28232	0.0173207	0.0615105	0.014734	0.133938
ω	0.000963918	0.00103496	0.00747806	0.0163519	0.0567746	0.0798313	0.0451016	0.0633923	0.0751557	0.532695	0.0234594	0.0414063	0.00317794	0.0531774
m	0.00273502	0.000909104	0.00669813	0.0157078	0.0607042	0.110643	0.207764	0.179536	0.288518	0.0802872	0.0329519	0.00185899	0.0026656	0.00902091
í	0.0181802	0.00946317	0.0233396	0.0228859	0.0362628	0.126073	0.138465	0.153261	0.141189	0.0725012	0.151261	0.0107667	0.0686653	0.027686
k	0.00346253	0.00233182	0.00580535	0.0101713	0.0211456	0.0664317	0.108519	0.183974	0.217428	0.144965	0.151713	0.0267254	0.0265347	0.0307931
ú	0.00137932	0.00161748	0.00206304	0.00433627	0.0111479	0.0419529	0.0711283	0.0833142	0.1466	0.504022	0.0856193	0.0243241	0.00946982	0.0130259
r	0.000108475	1.2153e-05	0.000150759	0.000931946	0.00834054	0.0131974	0.00762165	0.0126973	0.0241617	0.886596	0.022243	0.0214767	0.00123975	0.00122282
u	0.00049198	0.000220771	0.00170678	0.00365498	0.0215736	0.027233	0.0213617	0.0353329	0.03495	0.708259	0.072137	0.0432144	0.0240013	0.00586266
m	0.00272426	0.000218844	0.00367589	0.00497858	0.0206055	0.034233	0.081008	0.109902	0.205492	0.210028	0.268721	0.0197987	0.00657443	0.0320404
a	0.00723986	0.00138095	0.0110812	0.00393037	0.0103649	0.0266304	0.0531663	0.0713063	0.0888386	0.0982077	0.38045	0.0374162	0.112407	0.0975799
l	0.00425892	0.00112252	0.00570593	0.00386873	0.00811722	0.0199637	0.0416402	0.0631171	0.102185	0.0966121	0.266822	0.235833	0.0988218	0.0519314
ó	0.00244243	0.000435651	0.00414947	0.00858744	0.0151347	0.0120126	0.0238251	0.0461829	0.0537826	0.0506558	0.272538	0.144504	0.113702	0.252048
k	0.000328001	8.46895e-05	0.00120992	0.000803125	0.0027162	0.00301201	0.00809029	0.0238716	0.0286361	0.0735907	0.210904	0.303582	0.194148	0.149023
o	0.000728353	0.000384958	0.00154138	0.00298315	0.00889382	0.0153735	0.0227363	0.0294946	0.0636649	0.0861351	0.201869	0.395858	0.0216252	0.148712
n	0.000419113	0.000101338	0.000493631	0.00169653	0.00630309	0.00625207	0.00672999	0.0148677	0.0244976	0.208213	0.0625296	0.586481	0.0218205	0.0595946
d	0.00434655	0.00120038	0.00396321	0.00239851	0.00910976	0.00948153	0.010239	0.0202239	0.0278422	0.302469	0.158422	0.362589	0.0334562	0.054259
z	0.00290613	0.00134045	0.00217372	0.000955167	0.00411959	0.00413749	0.00755273	0.0201796	0.0298143	0.418018	0.135542	0.111627	0.0949689	0.166665
i	0.0035249	0.00137303	0.00103233	0.0015894	0.00464864	0.00841177	0.0243377	0.0449497	0.0703419	0.507478	0.113076	0.13764	0.0279833	0.0536141
n	0.013133	0.00464462	0.00908593	0.00610283	0.0110672	0.0141313	0.0237967	0.0448353	0.0813927	0.0589106	0.215908	0.0753722	0.201698	0.239921
z	0.00805494	0.000501497	0.00357525	0.00204686	0.00815958	0.00578289	0.0159067	0.0293663	0.0238359	0.0471412	0.0874054	0.0248077	0.479871	0.263545
a	0.00153234	0.000109282	0.00116961	0.00135294	0.00627882	0.0045533	0.00929244	0.0135487	0.0136585	0.0140524	0.066636	0.0177951	0.671707	0.178313
m	9.57751e-05	1.42818e-05	0.000405622	0.000453678	0.00157957	0.00206513	0.0048392	0.0105925	0.0198492	0.0267493	0.114962	0.119842	0.1018	0.596752
b	0.0341051	0.0034484	0.00541075	0.00217919	0.0105413	0.0196768	0.0205979	0.0179017	0.0182885	0.0337397	0.195571	0.182982	0.296753	0.158805
é	0.0507649	0.0102202	0.013632	0.011059	0.0313035	0.0354663	0.0546864	0.0709683	0.0756933	0.0227067	0.150838	0.157943	0.136197	0.178521
</S>	0.00545486	0.00104666	0.00348841	0.00217905	0.00453101	0.00757379	0.0126312	0.0176872	0.0365948	0.0259859	0.143173	0.0501622	0.0389076	0.650584
