 	cet	oiseau	qui	est	perché	sur	le	palmier	est	un	aigle	du	congo	</S>
n	0.196731	0.49502	0.226761	0.0486161	0.00126747	0.0039819	0.00678464	0.00961674	0.00246615	0.00204522	0.00161571	0.00323356	0.00158692	0.000273498
y	0.435652	0.496754	0.0556182	0.00153137	0.000139081	0.00568998	0.00208802	0.000175095	0.000149728	0.00017235	5.48861e-05	0.000174545	0.00165215	0.000148516
ω	0.0345287	0.916122	0.0194915	0.00392089	0.00201135	0.006739	0.00671231	0.000994424	0.00152415	0.00261143	0.00145229	0.000628432	0.00189479	0.00136896
s	0.00891147	0.913976	0.0161241	0.00222841	0.00015203	0.00151368	0.00617693	0.000908709	0.000771276	0.00226271	0.00119765	0.00151543	0.00165886	0.0426023
í	0.0513492	0.0297431	0.10468	0.0133254	0.00989647	0.0313616	0.0296468	0.00851148	0.0284995	0.0453041	0.0390472	0.0277924	0.026123	0.554719
y	0.294163	0.018753	0.439708	0.122054	0.0261501	0.0164436	0.010801	0.010774	0.0123951	0.00778322	0.0048773	0.0113257	0.000227615	0.0245446
e	0.506763	0.0616497	0.161627	0.0649687	0.0755735	0.0388593	0.0216046	0.00729238	0.0175244	0.00689105	0.00210769	0.01234	0.00152581	0.0212728
e	0.453503	0.0124301	0.189674	0.0779834	0.0895896	0.049373	0.0295499	0.00704778	0.0137154	0.00830945	0.00300601	0.0119238	0.00332171	0.0505725
d	0.0423808	0.00716543	0.0622649	0.349621	0.189064	0.0662472	0.0398824	0.0641728	0.0586335	0.0354925	0.0279451	0.0141402	0.00219316	0.0407973
í	0.00299202	0.00022027	0.0158511	0.0394894	0.825221	0.0633415	0.0130717	0.00614932	0.0150816	0.00570948	0.00176286	0.00169928	0.000153294	0.00925739
s	0.0069687	0.000159724	0.0247585	0.04596	0.747664	0.105346	0.0250579	0.0146178	0.00974244	0.00555312	0.00136443	0.00355265	0.000866321	0.00838861
a	0.00776824	0.000476816	0.0622618	0.0353589	0.627959	0.194369	0.0427843	0.00606676	0.0101792	0.00334235	0.000850467	0.00153688	0.000320046	0.00672654
a	0.00673501	0.000256559	0.0312468	0.0354797	0.423031	0.259881	0.14825	0.043597	0.0234777	0.0101921	0.00180607	0.00466414	0.00166361	0.00971886
m	0.00137905	0.000412457	0.00840148	0.0381898	0.0257709	0.163557	0.181041	0.329021	0.135601	0.0670173	0.0205993	0.0138774	0.00198835	0.0131435
í	0.00513294	0.00086937	0.0153446	0.0309036	0.217209	0.120651	0.148815	0.230125	0.130862	0.0387763	0.0188515	0.0149853	0.000790486	0.0266846
b	0.00321454	0.000485143	0.00530534	0.0156111	0.0140685	0.0452683	0.114833	0.469767	0.129131	0.118254	0.0524162	0.0132942	0.00738404	0.0109671
í	0.00151994	0.000697133	0.00215878	0.0114874	0.00368923	0.0183402	0.0835287	0.330052	0.104667	0.215572	0.193683	0.0164403	0.00475519	0.0134088
a	0.000450807	0.000438229	0.00188198	0.0102142	0.0235031	0.0193504	0.0514675	0.282169	0.168455	0.185161	0.164883	0.0228574	0.00769112	0.0614772
w	0.00040727	0.000135008	0.00278625	0.00837559	0.00594542	0.0385372	0.0468425	0.22094	0.28957	0.233673	0.0660672	0.0656188	0.000652539	0.0204491
ó	0.00445685	0.00311199	0.0146716	0.019816	0.0055533	0.0265931	0.0518236	0.055531	0.16416	0.231743	0.149329	0.17929	0.00543677	0.0884838
m	0.00167219	0.00040175	0.00136151	0.00288201	0.00458715	0.0191979	0.0404655	0.0928027	0.16798	0.289517	0.102758	0.151406	0.00580995	0.119158
b	0.00971117	0.00393195	0.0213144	0.0105162	0.0449493	0.0508316	0.0620343	0.145356	0.165717	0.146158	0.111309	0.0792042	0.00530798	0.143658
í	0.00139662	7.10643e-05	0.0022669	0.00318155	0.000845067	0.011125	0.0501602	0.125256	0.0570307	0.150287	0.552669	0.0205103	0.00310626	0.022095
o	0.00637721	0.000594555	0.00290299	0.00367608	0.00186105	0.00928024	0.0300985	0.113284	0.0783869	0.128829	0.519197	0.0420705	0.00147462	0.0619668
k	0.00169921	0.000143267	0.00173765	0.00429478	0.00231306	0.00895473	0.0107995	0.0590732	0.106211	0.214313	0.253088	0.271961	0.0279134	0.0374983
w	0.000342778	0.00113468	0.00209511	0.00356376	0.00139855	0.0022674	0.00509487	0.0098394	0.0161939	0.0851665	0.179822	0.0696818	0.603669	0.0197296
a	0.000510186	0.00011597	0.000155157	0.000195895	0.000120204	0.00089634	0.00242927	0.00435825	0.00812062	0.0550099	0.27524	0.0574927	0.541464	0.0538918
n	0.000556927	9.18192e-05	0.000825512	0.000886944	0.000491608	0.00182149	0.00573261	0.0116958	0.026816	0.0971488	0.366147	0.193523	0.109981	0.184282
g	0.0303706	0.00511384	0.0109443	0.00449636	0.00161425	0.0114296	0.016369	0.0102204	0.0334004	0.0878232	0.208026	0.120189	0.246765	0.213238
o	0.00207284	0.0031137	0.00685251	0.00155338	0.000206667	0.0107513	0.04076	0.0104791	0.0219349	0.0989086	0.163682	0.0675391	0.336536	0.23561
</S>	0.00269632	0.00386173	0.00610908	0.00222408	0.00057624	0.00932972	0.0193424	0.00383094	0.0128318	0.0480859	0.0348559	0.410405	0.0439597	0.401891
