 	il	est	venu	m'	accueillir	à	l'	entrée	du	village	</S>
w	0.957153	0.0315556	0.00996265	0.000349617	0.000418735	0.000152691	7.77152e-05	4.43921e-05	0.000219059	6.07761e-05	5.28384e-06
a	0.69973	0.176313	0.0876577	0.0279134	0.000527524	0.00159498	0.00126896	0.00106048	0.00389913	2.87125e-05	6.25269e-06
á	0.0598199	0.441044	0.403736	0.077244	0.00173019	0.00446718	0.0030099	0.00605789	0.00272223	7.06663e-06	0.000161488
y	0.0130086	0.0658632	0.851355	0.0310632	0.0135497	0.00302902	0.0025328	0.00522319	0.00587855	0.000108587	0.00838822
ε	0.00742995	0.0542824	0.76928	0.0860073	0.0278403	0.00548474	0.00452996	0.0151765	0.00460349	0.00285264	0.0225124
ε	0.0188712	0.249671	0.27355	0.310279	0.0230513	0.0116819	0.00964327	0.0230908	0.0448066	0.00139531	0.0339598
ω	0.0364566	0.161717	0.0951807	0.444809	0.035922	0.0137382	0.0114673	0.0139362	0.0372984	0.0055116	0.143963
y	0.00765646	0.0366026	0.0182531	0.37942	0.479148	0.0255412	0.0194424	0.0135283	0.00683577	0.00273697	0.0108361
a	0.000552553	0.035603	0.0127309	0.120118	0.694121	0.0281779	0.0191281	0.0313419	0.00845485	0.00541299	0.0443587
m	0.0031772	0.0354857	0.0135756	0.0771079	0.53491	0.0903296	0.0461948	0.0170172	0.00609205	0.00717464	0.168935
b	0.0056907	0.0295964	0.00930953	0.0734742	0.455296	0.292108	0.0514329	0.00805911	0.0080969	0.000173706	0.0667625
á	0.100578	0.0632021	0.00113041	0.132879	0.0820983	0.309004	0.0975387	0.0222566	0.0184458	0.000173275	0.172694
n	0.0309531	0.094447	0.012581	0.20837	0.248937	0.249417	0.0551225	0.0249703	0.0371843	0.00116857	0.0368496
g	0.00449524	0.00764507	0.000254608	0.161576	0.0161828	0.30566	0.107573	0.277664	0.0272979	0.000126058	0.0915258
á	0.00147454	0.00458033	0.00322904	0.306419	0.0150472	0.266852	0.136299	0.254366	0.00456203	0.000164477	0.00700723
m	0.000893916	0.00311458	0.000125182	0.0134559	0.0575091	0.559169	0.207629	0.0882295	0.0270851	0.00456189	0.0382277
ó	0.00146793	0.00155941	7.12944e-05	0.00669091	0.010277	0.283506	0.347699	0.0490415	0.160491	0.000924365	0.138272
o	0.00888508	0.0259057	0.000759123	0.017144	0.0766533	0.315083	0.292945	0.094516	0.0436196	0.105629	0.01886
k	0.000283615	0.00260234	0.00103051	0.0204235	0.190393	0.22521	0.360863	0.142807	0.0147916	0.0292044	0.0123898
ó	0.000358574	0.000866604	0.000225738	0.0017417	0.354105	0.170949	0.251185	0.0705906	0.0395155	0.0757578	0.0347043
ó	7.52162e-05	0.000607222	0.000177689	0.00615205	0.379644	0.136145	0.181435	0.0950666	0.00934961	0.117232	0.0741152
l	0.00017607	0.00174553	0.000109367	0.00722327	0.00512701	0.0723963	0.2142	0.374795	0.182683	0.0261411	0.115404
i	0.000239636	0.00109832	0.000205351	0.0085244	0.00992316	0.0593126	0.171547	0.268234	0.10311	0.0347304	0.343076
m	0.00161692	0.00941801	0.000289352	0.00896021	0.00129747	0.0191412	0.0688415	0.15126	0.448109	0.155168	0.135898
á	0.0038702	0.00214319	0.000239465	0.002463	0.00430079	0.0585768	0.153898	0.0603991	0.322208	0.0495041	0.342397
p	0.00236146	0.0113354	0.000709115	0.0141831	0.00393042	0.0351243	0.103038	0.0960944	0.432141	0.175528	0.125555
o	0.000243335	0.000757217	0.000232052	0.00037056	0.00392942	0.0145212	0.0450318	0.0276492	0.0275707	0.837758	0.0419362
o	0.000221779	0.000595944	3.60126e-05	0.000286475	0.000934808	0.001384	0.00781202	0.00603548	0.00931197	0.953006	0.0203758
</S>	0.000458863	0.00360913	7.84438e-05	0.00421728	0.000684871	0.00525451	0.0174223	0.147825	0.288671	0.0406749	0.491104
