 	ne	me	prends	pas	pour	un	profane	en	construction	de	maison	</S>
o	0.510688	0.224999	0.0631075	0.0707245	0.0487214	0.0510401	0.00203343	0.0132677	0.0076391	0.00750121	7.68276e-05	0.000201079
k	0.0487183	0.098091	0.68444	0.0143037	0.0126988	0.0241566	0.0513417	0.0248934	0.0258953	0.00461541	0.00292535	0.00792061
o	0.0209937	0.00996228	0.644664	0.0549616	0.021205	0.0301663	0.0463985	0.0496004	0.0938747	0.00933036	0.0110241	0.0078189
b	0.0233914	0.0158786	0.537392	0.0328136	0.0296997	0.0489813	0.0841199	0.0750547	0.111558	0.0228254	0.00914156	0.00914376
h	0.0765494	0.0293336	0.414513	0.176719	0.0869489	0.0530062	0.0198579	0.0384557	0.0342685	0.020715	0.00624359	0.0433888
á	0.189735	0.0390565	0.078264	0.082874	0.0889254	0.0567684	0.0156359	0.0812524	0.0828993	0.13549	0.0295718	0.119527
n	0.432202	0.112128	0.0536948	0.115223	0.133043	0.069362	0.0244082	0.0180955	0.0072542	0.0138861	0.00136814	0.0193339
g	0.0211021	0.558861	0.0287639	0.0100535	0.0455408	0.0381105	0.00610994	0.0183743	0.0141915	0.0330062	0.206547	0.0193389
á	0.00543567	0.428918	0.04623	0.0181628	0.043587	0.0459614	0.00765639	0.0283382	0.0282174	0.0204557	0.304575	0.0224626
m	0.0534739	0.0292603	0.0361246	0.26876	0.266758	0.231382	0.0203842	0.0332709	0.0131317	0.0333443	0.00210848	0.012002
b	0.100309	0.0113179	0.00621002	0.0655428	0.320138	0.286354	0.0907078	0.0455443	0.0177021	0.0189421	0.00234706	0.0348844
v	0.0224383	0.0147354	0.0372543	0.0573787	0.372821	0.247009	0.0508087	0.0768803	0.0965341	0.0116303	0.00153499	0.010975
a	0.00790968	0.00734839	0.0615759	0.109943	0.265899	0.186474	0.0481661	0.0758745	0.150333	0.023971	0.00527836	0.0572265
l	0.0206682	0.0103601	0.0760729	0.275778	0.234501	0.183538	0.0964277	0.0571555	0.0291919	0.00594989	0.000708802	0.00964804
a	0.0154299	0.0534783	0.0944286	0.122806	0.14956	0.136876	0.0419193	0.0719804	0.0738969	0.0457705	0.025462	0.168391
e	0.0117137	0.0193124	0.0182542	0.21323	0.173626	0.231418	0.131237	0.128985	0.022969	0.0255335	0.00186049	0.0218603
d	0.00669089	0.00686329	0.0244254	0.0641514	0.0850757	0.0959349	0.447113	0.170641	0.0567862	0.0070043	0.00363776	0.031676
z	0.00305168	0.00150896	0.00389274	0.0598007	0.0897492	0.0546843	0.461393	0.22015	0.0209873	0.0103272	0.00269383	0.0717611
ε	0.0191316	0.00749491	0.0137252	0.0790846	0.190835	0.135605	0.389435	0.103855	0.0210459	0.0157674	0.00789378	0.0161269
s	0.00134357	0.00140396	0.00972885	0.133807	0.0937412	0.0638034	0.24327	0.295842	0.0505116	0.0407429	0.00103381	0.0647713
í	0.00204971	0.00198381	0.0245112	0.0854905	0.119725	0.057758	0.12139	0.215962	0.149734	0.092349	0.014185	0.114862
t	0.00128883	0.00374675	0.00262377	0.0869921	0.111927	0.070625	0.0573344	0.285929	0.170496	0.174563	0.0143983	0.0200769
ó	0.00244304	0.00225969	0.023415	0.0736123	0.0536718	0.0385566	0.0802215	0.122782	0.481964	0.0376072	0.0144899	0.0689773
n	0.000159366	0.000171806	0.0060039	0.0151193	0.0188455	0.0389202	0.214902	0.184504	0.401418	0.0420183	0.00821357	0.0697241
g	0.00115732	0.00118537	0.0209736	0.0360337	0.0665758	0.0910287	0.0694946	0.134018	0.495981	0.0336699	0.00432834	0.0455535
a	0.000763761	0.00207953	0.0102208	0.0128869	0.0461182	0.0545764	0.0168665	0.0652072	0.683812	0.0626875	0.0200221	0.0247596
l	0.0017619	0.00232682	0.00305595	0.0314672	0.0474479	0.0423611	0.0235668	0.15358	0.147671	0.450893	0.0061781	0.0896906
á	0.00241238	0.00442822	0.00992291	0.0140097	0.0200824	0.0153131	0.026423	0.0706458	0.0706911	0.13865	0.13439	0.493031
n	0.00154498	0.0024499	0.00135579	0.0201068	0.0214451	0.00741575	0.00421629	0.0306002	0.0502604	0.325882	0.48153	0.0531933
d	0.000188559	0.00777599	0.00047944	0.00164817	0.00597191	0.00346675	0.00125158	0.013611	0.0232097	0.1125	0.818225	0.0116725
é	4.24193e-05	0.000870467	0.000233153	0.00016864	0.000601398	0.00077564	0.000794912	0.00180035	0.00479406	0.036561	0.927575	0.0257824
e	3.85443e-06	0.000120758	0.000573436	0.0010347	0.00334464	0.00770782	0.00900941	0.0566923	0.0535938	0.134798	0.564442	0.16868
k	0.000943934	0.000612735	0.00262076	0.0125636	0.0121758	0.0161559	0.012934	0.0625285	0.0624271	0.359441	0.0468844	0.410712
a	0.000823507	0.002666	0.0206552	0.08274	0.0293771	0.0111139	0.00949911	0.0643637	0.0846406	0.19107	0.0564632	0.446588
á	0.000147396	0.000375505	0.000846718	0.0103903	0.00468164	0.00198566	0.00350411	0.0238643	0.029723	0.092984	0.0747717	0.756726
</S>	0.001798	0.00207488	0.00175377	0.00957678	0.0086685	0.00453323	0.00553419	0.0145852	0.0051564	0.175346	0.259385	0.511589
