 	sa	fille	est	bavarde	</S>
m	0.842832	0.116879	0.0308692	0.00557238	0.00384733
w	0.0304234	0.918597	0.0385808	0.00224935	0.0101498
á	0.00539928	0.993752	0.000153429	0.000430049	0.000265729
n	0.167296	0.828275	0.0021632	0.000177723	0.00208787
a	0.0834603	0.763106	0.0169797	0.00216717	0.134287
y	0.862621	0.0296955	0.0937615	0.010669	0.00325303
a	0.558179	0.0812924	0.109948	0.102056	0.148524
w	0.722927	0.125386	0.0593932	0.0464515	0.0458421
á	0.621346	0.110604	0.0959721	0.124031	0.0480469
y	0.148113	0.211972	0.307719	0.0506719	0.281524
o	0.557672	0.033523	0.15557	0.140275	0.11296
y	0.418264	0.0258236	0.228412	0.158174	0.169326
ú	0.446696	0.0114799	0.181198	0.299711	0.0609147
r	0.1707	0.00669793	0.307626	0.193683	0.321293
u	0.797231	0.0085205	0.0568011	0.0591492	0.0782981
a	0.082131	0.0126653	0.621945	0.11077	0.172488
d	0.012048	0.00168266	0.646969	0.064261	0.275039
í	0.00671279	0.00104741	0.10419	0.0241162	0.863934
l	0.0408172	0.00354587	0.159824	0.0602235	0.73559
o	0.0019296	0.000947746	0.112079	0.243425	0.641619
t	0.00277403	0.00371036	0.0482087	0.77596	0.169347
ώ	0.00561274	0.00225019	0.107849	0.415838	0.46845
n	0.00165494	0.00022184	0.0436081	0.791474	0.163041
g	0.00408709	0.000753577	0.0886029	0.618132	0.288425
ώ	0.0787204	0.0191421	0.0687498	0.61093	0.222458
l	0.00541727	0.000613501	0.0292571	0.128733	0.835979
ώ	0.0131014	0.000479885	0.0443616	0.348305	0.593752
</S>	0.003899	0.000377161	0.0234224	0.35318	0.619122
