 	le	juge	traditionnel	est	assis	sur	son	trône	</S>
k	0.265012	0.498031	0.22362	0.00781927	8.14461e-05	0.000690151	0.00422946	0.000376537	0.000140987
á	0.0312675	0.62384	0.338522	0.0010632	0.00055855	0.00134215	0.00102807	0.00222239	0.00015639
n	0.00580967	0.0533736	0.936686	0.000628504	0.00174064	0.000547327	0.000173037	0.000748771	0.000292753
i	0.150902	0.80836	0.0263165	0.000928804	0.00212515	0.000749468	0.000359415	0.00120979	0.00904951
a	0.445127	0.277701	0.0371725	0.178597	0.0064682	0.0112309	0.00585029	0.000802027	0.0370508
d	0.271007	0.0595176	0.00606262	0.415198	0.100284	0.055145	0.024791	0.00262977	0.0653652
i	0.0725294	0.00812905	0.000169049	0.278507	0.247453	0.10331	0.037171	0.00357984	0.249152
d	0.108828	0.00654831	0.00392638	0.342681	0.403672	0.0571837	0.0192076	0.00249398	0.055459
z	0.0206972	0.000849121	3.13099e-05	0.0969519	0.773242	0.0732162	0.0187232	0.00112407	0.0151649
á	0.00261213	0.000255655	6.74704e-05	0.052538	0.912732	0.0255153	0.00342159	0.000692996	0.00216448
a	0.00309865	0.000286258	0.000505216	0.0520562	0.772314	0.139442	0.0136596	0.00318304	0.0154557
m	0.0179473	0.00370711	0.000358819	0.142033	0.245277	0.426324	0.105177	0.013026	0.0461502
ó	0.00315841	0.000848107	0.000809921	0.100278	0.289666	0.264133	0.141009	0.0445459	0.155551
k	0.0238813	0.00832125	0.000958313	0.0404688	0.105658	0.303418	0.0825732	0.400671	0.03405
w	0.0045544	0.00774494	0.000555846	0.00125362	0.0180004	0.204351	0.0257068	0.692013	0.0458204
a	0.00452669	0.00365256	0.0156451	0.00144582	0.0171158	0.0593788	0.0149702	0.845824	0.0374412
n	0.00139498	0.00182052	0.00656804	0.00163952	0.0173781	0.0885453	0.0732144	0.536825	0.272614
g	0.0184547	0.0245597	0.00154862	0.00378812	0.00888774	0.123025	0.207736	0.494252	0.117748
á	0.00620588	0.00930324	0.00293693	0.00260801	0.00527783	0.0298979	0.100256	0.74371	0.0998041
</S>	0.0111639	0.00630801	0.00164004	0.0132195	0.00981632	0.0561626	0.311669	0.149733	0.440288
