 	il	est	très	affaibli	par	la	maladie	</S>
w	0.838182	0.145511	0.00857946	0.00213453	0.00284074	0.00228194	0.000427045	4.37919e-05
a	0.813123	0.150537	0.0117352	0.00184139	0.00475727	0.0138967	0.00407872	3.07047e-05
á	0.255713	0.53594	0.190621	0.00277085	0.00597848	0.00632886	0.00061882	0.00202842
m	0.0389521	0.380352	0.512323	0.0257559	0.0189737	0.0131311	0.000471625	0.0100403
i	0.0268454	0.312681	0.541988	0.0573556	0.0294896	0.00971379	0.000828527	0.0210974
l	0.00877099	0.0921332	0.628424	0.24439	0.0124734	0.0040806	0.00167522	0.008053
o	0.00467886	0.0846756	0.568502	0.274355	0.0219605	0.00794471	0.0021701	0.0357128
n	0.00557758	0.0438578	0.789054	0.115357	0.0147091	0.00762595	0.00933721	0.0144809
d	0.113266	0.142148	0.342198	0.216886	0.0826764	0.0169946	0.0140695	0.0717616
á	0.280012	0.113362	0.354208	0.033322	0.039348	0.00753162	0.00892273	0.163293
ω	0.0311472	0.015183	0.156072	0.416022	0.307037	0.0570773	0.0105434	0.00691887
k	0.00261446	0.00779098	0.0821398	0.517777	0.267884	0.0639668	0.0377482	0.0200783
ώ	0.000174644	0.000860227	0.0146182	0.698639	0.0950946	0.031779	0.142931	0.0159041
b	0.000153814	0.000782363	0.0372258	0.760653	0.0365279	0.00858032	0.143016	0.0130601
h	0.0036491	0.0194791	0.044739	0.681772	0.138463	0.0204525	0.0180688	0.0733769
ώ	0.00128817	0.00279887	0.0518327	0.72481	0.0553533	0.0311867	0.0421316	0.0905989
l	0.00235918	0.00138548	0.0307042	0.169914	0.367508	0.204831	0.0687678	0.15453
a	0.00395199	0.00524196	0.0442103	0.0157569	0.237916	0.214195	0.0831378	0.395591
i	0.00908752	0.00358985	0.0192342	0.0169644	0.133929	0.229246	0.502619	0.0853306
k	0.00109316	0.002555	0.0121078	0.0283238	0.0211904	0.105783	0.809045	0.0199018
ω	0.000237102	0.00218375	0.0093676	0.01971	0.00768005	0.0422148	0.914863	0.00374367
n	3.79638e-06	3.24608e-05	0.000563795	0.00956518	0.00422692	0.0069724	0.97553	0.00310561
í	0.000324367	0.000980947	0.0044667	0.0189595	0.0541098	0.109155	0.679214	0.13279
</S>	0.00227824	0.00249337	0.0143877	0.00461968	0.0560363	0.295358	0.0958458	0.528981
