 	il	attache	le	cabri	a	l'	arbre	</S>
w	0.947086	0.0164112	0.0284708	0.00188947	0.00254704	0.00271835	0.000774488	0.000102559
a	0.873628	0.0208452	0.0533319	0.0153692	0.00711938	0.01721	0.0114863	0.00101042
á	0.310741	0.486638	0.155927	0.0124353	0.00815109	0.0137412	0.00498673	0.00738073
m	0.11465	0.594182	0.231515	0.00925118	0.011109	0.0198807	0.00257271	0.0168397
i	0.0320246	0.34503	0.398934	0.0873034	0.0406475	0.0100542	0.00427231	0.0817335
t	0.0158732	0.653123	0.267832	0.0224309	0.00709535	0.00386375	0.000758866	0.029023
i	0.00344621	0.572788	0.380554	0.00498073	0.00619642	0.00162389	0.00165568	0.0287554
n	0.00346829	0.331807	0.645019	0.00263545	0.00222903	0.0012983	0.000367045	0.0131754
g	0.0348481	0.552324	0.355246	0.00819034	0.0217053	0.00338781	0.00108316	0.0232152
á	0.124675	0.19212	0.356626	0.213791	0.0296148	0.00362892	0.002889	0.0766555
m	0.0201678	0.0321536	0.522461	0.0549685	0.199331	0.112813	0.0498718	0.00823324
b	0.000284163	0.00123094	0.0247738	0.907661	0.017223	0.00943614	0.0143118	0.0250788
ó	0.000180423	0.000781461	0.0232287	0.922248	0.00772257	0.00429418	0.037634	0.0039109
s	0.000201443	0.00292819	0.00326331	0.980203	0.00329666	0.000715678	0.00742755	0.00196422
i	0.0174997	0.126708	0.21026	0.167949	0.182167	0.0648166	0.080739	0.149861
i	0.0329503	0.0684676	0.0772687	0.0220334	0.432319	0.19506	0.0466287	0.125273
k	0.0158283	0.0153413	0.0473737	0.00157914	0.221966	0.323366	0.200897	0.17365
í	0.00448444	0.0274162	0.0612579	0.000953579	0.298014	0.242243	0.235943	0.129688
é	0.00333635	0.00398664	0.0182492	0.00353304	0.199799	0.0713606	0.334566	0.365169
m	0.000547981	0.00306303	0.00573952	0.000270624	0.0822583	0.434165	0.22538	0.248576
ó	0.0145113	0.00807939	0.105934	0.0130408	0.0317975	0.363774	0.141326	0.321537
i	0.0172193	0.0063978	0.0725207	0.0201084	0.0503249	0.194	0.523283	0.116146
b	0.00181226	0.0159526	0.0446749	0.00182047	0.0303383	0.211833	0.423862	0.269707
v	0.00338633	0.0091994	0.0559826	0.00659226	0.0121112	0.108572	0.785588	0.0185689
ú	0.000119396	0.00174659	0.00620087	0.0084885	0.00352201	0.0360684	0.933246	0.0106084
a	0.00207706	0.00107811	0.0128272	0.00265109	0.0510443	0.13752	0.443763	0.349039
</S>	0.000906631	0.00591902	0.0169188	0.00140788	0.0369054	0.273377	0.148936	0.51563
