 	je	regrette	d'	avoir	épousé	cet	homme	</S>
n	0.908335	0.0203222	0.0354687	0.0181666	0.0146721	0.00159951	0.0013557	8.05141e-05
g	0.977367	0.0108441	0.0103394	0.000999907	0.000347042	7.73673e-05	9.76371e-06	1.51897e-05
á	0.859439	0.124403	0.0120263	0.00294569	0.0003768	0.000586583	0.000139326	8.32792e-05
i	0.7068	0.046283	0.065766	0.0368123	0.0254184	0.045042	0.0135366	0.0603414
d	0.022577	0.772455	0.0158152	0.0336502	0.0541287	0.0140164	0.0120188	0.0753385
í	0.101309	0.782848	0.021262	0.0298858	0.00215395	0.0048178	0.000937827	0.056786
l	0.158257	0.273272	0.144937	0.195458	0.0104484	0.0288505	0.00286812	0.18591
a	0.33505	0.167195	0.229719	0.152448	0.00573986	0.0305	0.0039052	0.0754424
m	0.0397094	0.450066	0.3079	0.0897603	0.0161254	0.0344808	0.00139096	0.0605669
w	0.00205195	0.521598	0.342569	0.0818107	0.00926564	0.0118148	0.00387874	0.0270113
a	0.000527346	0.492864	0.25767	0.083642	0.106461	0.00964252	0.0222121	0.0269817
n	0.00641536	0.0723968	0.509337	0.0940546	0.133581	0.0300262	0.00556631	0.148622
g	0.0483289	0.264261	0.344065	0.0551972	0.118152	0.0139492	0.00044974	0.155597
é	0.0936778	0.430455	0.409493	0.0120958	0.0355191	0.00111673	0.000123019	0.0175186
m	0.0179965	0.00417465	0.471386	0.414067	0.0193647	0.0269648	0.00361737	0.0424293
ó	0.00191208	0.00422963	0.479748	0.276375	0.0831332	0.0848354	0.0131261	0.056641
l	0.005518	0.0130591	0.14997	0.211439	0.395366	0.138569	0.0413074	0.0447728
ó	0.0453989	0.0169109	0.0650322	0.323953	0.0825661	0.113719	0.0184866	0.333934
m	0.016513	0.0220203	0.195165	0.184625	0.214887	0.230943	0.0399922	0.095855
i	0.000541661	0.00454373	0.162958	0.259372	0.138781	0.315007	0.0297607	0.0890364
y	3.86329e-05	0.0011111	0.04359	0.212825	0.255013	0.249908	0.111855	0.125659
e	0.00180664	0.0360532	0.182715	0.161931	0.120962	0.288564	0.0184215	0.189547
e	0.00242585	0.00132774	0.0693728	0.160919	0.0271953	0.338094	0.0185978	0.382067
k	0.00083899	0.00164011	0.00572161	0.0624851	0.225747	0.324124	0.145134	0.234308
o	0.000100742	0.000275806	0.00244814	0.0201999	0.595938	0.0740532	0.172761	0.134223
b	1.37253e-05	0.000393607	0.00121925	0.00761518	0.773618	0.0307593	0.0978937	0.0884877
h	0.00126425	0.00102895	0.0123987	0.0382249	0.46346	0.0728152	0.0235488	0.387259
í	0.000882418	0.000637602	0.0103689	0.0125376	0.679089	0.0433361	0.0251895	0.227959
n	0.000348836	0.000275058	0.0114109	0.0314722	0.0366522	0.289386	0.145292	0.485163
g	0.0533637	0.0186004	0.158835	0.0972856	0.0202002	0.209984	0.0146121	0.427119
á	0.0884358	0.0528713	0.0914235	0.0281618	0.0396352	0.216213	0.0440248	0.439235
w	0.00113062	0.000175244	0.016622	0.0291241	0.00350051	0.38269	0.0866455	0.480112
ó	0.00622952	0.000524737	0.0389193	0.0650906	0.0224793	0.504627	0.15816	0.20397
</S>	0.0011807	0.00204063	0.00401931	0.00787384	0.0133056	0.332713	0.0655472	0.573319
