 	cet	instrument	musical	lenge	a	quatre	cordes	</S>
l	0.653494	0.200007	0.0803624	0.0309439	0.0211529	0.0112382	0.00152004	0.00128079
ε	0.4347	0.370457	0.0932282	0.0655834	0.020234	0.0106003	0.0037576	0.00143961
n	0.092514	0.710848	0.102413	0.063676	0.00828828	0.00176619	0.00145528	0.0190393
g	0.0869752	0.740148	0.0254496	0.100336	0.00809223	0.0241229	0.00138226	0.0134935
ε	0.0496653	0.905923	0.0112718	0.0297798	0.000763616	0.00180789	4.39414e-05	0.000744823
d	0.0696768	0.100278	0.459498	0.209955	0.123308	0.0120617	0.000789228	0.0244343
í	0.0594122	0.0770987	0.41786	0.308322	0.0389923	0.00935761	0.0004469	0.0885108
í	0.0261832	0.0130688	0.184186	0.241278	0.247126	0.03073	0.00647363	0.250955
d	0.042507	0.00590095	0.26764	0.207779	0.237056	0.0794577	0.0153283	0.144331
í	0.00306229	0.000340434	0.06118	0.194898	0.447046	0.0991293	0.00408641	0.190257
l	0.00405002	0.000608637	0.0472321	0.115957	0.353006	0.19538	0.0492577	0.234509
a	0.00114505	0.000752268	0.0640658	0.224	0.310969	0.125849	0.0291462	0.244072
n	0.0102888	0.00855662	0.104622	0.417297	0.172644	0.10087	0.135059	0.0506632
d	0.0018079	0.0449868	0.043407	0.506196	0.10889	0.267773	0.0118913	0.0150483
ú	0.00108989	0.0137958	0.0429656	0.381685	0.073729	0.444962	0.0238572	0.0179155
m	0.00591493	0.0381013	0.145383	0.366717	0.0880301	0.223311	0.0342455	0.0982969
a	0.0216701	0.00592522	0.152857	0.216965	0.162785	0.0919073	0.0785131	0.269377
é	0.00372824	0.00124751	0.0308128	0.0148694	0.10541	0.0971498	0.398833	0.347949
n	0.0177108	0.00405037	0.0282692	0.00604023	0.0425935	0.0648462	0.681253	0.155236
a	0.00892823	0.00150197	0.00521682	0.00932969	0.0369247	0.414593	0.244239	0.279267
a	0.000712088	0.00025402	0.00347882	0.00293038	0.0206187	0.0267854	0.347042	0.598179
</S>	0.003615	0.000456297	0.0135267	0.00952311	0.0668517	0.191266	0.235621	0.479139
