 	la	guerre	extermine	les	peuples	</S>
b	0.457684	0.536869	0.00501741	0.000363729	6.14931e-05	4.81492e-06
i	0.0417175	0.915233	0.0355655	0.00612586	0.000628495	0.000729468
r	0.0273099	0.956528	0.0145108	0.000667378	0.000503498	0.00048064
á	0.321016	0.452587	0.0884456	0.0141188	0.0296261	0.094207
b	0.112094	0.0803151	0.524501	0.162605	0.00526723	0.115217
í	0.184789	0.0634013	0.205833	0.260575	0.0493302	0.236072
i	0.18981	0.157281	0.271729	0.163929	0.153672	0.0635777
s	0.00914529	0.0179947	0.579021	0.252935	0.0563045	0.084599
í	0.00949565	0.00263248	0.092396	0.0775547	0.686649	0.131272
á	0.00261927	0.000619158	0.0739775	0.168037	0.395485	0.359262
b	0.012202	0.00199494	0.0345356	0.458213	0.236864	0.25619
a	0.0135928	0.00480054	0.042663	0.115264	0.748384	0.0752956
r	0.00693538	0.004249	0.0271933	0.0680842	0.739395	0.154143
e	0.00438625	0.000774355	0.00612775	0.15165	0.599816	0.237246
</S>	0.00621397	0.00021342	0.0314147	0.363366	0.031581	0.567211
