 	ce	cadavre	est	déjà	raide	</S>
e	0.646646	0.278502	0.0681673	0.00320379	0.00313946	0.000340868
b	0.0369847	0.944671	0.00628993	0.00324653	0.0082261	0.000582133
e	0.00130074	0.997612	0.000309607	0.000476204	0.000158978	0.000142819
m	0.00509032	0.98864	0.00262789	0.000338526	0.000670342	0.00263286
b	0.1212	0.868433	0.00871073	0.000286418	1.10271e-05	0.00135863
e	0.119717	0.8309	0.0132268	0.00130506	0.00194161	0.0329098
y	0.266946	0.0240467	0.682158	0.0162576	0.000854821	0.00973618
é	0.635267	0.0133884	0.306675	0.0143435	0.00653839	0.0237877
é	0.568467	0.00472567	0.358956	0.0151668	0.0222651	0.0304195
m	0.0211378	0.00185227	0.169243	0.619514	0.140988	0.047265
i	0.0699792	0.0116527	0.250456	0.410175	0.0347967	0.22294
s	0.00141067	0.00195901	0.00542541	0.838358	0.125729	0.0271187
á	0.000625494	0.00352729	0.00292823	0.770176	0.168725	0.0540184
á	0.0208419	0.000937891	0.0523872	0.100467	0.463845	0.361521
o	0.0196901	0.00349368	0.0573425	0.0697207	0.766899	0.0828539
s	0.00216128	0.00158527	0.00205341	0.0414833	0.927192	0.0255249
é	0.00201396	0.00177568	0.00211139	0.0254024	0.925127	0.0435693
n	0.0111277	0.0018719	0.00560324	0.0240014	0.444586	0.51281
y	0.0135571	0.000987563	0.00555602	0.0223543	0.677061	0.280484
a	0.0166071	0.0067264	0.0107544	0.0445225	0.504286	0.417103
</S>	0.0216645	0.00317071	0.0824542	0.0403448	0.249362	0.603004
