 	ondongo	est	devenu	pauvre	parce	que	sa	maison	a	été	incendiée	</S>
o	0.93542	0.0583793	0.002778	0.000176004	0.000706921	0.000923217	0.00128331	0.000162989	0.000113272	1.13598e-05	4.22974e-05	3.74216e-06
n	0.988831	0.00750994	0.000131836	0.00122959	0.000319638	0.000265533	0.000217382	0.000410341	0.000128126	8.55451e-05	0.000530202	0.000341259
d	0.939979	0.019635	0.00194904	0.0136917	0.00228894	0.00476094	0.00316956	0.00811155	0.00137471	0.00191114	0.000442774	0.00268553
ó	0.993042	0.00197433	5.85814e-05	0.00351028	5.77194e-05	8.36021e-05	8.65567e-05	0.00068971	5.78467e-05	0.00011924	0.000210798	0.000109113
n	0.976816	0.00590134	0.000615223	0.00476458	0.000721983	0.000842739	0.000668618	0.00699722	0.000345917	0.00143135	0.000349283	0.000545471
g	0.82523	0.0649056	0.0059154	0.00979385	0.0168334	0.00966816	0.00181783	0.00362512	0.00762155	0.0033544	0.00526115	0.0459731
o	0.967231	0.0179449	0.0010811	0.00253764	0.00133091	0.00172198	0.00146747	0.00213437	0.00133184	0.000679899	0.00110308	0.00143604
a	0.0227535	0.692442	0.166043	0.0226678	0.0158642	0.0166219	0.00998757	0.00488641	0.0171543	0.0092057	0.00507041	0.0173028
b	0.0185608	0.136612	0.610335	0.160123	0.00791581	0.0126889	0.00313929	0.00376608	0.00956461	0.00947606	0.00281996	0.0249984
h	0.000394102	0.0450972	0.859308	0.0470829	0.0108752	0.0116882	0.00217624	0.000458458	0.00530058	0.00733587	0.00391106	0.00637185
i	0.0014732	0.0349173	0.856074	0.0296531	0.0273029	0.0273575	0.00426018	0.000860677	0.00487816	0.00211895	0.00169971	0.00940486
e	0.00114282	0.0712494	0.463052	0.0778811	0.123339	0.106893	0.0334714	0.012018	0.0151735	0.00386922	0.00601562	0.0858954
y	0.00329913	0.0332217	0.240918	0.505388	0.0600614	0.0674743	0.011973	0.0223414	0.00757919	0.00418869	0.0186904	0.0248653
o	0.000187795	0.00249791	0.0158643	0.917534	0.00590939	0.00999194	0.00665022	0.00288807	0.00316057	0.012756	0.00552978	0.0170303
ó	0.000490897	0.00131688	0.0162835	0.848254	0.024455	0.0310423	0.00670381	0.000453074	0.00156475	0.00937596	0.0110179	0.0490418
t	0.000499568	0.00945368	0.127634	0.143958	0.261662	0.230725	0.175868	0.00705144	0.0132188	0.00812686	0.00264426	0.019159
s	0.000208255	0.00472044	0.0326513	0.139303	0.539105	0.160726	0.022518	0.0340513	0.0221999	0.00480651	0.00094366	0.038767
í	0.000504242	0.00173834	0.0337359	0.0821385	0.614654	0.172167	0.0508023	0.0140487	0.00652575	0.00200204	0.00263775	0.0190456
n	0.000455241	0.00404806	0.04521	0.0747839	0.446242	0.19933	0.0431871	0.0805154	0.0138298	0.00377685	0.0130474	0.0755736
a	0.00557384	0.00441486	0.00667496	0.0609716	0.170735	0.176825	0.12442	0.242218	0.029507	0.00627918	0.0141816	0.158198
w	0.000439989	0.00272525	0.00931801	0.0154259	0.200771	0.235586	0.271174	0.0930018	0.0878299	0.0271827	0.0111137	0.0454312
a	0.0029885	0.00545869	0.0178236	0.00564961	0.367255	0.188422	0.133552	0.099108	0.108947	0.022691	0.0010133	0.0470909
n	0.000665656	0.000423927	0.00130013	0.00294422	0.173294	0.171756	0.240525	0.0804746	0.164236	0.110202	0.00405492	0.0501236
d	0.230685	0.0051516	0.00582719	0.0144724	0.010987	0.0634706	0.233723	0.326688	0.0301148	0.0136025	0.00836634	0.056912
é	0.00294869	0.000579146	0.000346349	0.0549936	0.015164	0.0598928	0.0803415	0.590201	0.0644156	0.0783607	0.0233476	0.0294089
e	0.00202764	0.00137529	0.00190691	0.0720337	0.0378148	0.0648958	0.0503953	0.232215	0.154842	0.204939	0.0381749	0.13938
é	8.1029e-05	0.00163766	0.0035054	0.00294939	0.0602568	0.105691	0.0746422	0.0399077	0.416361	0.120963	0.0262634	0.147741
m	0.00139971	0.00136933	0.0113818	0.0199203	0.0229008	0.0659059	0.0366906	0.00274602	0.11003	0.362427	0.22383	0.141398
i	7.02527e-05	0.00114976	0.00408817	0.00225884	0.00830243	0.0472143	0.0399328	0.00174987	0.0505049	0.287818	0.313035	0.243876
b	0.00148237	0.000643277	0.00567063	0.00534172	0.00313873	0.0161467	0.00493599	0.0013671	0.0226505	0.179069	0.388097	0.371457
o	5.99126e-06	0.000148499	0.00534303	0.000619559	0.000337946	0.00291195	0.000614161	1.84112e-05	0.00225181	0.00679314	0.965277	0.0156783
n	0.000147918	8.81507e-05	0.00143233	0.0102313	0.0156513	0.0233989	0.00389112	0.000261293	0.0166926	0.089935	0.525945	0.312325
g	0.0096913	0.00204615	0.0037823	0.00607873	0.0261771	0.0390474	0.0391022	0.0186833	0.100108	0.114751	0.210768	0.429765
a	0.00128806	0.00319787	0.00261481	0.0212369	0.115212	0.090375	0.130624	0.0381592	0.0932806	0.0582342	0.200819	0.244959
</S>	8.22567e-05	0.000902424	0.00166199	0.00146136	0.018271	0.0360966	0.11943	0.0107665	0.146938	0.128414	0.0343768	0.501599
