 	le	repas	qu'	on	lui	a	donné	n'	était	insuffisant	</S>
b	0.337511	0.551155	0.0530517	0.0237226	0.0072077	0.00495469	0.00521419	0.00425583	0.00807405	0.000900095	0.00395283
e	0.0833243	0.879882	0.0100484	0.00689236	0.00533889	0.00337054	0.00239052	0.00171709	0.00441667	0.00171657	0.00090279
a	0.0177195	0.659381	0.115172	0.103491	0.0554447	0.0126702	0.012246	0.00508645	0.00278439	0.00124043	0.0147653
b	0.209499	0.226359	0.216908	0.128765	0.0338486	0.0193391	0.0157909	0.0083901	0.0133797	0.011804	0.115917
í	0.0184368	0.100367	0.229777	0.341768	0.191648	0.0575873	0.0151044	0.00592963	0.00419958	0.00177269	0.03341
d	0.0161857	0.115401	0.26767	0.215223	0.0881846	0.0291155	0.0175414	0.00886826	0.01116	0.0198108	0.210839
z	0.0548206	0.0113561	0.0377744	0.136276	0.199043	0.0490645	0.0307518	0.0303734	0.00815941	0.0872332	0.355148
á	0.0261271	0.00644158	0.0742818	0.144978	0.24134	0.0683239	0.0320612	0.0408487	0.0146231	0.0840983	0.266876
a	0.00911899	0.0294414	0.243982	0.269825	0.173913	0.0828715	0.0287749	0.0275862	0.0139785	0.0153425	0.105166
b	0.00767283	0.00684221	0.214576	0.315216	0.184384	0.149308	0.0675379	0.014357	0.0156792	0.00342972	0.0209972
í	0.00651876	0.022195	0.0359817	0.252593	0.381302	0.132884	0.0899709	0.038534	0.0135606	0.00523248	0.0212282
í	0.00928597	0.0209538	0.122391	0.303004	0.1946	0.122733	0.0702381	0.0290692	0.0119899	0.0155178	0.100217
p	0.00199013	0.00191955	0.02925	0.106658	0.120085	0.233724	0.328964	0.0547373	0.0385551	0.0175519	0.0665652
έ	0.000948607	0.0018392	0.0116908	0.073178	0.0855372	0.143534	0.334004	0.178089	0.0360071	0.0508858	0.0842863
έ	0.00363247	0.00547338	0.0787142	0.170178	0.112323	0.118356	0.123684	0.0684031	0.0171091	0.0647417	0.237385
b	0.00260736	0.00455065	0.0586804	0.15017	0.145241	0.177	0.15558	0.120012	0.0787726	0.0284941	0.0788916
á	0.0066876	0.0739483	0.018639	0.177786	0.279516	0.113478	0.134655	0.0773265	0.0434926	0.0439689	0.0305024
a	0.00774432	0.0364704	0.0604343	0.266895	0.232516	0.103774	0.0832987	0.0846364	0.0341532	0.0260243	0.0640538
w	0.00111385	0.00166715	0.0218608	0.0578815	0.0497682	0.105104	0.16458	0.195637	0.2244	0.0619237	0.116064
a	0.00593063	0.0109258	0.0239163	0.0838933	0.149913	0.205038	0.197626	0.163789	0.0786746	0.0246504	0.0556442
í	0.00363107	0.0026607	0.0203416	0.033406	0.0398098	0.0637907	0.091652	0.162897	0.233102	0.146128	0.202582
d	0.00347142	0.00126848	0.0170414	0.0358325	0.0251976	0.0538635	0.114847	0.102695	0.294609	0.155619	0.195556
z	0.00142287	0.000243988	0.00147887	0.00710283	0.00787495	0.0121127	0.0386426	0.0513923	0.195561	0.140465	0.543703
e	0.0135812	0.000908802	0.00976873	0.0295629	0.0510796	0.074837	0.0519027	0.291806	0.099233	0.227	0.15032
i	0.00293159	0.000926143	0.00641647	0.0235299	0.0191108	0.038395	0.0635956	0.0759094	0.37154	0.145249	0.252396
t	0.00344327	0.00233514	0.00346534	0.00769781	0.00676478	0.00972083	0.0270045	0.0436952	0.11515	0.359136	0.421587
í	0.000530439	0.000538517	0.000893635	0.00333043	0.00382413	0.00921806	0.0335808	0.0799405	0.181334	0.349154	0.337655
i	0.000837169	0.000344138	0.00172521	0.00535286	0.00495258	0.0100735	0.0405982	0.0859386	0.102589	0.188993	0.558595
s	0.00102584	0.000499616	0.00232643	0.00469831	0.00463051	0.0124706	0.0250761	0.0817088	0.139861	0.393756	0.333947
í	0.0010908	0.000182479	0.00172852	0.00485127	0.00617653	0.00762274	0.0306186	0.0687319	0.0916225	0.283046	0.504329
</S>	0.00270234	0.00093986	0.00798779	0.0137976	0.00985502	0.00993662	0.0160611	0.0291068	0.118485	0.213797	0.57733
