 	ça	sent	le	brûlé	</S>
é	0.888924	0.0136693	0.0938943	0.00302097	0.000491457
d	0.652695	0.221126	0.0703243	0.0527471	0.00310744
í	0.163932	0.568807	0.106139	0.0928515	0.0682704
l	0.0758493	0.449422	0.223683	0.116507	0.134538
a	0.049067	0.239566	0.102702	0.0171598	0.591505
t	0.0411263	0.763082	0.0569624	0.0933731	0.045456
s	0.00468945	0.744352	0.0236749	0.174228	0.0530554
o	0.00287883	0.762596	0.0562466	0.159316	0.0189625
l	0.00182315	0.366282	0.0334856	0.569068	0.0293406
o	0.00323696	0.207789	0.0352535	0.511229	0.242491
y	0.0651908	0.0239293	0.436046	0.0682884	0.406545
í	0.0735041	0.0272702	0.757368	0.0759447	0.0659135
b	0.0250605	0.0141334	0.400146	0.374927	0.185732
o	0.0147333	0.00125619	0.144486	0.735642	0.103883
n	0.00155307	0.00397527	0.0353063	0.896809	0.0623565
g	0.0179028	0.0360172	0.0374879	0.543543	0.36505
a	0.0110043	0.0463507	0.0527305	0.280655	0.60926
</S>	0.0596292	0.00269646	0.0849769	0.0128795	0.839818
