 	il	bouche	le	trou	</S>
k	0.681973	0.177809	0.123011	0.0156253	0.00158246
í	0.3816	0.431652	0.0435718	0.122958	0.0202179
n	0.0654941	0.338617	0.0753322	0.120608	0.399949
d	0.429792	0.321801	0.052824	0.0590541	0.136529
í	0.272856	0.531967	0.0308255	0.00581865	0.158533
s	0.122301	0.272587	0.503791	0.0540245	0.047297
á	0.0586134	0.253165	0.263232	0.0284101	0.39658
i	0.273331	0.108884	0.504806	0.0854061	0.0275733
w	0.02251	0.181388	0.316557	0.294941	0.184604
ó	0.0307526	0.065172	0.330313	0.477364	0.096398
l	0.0146936	0.0337052	0.238207	0.433204	0.28019
á	0.0276909	0.0874823	0.148425	0.207272	0.529131
</S>	0.0366303	0.0253866	0.215441	0.321013	0.401529
