 	ils	se	sont	associés	pour	faire	le	travail	</S>
b	0.566504	0.421332	0.00241406	0.0011712	0.00264564	0.00221788	0.00350174	0.0001807	3.28141e-05
á	0.125424	0.74196	0.0430412	0.0371163	0.0196966	0.0128588	0.0187861	0.000833078	0.00028308
a	0.649949	0.320305	0.0118007	0.0030964	0.0058704	0.00184605	0.00259368	0.000313379	0.0042256
á	0.0244811	0.429211	0.433257	0.0439005	0.0100684	0.00380375	0.00481973	0.00138578	0.0490734
b	0.000561825	0.0399881	0.376206	0.487167	0.0425239	0.021002	0.00976437	0.00664356	0.0161428
é	0.0004515	0.0293622	0.145943	0.61353	0.141185	0.0473832	0.0106517	0.00144433	0.0100484
n	0.00187065	0.019426	0.138649	0.543817	0.18034	0.0527391	0.0118059	0.0159006	0.0354511
y	0.00346764	0.0280119	0.159798	0.446105	0.22193	0.0832256	0.0185629	0.0094699	0.0294287
i	0.000782991	0.0197556	0.128728	0.383768	0.307217	0.11296	0.0202445	0.00359432	0.0229501
i	0.0753486	0.0539782	0.236281	0.132823	0.266423	0.11916	0.0595694	0.008598	0.0478187
p	0.00249188	0.00429945	0.0125281	0.0873865	0.372117	0.374659	0.0795613	0.0471285	0.0198279
f	0.000114384	0.0014931	0.00127559	0.0108446	0.153778	0.769256	0.0210187	0.0321359	0.0100843
u	0.000117666	0.00112817	0.000889081	0.00776209	0.236839	0.661679	0.0557654	0.0213595	0.0144609
r	0.000257058	0.00120764	0.00397284	0.0149541	0.198277	0.48026	0.182566	0.0284597	0.0900455
έ	0.00141032	0.00222091	0.00546982	0.0153858	0.442006	0.282344	0.194045	0.015163	0.0419555
m	0.00119334	0.00412136	0.0357298	0.0453322	0.0663422	0.183959	0.536826	0.0477792	0.0787171
i	0.00243311	0.00164994	0.00532234	0.00612666	0.0663479	0.107174	0.365961	0.12573	0.319255
s	0.000279366	0.000933025	0.00156684	0.0023188	0.0201834	0.0592214	0.130368	0.671363	0.113766
á	4.19762e-05	5.08066e-05	0.000685343	0.00201956	0.00735621	0.00878938	0.0335124	0.877918	0.0696268
l	7.17565e-05	4.25707e-05	0.000253308	0.000283838	0.00107642	0.00134589	0.0146487	0.84724	0.135038
a	0.000102597	0.000494674	0.00184359	0.0100197	0.0166708	0.026204	0.0824941	0.663844	0.198326
</S>	1.71669e-05	0.000216179	0.0011793	0.0015583	0.00443579	0.0117741	0.0746296	0.36063	0.54556
