 	il	y	a	un	grand	espace	entre	ces	deux	maisons	</S>
p	0.231632	0.304775	0.153799	0.0445578	0.166638	0.0406359	0.020825	0.020006	0.0157609	0.00111398	0.000256163
á	0.0436318	0.427026	0.0474834	0.0795244	0.173463	0.0395649	0.0934759	0.0738872	0.0106669	0.0105001	0.000776546
n	0.0155737	0.120307	0.0759465	0.187929	0.168463	0.0587856	0.0956193	0.0899869	0.0129034	0.0171727	0.157313
y	0.232178	0.164731	0.0794487	0.224946	0.161835	0.0618773	0.0236913	0.0174107	0.00599727	0.00308987	0.0247951
á	0.300926	0.257228	0.0681782	0.108053	0.128396	0.0483253	0.0305496	0.011962	0.00225128	0.00301299	0.041117
a	0.174239	0.148272	0.367193	0.0917133	0.138384	0.0189074	0.0151748	0.0065021	0.00949043	0.00266294	0.0274609
a	0.0260948	0.0445632	0.389621	0.148769	0.187661	0.120044	0.0432058	0.00988126	0.0109138	0.00257353	0.0166718
n	0.00342716	0.0196435	0.241657	0.2124	0.0911387	0.229147	0.148929	0.025215	0.0109757	0.00483865	0.0126278
d	0.00800308	0.0114154	0.0303283	0.103398	0.128784	0.631385	0.0366038	0.00997081	0.00415355	0.00340888	0.0325479
é	0.00116566	0.00155938	0.00473952	0.0295851	0.0437021	0.900246	0.0143539	0.00146914	0.000333722	0.000532982	0.00231272
e	0.00809037	0.0155132	0.0599022	0.15335	0.234464	0.384406	0.112949	0.0101929	0.0034722	0.00321702	0.0144426
m	0.0110147	0.0162677	0.129613	0.0864056	0.237414	0.15264	0.292814	0.0451086	0.0194884	0.00255828	0.00667556
á	0.00946375	0.0032594	0.0273777	0.143161	0.182232	0.114998	0.219253	0.194898	0.0348399	0.0258127	0.0447051
á	0.00460919	0.00257374	0.0186022	0.0584391	0.162777	0.237126	0.337268	0.132301	0.0226686	0.0126538	0.0109813
b	0.000546366	0.00381567	0.0236331	0.0305307	0.0227192	0.13298	0.54865	0.170393	0.039557	0.0109666	0.016209
a	0.00107054	0.00346482	0.00998481	0.0146891	0.0114209	0.0515215	0.342661	0.405397	0.115345	0.0287113	0.0157346
á	0.00140011	0.00166891	0.0119817	0.052357	0.0756781	0.199579	0.198773	0.219276	0.0572251	0.0317256	0.150336
i	0.00227304	0.00232687	0.0236598	0.0154754	0.0276281	0.0555063	0.170839	0.279397	0.317813	0.0242689	0.0808137
b	0.00142838	0.00372688	0.012343	0.0322417	0.0142805	0.0295885	0.237698	0.36444	0.0889969	0.12699	0.0882655
h	0.00364187	0.00450563	0.0137795	0.023426	0.0177163	0.0184987	0.0939895	0.420807	0.184957	0.193909	0.0247693
o	0.0001963	0.000231874	0.000941693	0.00988587	0.00927502	0.0110614	0.112976	0.477586	0.207821	0.13033	0.0396946
l	5.56831e-05	0.000983858	0.00189353	0.0184138	0.0393914	0.00334467	0.119491	0.54581	0.193746	0.0452978	0.0315715
i	0.000318455	0.000786848	0.00477112	0.0210818	0.0154466	0.0174462	0.119912	0.456644	0.143037	0.0978097	0.122746
í	0.000274881	0.001481	0.00591537	0.00661573	0.00781881	0.00271188	0.0735122	0.261224	0.279799	0.21635	0.144297
d	0.000859979	0.00371412	0.0258451	0.0200374	0.0125327	0.00599514	0.0715639	0.127277	0.290218	0.382757	0.0591992
í	0.000287166	0.00101789	0.00534332	0.0160797	0.00574234	0.00461063	0.0323893	0.0797694	0.293024	0.256293	0.305444
i	0.000424101	0.000619998	0.00351233	0.0044372	0.00642721	0.00247626	0.0109398	0.0823052	0.34486	0.288632	0.255367
n	0.00108859	0.00262074	0.00856946	0.0315165	0.00989224	0.00807034	0.0289003	0.0552314	0.0990095	0.609925	0.145176
έ	0.000706888	0.00198627	0.00377663	0.075582	0.0267615	0.0327621	0.047996	0.0536079	0.0305318	0.432824	0.293465
</S>	0.000135821	0.000415409	0.0007751	0.00250425	0.00379266	0.00202123	0.0191267	0.049744	0.0970583	0.218169	0.606257
