 	il	a	trouvé	une	astuce	pour	faire	faire	son	travail	par	son	frère	</S>
w	0.926062	0.0408189	0.00147488	0.00220661	0.0083554	0.00787205	0.00822587	0.00259924	0.00148149	0.000308898	0.000246267	0.000331144	1.00939e-05	7.28418e-06
a	0.795254	0.0511065	0.00281125	0.00757828	0.0484822	0.043384	0.0282832	0.00791294	0.0116934	0.00068168	0.000708337	0.00179828	0.000295839	9.7494e-06
á	0.0994127	0.647279	0.205027	0.023821	0.00249381	0.00325723	0.00276767	0.0030241	0.00650212	0.00122639	0.00172596	0.00233283	0.000767502	0.000362556
m	0.0243344	0.373258	0.380299	0.109071	0.042437	0.00336991	0.00580531	0.00923135	0.0074645	0.0150034	0.0101061	0.0066287	0.00335386	0.00963798
i	0.00681023	0.258972	0.486256	0.102192	0.0156698	0.0186402	0.0196392	0.0108058	0.0103605	0.0194567	0.0144819	0.00335874	0.00901662	0.0243394
d	0.00224885	0.0552171	0.718074	0.178355	0.0305893	0.00147881	0.00182212	0.00141824	0.000853796	0.00241955	0.00122805	0.000406117	0.00149836	0.00439067
i	0.000156305	0.00714039	0.83836	0.108541	0.0265367	0.00130503	0.00117326	0.0012297	0.000888105	0.00193742	0.00115777	0.000315389	0.00126723	0.00999207
á	0.000283765	0.00640806	0.208566	0.606615	0.136269	0.0074957	0.00505192	0.00314446	0.00305478	0.00315606	0.003274	0.00140288	0.00369313	0.0115848
a	0.00581123	0.0321756	0.0392414	0.382003	0.35028	0.0845841	0.0442941	0.016605	0.015295	0.00489587	0.00860777	0.00793608	0.00307945	0.00519091
y	0.000622329	0.00443464	0.00799162	0.122153	0.735857	0.0420822	0.0436829	0.0126557	0.0068348	0.0110196	0.00494637	0.00112351	0.00490547	0.00169101
έ	0.000702708	0.0138331	0.0401328	0.159217	0.581272	0.0465962	0.0586486	0.0246093	0.0269908	0.011829	0.00463267	0.00428363	0.0142031	0.013049
l	0.000318369	0.00474749	0.00841087	0.0514995	0.229539	0.137898	0.0904165	0.04434	0.0871015	0.0335208	0.0390977	0.0182577	0.0840567	0.170796
i	0.0018251	0.00872225	0.00636117	0.136695	0.166559	0.198229	0.160199	0.0847796	0.0687608	0.0168763	0.0483612	0.0265369	0.0114092	0.0646858
m	0.0013624	0.012155	0.00785573	0.0809358	0.127441	0.311353	0.188504	0.100846	0.0801309	0.0239095	0.023972	0.0109365	0.0083044	0.022294
á	0.0047648	0.00366103	0.00352396	0.0336622	0.0708699	0.253239	0.0480001	0.0735585	0.228413	0.0465757	0.045468	0.018828	0.0178381	0.151598
i	0.00942246	0.00564522	0.0021838	0.011481	0.0422973	0.134146	0.18796	0.188219	0.238361	0.107254	0.0263969	0.0163235	0.0230553	0.00725404
p	0.000461002	0.00178515	0.00176998	0.015272	0.122295	0.0230221	0.0917622	0.196127	0.15838	0.309786	0.0303717	0.00449031	0.0370516	0.00742522
έ	0.0002063	0.00112535	0.00140502	0.0108815	0.0500161	0.017437	0.106119	0.259564	0.147923	0.321582	0.0272612	0.00631464	0.0368576	0.0133076
ε	0.000725746	0.00030468	0.000371677	0.00465524	0.0727239	0.0866627	0.121729	0.191988	0.167957	0.11503	0.0487654	0.021013	0.0137233	0.15435
l	0.000565482	0.0013499	0.00058522	0.00865258	0.0143325	0.0770091	0.043274	0.201695	0.353209	0.120767	0.0884935	0.0516139	0.00759336	0.03086
á	0.000369863	0.00122985	0.00159198	0.00831088	0.0140122	0.046678	0.0502972	0.149776	0.285281	0.147371	0.0914251	0.0467157	0.0218342	0.135108
i	0.0112325	0.00570309	0.000971069	0.00409774	0.00940872	0.0631031	0.0334173	0.0666782	0.352737	0.153008	0.0892611	0.128094	0.0599095	0.0223784
s	0.000733949	0.00150065	0.000466458	0.00419921	0.0295073	0.0085688	0.0141693	0.0425255	0.0944076	0.387697	0.203177	0.0318631	0.153965	0.0272191
á	0.000228423	0.00217853	0.00310777	0.0104782	0.0210995	0.00575793	0.00399289	0.0179459	0.161211	0.175425	0.0954612	0.0847065	0.341635	0.0767723
l	0.000737738	0.000464058	0.000440342	0.00126688	0.00320817	0.00721896	0.00580936	0.0251693	0.147075	0.256689	0.110881	0.115976	0.197975	0.127089
a	0.000317615	0.000294683	0.000165107	0.000950829	0.00296636	0.0152833	0.0179055	0.0536837	0.219575	0.201836	0.18783	0.0842296	0.0720428	0.14292
l	0.000159881	0.000430214	0.000147718	0.000526901	0.000899883	0.00854095	0.00801896	0.0322164	0.118931	0.145648	0.284201	0.196343	0.0622399	0.141696
á	0.000980768	0.000901358	0.000290157	0.00183811	0.00842683	0.00853739	0.0115577	0.0388093	0.102723	0.191968	0.227735	0.104072	0.143128	0.159032
w	0.0056354	0.00264454	0.000371789	0.00246431	0.00295272	0.0314412	0.00862108	0.0197355	0.105665	0.0364421	0.144385	0.416046	0.188701	0.0348941
a	0.00188593	0.00131488	0.00048248	0.00199101	0.00690061	0.0121359	0.0213576	0.058021	0.135811	0.117518	0.153893	0.176607	0.287225	0.0248572
l	0.000199914	6.85604e-05	7.17173e-05	0.000282134	0.000737726	0.00250874	0.00494674	0.0256179	0.0627409	0.0641252	0.190466	0.236174	0.271475	0.140585
