 	okoumou	est	en	train	de	clôturer	sa	parcelle	</S>
o	0.900463	0.0956606	0.0032026	0.000526546	7.92678e-05	1.2896e-05	4.33823e-05	7.7668e-06	4.35847e-06
k	0.901281	0.0929649	0.00200773	0.00202354	0.000155252	0.000563801	7.42919e-05	0.000256515	0.000673183
ú	0.876563	0.107666	0.00316792	0.00835585	0.000260821	0.00112183	0.00044459	0.000888188	0.00153234
m	0.556043	0.270958	0.159061	0.00228624	0.000547099	0.00154876	0.00280416	0.00281655	0.00393506
ú	0.9389	0.0453887	0.0101695	0.00490584	0.000223886	3.37852e-05	0.000102029	1.10944e-05	0.000265118
b	0.0679214	0.393146	0.362893	0.0191622	0.127238	0.0104733	0.00690507	0.000298583	0.011963
ó	0.108448	0.0743396	0.142677	0.168672	0.294223	0.102213	0.0315495	0.00371495	0.0741622
l	0.0120426	0.0539179	0.399563	0.0481607	0.437381	0.0246937	0.0188088	0.000975173	0.00445662
á	0.00959133	0.0245136	0.0388123	0.00393904	0.377144	0.112761	0.102498	0.00474813	0.325992
a	0.0958256	0.092936	0.115379	0.00986545	0.351378	0.213333	0.0422028	0.00888463	0.0701951
b	0.016044	0.00833316	0.00274835	0.000830611	0.208579	0.693461	0.0438276	0.0150825	0.0110944
h	0.00382545	0.00440983	0.00155129	0.0046196	0.0539762	0.884411	0.0398585	0.00244762	0.00490029
á	0.0112016	0.0023124	0.000893918	0.00711979	0.0109611	0.963884	0.00247	0.000360464	0.000796501
n	0.00637501	0.00188993	0.00157353	0.00125411	0.0195253	0.761394	0.0239115	0.0904986	0.0935781
g	0.00118384	0.00103075	0.00322706	0.000320971	0.143356	0.640285	0.164528	0.0124567	0.0336113
á	0.00214786	0.00115871	0.0142231	0.000416804	0.137758	0.361116	0.0928019	0.0476771	0.342701
e	0.00342262	0.00331716	0.00280172	0.000388304	0.0112872	0.0108047	0.444819	0.44528	0.0778791
f	0.00696431	0.00248049	0.000255858	0.000113577	0.001562	0.00824991	0.0197788	0.934474	0.0261208
u	0.00389161	0.00435783	0.00122053	0.000688407	0.00241396	0.0184908	0.0380053	0.794231	0.136701
n	0.00111566	0.000549087	0.000699714	0.000287286	0.00139553	0.00445271	0.0186521	0.655328	0.31752
d	0.00486992	0.00308684	0.00137502	8.28507e-05	0.00254515	0.00855218	0.137626	0.576509	0.265353
u	0.00077766	0.0043327	0.00501266	0.000461577	0.00656463	0.010917	0.0504706	0.623164	0.298299
</S>	0.00128174	0.00627219	0.00771824	0.000302183	0.0101022	0.00118651	0.144235	0.157944	0.670958
