 	il	peut	rester	il	ne	me	dérange	aucunement	</S>
l	0.879585	0.0529058	0.0148964	0.00608065	0.0130128	0.0235879	0.00944451	0.00039994	8.71194e-05
á	0.905908	0.0189931	0.0163074	0.0164032	0.0161857	0.0201795	0.00468204	0.000735677	0.000605719
a	0.412403	0.186314	0.0849308	0.0659975	0.0488719	0.0909068	0.0288507	0.0196945	0.0620304
b	0.153089	0.337819	0.107825	0.0714591	0.0527463	0.0684366	0.102698	0.0153127	0.0906148
h	0.0162313	0.825759	0.0625344	0.0188959	0.0111294	0.00909102	0.0383592	0.00148258	0.0165167
e	0.00505049	0.942392	0.0185705	0.0027979	0.00332373	0.00470055	0.0156877	0.000264493	0.00721291
r	0.0425241	0.855653	0.0584361	0.0110136	0.00892002	0.00599341	0.00666549	0.0012993	0.00949542
á	0.0808165	0.681961	0.102915	0.0319614	0.0144875	0.0117734	0.00943644	0.00128072	0.0653682
o	0.128224	0.313861	0.374708	0.0801818	0.0318054	0.0250601	0.0353976	0.0015961	0.00916677
b	0.0059945	0.111789	0.67099	0.113564	0.045277	0.0200279	0.0161026	0.00858826	0.00766714
v	0.0210805	0.383185	0.410496	0.0781336	0.0421622	0.0118329	0.0421383	0.00128062	0.0096907
u	0.00282232	0.621168	0.267791	0.0389456	0.024477	0.00556747	0.0342005	0.000838748	0.00418922
a	0.0313859	0.220168	0.35047	0.172903	0.0898254	0.0220902	0.0593445	0.00196547	0.0518484
w	0.00553468	0.0292971	0.171858	0.305146	0.259716	0.0627112	0.10011	0.00126388	0.0643628
a	0.0286039	0.0423258	0.254574	0.232275	0.0915277	0.0388779	0.0726764	0.00314065	0.235999
a	0.0054976	0.00565907	0.0710546	0.259749	0.194955	0.124072	0.215047	0.00425963	0.119705
d	0.0023985	0.0216893	0.0663579	0.12119	0.324285	0.126767	0.235083	0.0085586	0.0936701
í	0.000918518	0.00280877	0.00578997	0.0407903	0.307113	0.104848	0.290212	0.00262311	0.244895
s	0.00087696	0.00165682	0.0111051	0.045752	0.263871	0.196091	0.319569	0.0519013	0.109176
i	0.00118374	0.000995543	0.00399426	0.0255054	0.0919215	0.571427	0.158913	0.0777968	0.0682628
ω	0.00104671	0.000614613	0.00635037	0.0245706	0.100652	0.312927	0.131863	0.397145	0.024831
n	0.000336423	0.00453854	0.0150041	0.010765	0.0565566	0.104746	0.189266	0.58608	0.032707
y	0.00152746	0.00263237	0.00372588	0.00828893	0.0188446	0.531946	0.0250129	0.350247	0.0577744
ω	0.000121276	0.000266866	0.0004789	0.00149455	0.00885537	0.251612	0.012436	0.714532	0.0102032
n	7.96353e-05	0.000374916	0.000469688	0.00150371	0.0105169	0.12752	0.00825623	0.841177	0.010102
g	0.000123492	0.00217282	0.00482835	0.0131972	0.0742098	0.0626528	0.0882269	0.613849	0.140739
ώ	0.000319865	0.00167896	0.00208458	0.00515992	0.0246299	0.0680929	0.0359798	0.724549	0.137505
s	0.000249699	0.00167942	0.00172459	0.00320832	0.0156758	0.0372444	0.055146	0.0256071	0.859465
ώ	0.00110042	0.0053144	0.0119463	0.0159922	0.0653403	0.300597	0.102118	0.140971	0.356621
n	0.000998954	0.00102618	0.00956116	0.0143327	0.0598399	0.175625	0.131125	0.220104	0.387387
g	0.000222335	0.00018523	0.000868203	0.00278588	0.00976636	0.350531	0.0168591	0.537061	0.0817211
á	0.000200114	5.02656e-05	0.000227532	0.00125343	0.0024362	0.228182	0.00544951	0.673895	0.0883061
k	0.000621674	0.00363876	0.018319	0.0194349	0.0334234	0.118446	0.0917694	0.230377	0.48397
a	0.000887535	0.00654638	0.0215508	0.0216209	0.109756	0.0742463	0.234149	0.135544	0.395699
á	0.000536881	0.00204704	0.00645786	0.0059163	0.0341377	0.0674464	0.157639	0.0455725	0.680246
</S>	0.00256379	0.00616397	0.0112753	0.024103	0.0309419	0.0596285	0.076328	0.0398644	0.749131
