 	en	ville	il	y	a	des	statues	dans	certaines	avenues	</S>
ó	0.523267	0.307876	0.078201	0.051605	0.0197483	0.0120221	0.000958881	0.00405602	0.00189365	0.000308132	6.36844e-05
o	0.0455737	0.856469	0.0572311	0.0208199	0.0070237	0.0058172	0.00148135	0.000756605	0.00151234	0.00307145	0.000243378
n	0.190112	0.273389	0.0652565	0.213947	0.0894153	0.0730535	0.031047	0.00816822	0.00275646	0.0271636	0.0256906
g	0.0665849	0.71841	0.0783385	0.0450195	0.0113097	0.0092304	0.00140227	0.00616564	0.0073058	0.0107636	0.0454699
á	0.00419141	0.982459	0.00504331	0.00270899	0.000574595	0.000639154	0.000212584	0.000460708	0.000475561	0.000387744	0.00284679
l	0.0944758	0.0144802	0.292387	0.310517	0.0896211	0.0650682	0.0108104	0.0369338	0.00836517	0.00103317	0.0763083
á	0.0379543	0.0105735	0.413032	0.218903	0.0655099	0.0201398	0.0020301	0.017247	0.0298893	0.00687517	0.177846
é	0.166771	0.0139474	0.348829	0.303427	0.0420006	0.0506325	0.0155069	0.0160321	0.0212072	0.00558099	0.016066
d	0.00712543	0.0100954	0.0295273	0.0933312	0.27557	0.436196	0.106971	0.0230944	0.00565569	0.00677899	0.00565483
í	0.000987065	0.000807159	0.00314624	0.037262	0.242961	0.479505	0.0383769	0.129985	0.0189219	0.000575795	0.0474711
l	0.00212119	0.000191031	0.0134002	0.0331306	0.111447	0.233235	0.191677	0.283146	0.0256426	0.00235958	0.10365
i	0.00222265	0.000393485	0.0476284	0.0901037	0.110598	0.195108	0.133187	0.17606	0.0409872	0.0047932	0.198918
k	0.00542198	0.00166487	0.0121845	0.0119347	0.0146979	0.0500898	0.657094	0.111371	0.0294573	0.0173003	0.0887832
y	4.59556e-05	1.23241e-05	7.02105e-05	0.000314104	0.000896637	0.00613792	0.982708	0.00480798	0.000229905	0.00332347	0.00145341
e	9.71857e-05	1.70979e-05	0.0002343	0.00054156	0.000905893	0.00573646	0.968661	0.0188879	0.000646837	0.00106746	0.00320397
k	7.90228e-05	1.64345e-05	0.00162889	0.00758059	0.00981589	0.056854	0.766286	0.140235	0.00203241	0.0012294	0.0142423
o	7.21386e-05	3.72779e-06	0.000299862	0.000686463	0.0038952	0.0159242	0.90477	0.0484721	0.0022777	0.0016848	0.0219141
s	0.0011961	0.000178983	0.00154269	0.00400323	0.0116115	0.0600723	0.35246	0.475502	0.0387629	0.0293784	0.0252922
á	0.0053247	0.00150419	0.00113692	0.00405376	0.00461891	0.0306474	0.0708035	0.467619	0.347166	0.00757108	0.0595547
a	0.0020255	0.00130793	0.00135889	0.00279925	0.00262418	0.00595604	0.011015	0.214653	0.641163	0.0929411	0.0241564
b	0.00170456	0.0013342	0.00200765	0.00582385	0.010268	0.018974	0.00527705	0.162571	0.352327	0.428362	0.0113504
a	0.000659847	0.000158767	0.00184969	0.00439136	0.00405479	0.0106015	0.00669721	0.0299793	0.0383381	0.881457	0.0218124
l	5.3488e-05	4.31835e-05	0.000191446	0.000279542	0.000208745	0.000948599	0.0108862	0.0116444	0.00739159	0.927748	0.0406048
a	0.000215775	5.85748e-05	0.000435196	0.00136182	0.00240365	0.00736419	0.013481	0.0982169	0.346856	0.381528	0.148079
b	0.00032714	8.04416e-05	0.000726606	0.00340732	0.00255295	0.00589715	0.0021347	0.149301	0.167675	0.293551	0.374346
á	0.00158449	0.000113799	0.00394783	0.00696826	0.00568222	0.0147688	0.00342314	0.147671	0.368387	0.144482	0.302972
l	0.00433988	0.0017074	0.00842235	0.00428079	0.00188422	0.00226318	0.0037969	0.0253068	0.262223	0.417467	0.268309
a	0.00121106	0.000152195	0.00108395	0.00115038	0.00203532	0.00307417	0.00503031	0.0117488	0.338576	0.258284	0.377654
b	0.00105067	0.000287961	0.00229424	0.00286156	0.000745939	0.00253551	0.00078619	0.0274342	0.321815	0.209397	0.430791
a	0.000779144	7.13143e-05	0.00394017	0.00497442	0.00492937	0.00975583	0.00188512	0.0736014	0.399121	0.45709	0.0438527
n	0.00072307	0.000252301	0.00118949	0.000805969	0.000389162	0.00111433	0.00170252	0.0167106	0.109234	0.608916	0.258963
á	0.00707167	0.000876182	0.00436281	0.00394101	0.00362088	0.0109972	0.0164192	0.0426419	0.385119	0.173109	0.351841
</S>	0.00907111	0.000762015	0.00454617	0.00507411	0.00322581	0.00404799	0.0033709	0.0357662	0.124501	0.0496659	0.759968
