 	notre	oncle	a	déjà	construit	un	barrage	à	nasses	</S>
n	0.72553	0.187073	0.0752916	0.00238059	0.000364918	0.00297349	0.00203173	0.00219774	0.00210072	5.66162e-05
g	0.29014	0.70356	0.00379381	7.37993e-05	0.000163334	0.000594996	0.000338783	0.000543055	0.00076317	2.89022e-05
ó	0.366039	0.62851	0.00243112	0.000443105	0.000396331	0.000390329	0.000453134	0.000111148	0.00119973	2.59121e-05
l	0.214884	0.694043	0.0294619	0.0129549	0.0122352	0.0043259	0.0050796	0.00342593	0.0108646	0.0127248
ó	0.330069	0.467079	0.077747	0.0275955	0.00775346	0.0244083	0.00809155	0.0245779	0.0175826	0.0150957
m	0.0867196	0.480258	0.0764037	0.0296918	0.0191731	0.0287952	0.0352578	0.0322473	0.121218	0.0902359
i	0.0333173	0.386988	0.502024	0.0565546	0.00132461	0.00652303	0.000866087	0.00379835	0.000705623	0.00789795
y	0.0933022	0.0186847	0.598851	0.260685	0.00536042	0.00561736	0.00159893	0.00223054	0.000438231	0.0132315
a	0.187292	0.0374371	0.535568	0.162985	0.0367978	0.0171968	0.00159724	0.00700121	0.00153866	0.0125853
b	0.172375	0.0183463	0.600021	0.105846	0.0382495	0.0171617	0.00315961	0.0101202	0.00398062	0.0307399
í	0.566494	0.0212958	0.0950867	0.0242656	0.00666923	0.0897137	0.0792448	0.0324027	0.0398291	0.0449986
s	0.928743	0.0227236	0.0112196	0.00315078	0.00059198	0.00940505	0.00636829	0.00651097	0.00236166	0.00892529
í	0.0451574	0.00615009	0.268342	0.170821	0.0379381	0.0827046	0.0420621	0.0787265	0.0181952	0.249903
á	0.0040486	0.00356929	0.482282	0.188781	0.0587297	0.127726	0.0228699	0.0605103	0.0144537	0.0370295
m	0.000205213	0.000475129	0.0581569	0.582683	0.284768	0.0493792	0.00530846	0.00434597	0.00137648	0.0133016
o	0.000251082	0.000424962	0.153183	0.362504	0.150996	0.205792	0.0537501	0.0359047	0.00360082	0.0335941
ó	6.70976e-06	9.84203e-05	0.0067023	0.0910123	0.863005	0.0262833	0.008223	0.000946745	0.00106299	0.00265967
b	3.50113e-05	0.000325999	0.00971265	0.0646643	0.509532	0.151526	0.201429	0.0277404	0.00587639	0.0291578
ó	3.02025e-05	0.00016262	0.00332679	0.119185	0.388881	0.116607	0.285963	0.0212807	0.0174643	0.0470994
á	1.99363e-06	1.60124e-05	0.00130471	0.0311937	0.789296	0.0505206	0.104122	0.00288121	0.00273182	0.0179316
b	5.35646e-05	6.16637e-05	0.00993847	0.0096062	0.0135029	0.358542	0.216726	0.317046	0.0216444	0.0528788
v	0.00136507	6.31598e-05	0.000345014	0.00108667	0.00737314	0.100577	0.443119	0.0935787	0.235302	0.117189
a	9.12294e-05	1.89604e-05	9.65739e-05	0.000528732	0.00214029	0.0842685	0.713385	0.0479057	0.13296	0.0186052
n	6.91247e-05	2.12014e-05	0.000145207	0.000235149	0.00244001	0.113426	0.712495	0.0658728	0.0313339	0.0739617
d	0.000706268	3.6995e-05	0.000458244	0.000659797	0.00944681	0.149942	0.331606	0.161224	0.0575754	0.288344
e	0.000428752	5.95572e-05	0.000228829	0.000263783	0.00869509	0.0536559	0.237542	0.0754118	0.0501201	0.573594
</S>	6.456e-06	4.05787e-06	0.000199795	0.000484545	0.00682052	0.0475085	0.112086	0.188329	0.23564	0.408922
