 	cet	homme	a	eu	un	choc	à	la	rotule	</S>
m	0.424564	0.428797	0.0596212	0.0106574	0.040336	0.00254492	0.0183113	0.0134669	0.000922524	0.000778382
o	0.640066	0.205336	0.0353261	0.0262244	0.0543959	0.0336699	0.00200164	0.00217569	3.15347e-05	0.000772662
r	0.48415	0.324076	0.0244345	0.0642165	0.0105317	0.0604879	0.0143682	0.00193361	0.00308061	0.0127204
o	0.646574	0.102828	0.036247	0.0409261	0.0316024	0.0567311	0.0257343	0.0153521	0.00216379	0.0418413
w	0.481614	0.140162	0.225789	0.0411064	0.0325527	0.037878	0.0111418	0.0061743	0.00102283	0.0225593
ó	0.121827	0.0229888	0.0530367	0.0251143	0.159979	0.12171	0.14389	0.0898987	0.0850978	0.176458
l	0.0856797	0.0312664	0.184505	0.0566859	0.108255	0.0803069	0.0845612	0.0567668	0.0161849	0.295788
e	0.154524	0.0231432	0.0698213	0.0455717	0.0678095	0.078697	0.0866779	0.105128	0.0328854	0.335742
m	0.0553438	0.036924	0.165956	0.121545	0.185067	0.341172	0.0328582	0.0243129	0.00506826	0.0317517
b	0.181656	0.100179	0.083412	0.0856807	0.0664866	0.439135	0.0342331	0.00614115	0.000619276	0.00245723
a	0.0469969	0.140379	0.0422806	0.0750059	0.0656821	0.483008	0.120801	0.0106518	0.00349325	0.0117015
r	0.082975	0.098536	0.145458	0.0747242	0.184593	0.229893	0.119178	0.0188484	0.0132729	0.0325224
a	0.0595801	0.00679007	0.0555942	0.10172	0.173152	0.454594	0.0608154	0.00871435	0.00165269	0.0773869
l	0.00490252	0.00730449	0.185115	0.0931975	0.173477	0.164355	0.231613	0.103457	0.0183772	0.0182022
í	0.0105739	0.00352687	0.13372	0.164215	0.121953	0.108304	0.219641	0.082789	0.015072	0.140204
n	0.00817881	0.00517123	0.108098	0.0936755	0.0984548	0.0636775	0.369998	0.144462	0.048448	0.0598352
g	0.00556728	0.0027659	0.0234832	0.0794408	0.114645	0.424832	0.234921	0.0711996	0.0117219	0.0314231
ω	0.000423855	0.00113482	0.0106253	0.0455941	0.0292327	0.746342	0.114688	0.0316528	0.00781504	0.0124916
r	0.00149733	0.00204915	0.0152904	0.0181431	0.0251987	0.823163	0.0574557	0.0348534	0.00593555	0.0164132
ω	0.0076535	0.00212356	0.0236941	0.0361593	0.0737959	0.220054	0.42314	0.0819698	0.0096803	0.121729
í	0.00205206	0.000620536	0.0620951	0.0258961	0.12614	0.0156078	0.345209	0.348518	0.0396716	0.0341901
m	0.00139963	0.00113849	0.0254666	0.0406749	0.00808829	0.00156596	0.0800901	0.348102	0.405876	0.0875986
i	0.00874107	0.00639975	0.0207502	0.0512758	0.0238618	0.00604372	0.130224	0.332343	0.133917	0.286444
w	0.00208854	0.00163397	0.0034982	0.0208057	0.00518686	0.00454721	0.0461009	0.0954995	0.565535	0.255104
ó	0.000341126	0.0028328	0.00283609	0.0112315	0.00521454	0.00761156	0.0749783	0.0806394	0.690378	0.123936
á	0.000146652	0.000208042	0.000613021	0.00127314	0.00267738	0.00673877	0.035798	0.0531465	0.644887	0.254511
b	0.00489315	0.00269518	0.0228913	0.0239487	0.0459529	0.00625583	0.0989101	0.313447	0.149734	0.331272
v	0.00141329	0.00702455	0.0060959	0.0047373	0.0063972	0.00079069	0.0421918	0.173866	0.733028	0.024455
ú	0.00289967	0.00293328	0.00126874	0.00154366	0.00764607	0.00383155	0.0531846	0.122148	0.759224	0.0453206
a	0.0169006	0.000966453	0.00177759	0.00289172	0.0170181	0.00414427	0.100617	0.167982	0.0951078	0.592594
</S>	0.00219811	0.000608165	0.0216536	0.0347111	0.0395914	0.00386434	0.0793589	0.293605	0.124041	0.400369
