 	je	vais	à	damara	</S>
n	0.964313	0.0135517	0.0194857	0.00257409	7.53947e-05
g	0.988098	0.0103768	0.00133821	0.000102144	8.49588e-05
á	0.95025	0.046252	0.00255055	0.000821127	0.000126535
i	0.24725	0.129938	0.359517	0.170253	0.0930422
d	0.0286994	0.826233	0.0598442	0.0387764	0.0464472
z	0.105125	0.879358	0.00263463	0.00840856	0.00447418
w	0.0630595	0.778864	0.00826385	0.120208	0.0296054
é	0.261228	0.159254	0.261621	0.120915	0.196983
d	0.030635	0.0111273	0.589232	0.123436	0.24557
a	0.0203825	0.129796	0.0630174	0.383287	0.403517
m	0.00293297	0.00970589	0.185776	0.549743	0.251842
a	0.000147914	0.00629829	0.0179829	0.803254	0.172317
r	0.0032198	0.0101838	0.0531237	0.599488	0.333985
a	0.00485707	0.00492889	0.106289	0.194994	0.688931
</S>	0.00117076	0.000905791	0.202026	0.0736167	0.722281
