 	elle	baigna	son	enfant	</S>
w	0.947435	0.00748648	0.0435679	0.00140154	0.000108599
a	0.900439	0.00171241	0.0944723	0.00322014	0.000156743
a	0.680402	0.113521	0.135891	0.0396291	0.0305571
p	0.272463	0.473384	0.115273	0.0241654	0.114713
f	0.0488284	0.736478	0.0426034	0.00594178	0.166148
ú	0.0289444	0.940091	0.0192401	0.000819796	0.0109046
m	0.0304155	0.790199	0.051971	0.02104	0.106374
b	0.0865054	0.577914	0.307728	0.0162656	0.0115864
ú	0.0424769	0.677357	0.242584	0.0078974	0.0296852
s	0.0156648	0.358479	0.601232	0.0123222	0.0123017
ú	0.00879649	0.470773	0.457007	0.00179767	0.0616253
m	0.0124429	0.15025	0.734134	0.0360062	0.0671671
w	0.0558157	0.187963	0.144385	0.384856	0.22698
á	0.00246859	0.0331782	0.00806275	0.952367	0.00392353
n	0.00667142	0.00577743	0.0659887	0.904721	0.0168415
a	0.0393509	0.00586061	0.0339924	0.911584	0.00921207
y	0.0582199	0.301056	0.493821	0.0330681	0.113835
a	0.0302104	0.0930972	0.750142	0.0681388	0.0584119
w	0.0131761	0.027679	0.800831	0.0970681	0.061246
a	0.034957	0.0675648	0.553419	0.253019	0.0910406
</S>	0.00285242	0.0140709	0.257235	0.0187674	0.707074
