 	si	tu	restes	trop	près	de	quelqu'	un	qui	souffre	de	la	rougeole	tu	en	seras	contaminé	</S>
w	0.901777	0.0461191	0.00359607	0.0100082	0.00223592	0.00485431	0.00808887	0.0048272	0.00775887	0.00185371	0.00341712	0.00282715	0.00070805	0.000883361	0.00031291	0.000224472	0.00048193	2.53655e-05
á	0.886387	0.0757698	0.00889348	0.0107699	9.80311e-05	0.00416018	0.0034501	0.00413659	0.00348879	0.000299591	0.000950517	0.000911608	0.000292971	0.000270175	7.85997e-05	2.53966e-05	1.68612e-05	8.94325e-07
á	0.3936	0.145273	0.0727017	0.029435	0.00479433	0.0123884	0.0165776	0.0207441	0.0156099	0.0296151	0.0359988	0.0453626	0.0341434	0.0845765	0.0208568	0.00941824	0.00134101	0.027563
o	0.327017	0.388437	0.0599234	0.0144385	0.00342657	0.0118302	0.0124174	0.00622111	0.0113387	0.00548906	0.00904089	0.0110997	0.0105114	0.0264738	0.0329394	0.0225025	0.00392241	0.042971
p	0.0980421	0.237702	0.534369	0.055487	0.00803222	0.00594427	0.00560747	0.00665515	0.00440791	0.00831277	0.00664434	0.0056254	0.00514375	0.00342125	0.0037688	0.00243647	0.00302912	0.00537043
é	0.0289708	0.0683926	0.482517	0.105946	0.0319975	0.00936038	0.0129191	0.0184418	0.00765235	0.0395771	0.0244132	0.0216777	0.0128835	0.0109746	0.0146096	0.0132984	0.0157499	0.0806185
n	0.0442426	0.116307	0.582349	0.111064	0.0164841	0.00835046	0.0116581	0.0108326	0.00659462	0.0157992	0.0143502	0.0159371	0.00920354	0.00707128	0.00851473	0.00804112	0.00361804	0.00958255
d	0.101163	0.239003	0.398037	0.0809155	0.0158131	0.0117712	0.0137751	0.0131125	0.00660424	0.0112898	0.0162311	0.0175514	0.00751674	0.0155499	0.0130188	0.0106027	0.00259874	0.0254458
í	0.120764	0.529292	0.202527	0.0133369	0.000740655	0.00680439	0.00550323	0.00941693	0.00982054	0.0076139	0.00916179	0.0126872	0.0105835	0.0112492	0.00535519	0.00302409	0.00101733	0.041102
o	0.0583777	0.148297	0.0311569	0.293284	0.141999	0.10006	0.0437738	0.0219785	0.0216053	0.0164965	0.0222941	0.018294	0.0189543	0.0203787	0.0161944	0.00785636	0.00333271	0.0156669
