 	ton	mari	est	d'	un	humilité	remarquable	</S>
o	0.889456	0.0175841	0.0232609	0.0206438	0.0220786	0.025483	0.000959947	0.000533245
l	0.0053702	0.98702	0.00238973	0.00106708	0.000974964	9.84981e-05	0.00276671	0.000312945
ó	0.000141066	0.991781	0.00137448	0.00235602	0.00171954	2.43943e-05	0.00180705	0.000796871
m	0.000223115	0.994874	0.00141964	0.000678048	0.000608142	0.000128449	0.000764012	0.00130487
i	0.0199363	0.741359	0.10939	0.0300288	0.0300225	0.00874068	0.0118774	0.0486455
y	0.37004	0.0391714	0.273564	0.0684253	0.0568504	0.0676576	0.0023488	0.121943
a	0.559551	0.0596264	0.168026	0.0484653	0.0505227	0.025133	0.0167631	0.0719127
n	0.920424	0.0041264	0.0257583	0.0110546	0.010915	0.00921399	0.00382412	0.0146837
ω	0.962847	0.000642871	0.00493959	0.00449396	0.00662324	0.0143381	0.00111872	0.00499607
a	0.0480507	0.0388159	0.507192	0.1168	0.134699	0.0106568	0.018556	0.125229
d	0.0283232	0.0281236	0.437847	0.367956	0.11596	0.00532845	0.00580528	0.0106562
i	0.00578163	0.0129859	0.34355	0.180557	0.179922	0.0285337	0.0280883	0.220581
m	0.00329156	0.000760245	0.210799	0.378013	0.296009	0.0600882	0.0130226	0.0380166
b	0.00148428	0.000476393	0.0471086	0.153325	0.217765	0.424506	0.0144143	0.14092
έ	0.000250755	9.53081e-05	0.0242587	0.22244	0.314874	0.333816	0.00813554	0.096131
s	0.000241565	6.96963e-05	0.0467224	0.173762	0.263823	0.204338	0.00836991	0.302673
í	0.000292092	0.000998566	0.0265881	0.161475	0.335752	0.049159	0.137484	0.288251
y	0.000795648	0.000142221	0.0298844	0.0494453	0.185343	0.429823	0.162673	0.141893
á	0.00190543	0.00152225	0.0326445	0.0580218	0.204271	0.124543	0.194922	0.38217
n	0.0107919	0.00158362	0.00351521	0.00467452	0.0220346	0.134662	0.792784	0.0299544
d	0.0162077	0.000553809	0.00379322	0.0159996	0.093548	0.214261	0.480823	0.174814
z	0.00759987	0.000735702	0.0038566	0.00921219	0.0398369	0.0327812	0.761706	0.144272
o	6.50339e-05	2.52115e-05	0.000366676	0.00283257	0.0242359	0.00663384	0.894973	0.0708681
r	0.000303822	3.02375e-05	0.00407686	0.0171048	0.0681662	0.00908631	0.580472	0.320759
o	2.9156e-05	6.01156e-05	0.00250824	0.0109156	0.0685779	0.0294094	0.596154	0.292346
ó	0.000862646	0.000138262	0.0193388	0.0235773	0.104172	0.121624	0.0891543	0.641132
m	0.00135305	0.00449968	0.078307	0.0543482	0.101731	0.112219	0.200885	0.446658
b	0.000285461	0.000888455	0.0307636	0.0565744	0.127634	0.396193	0.0426214	0.34504
v	0.000228346	0.000762664	0.00973266	0.0395992	0.117362	0.314016	0.344396	0.173904
a	0.000516818	0.000537154	0.00627884	0.0574866	0.146249	0.507701	0.0798283	0.201402
m	0.000305599	1.1498e-05	0.00122859	0.00645177	0.0336221	0.129725	0.0908202	0.737835
b	0.0003408	0.000153915	0.00504844	0.00983775	0.0694532	0.39194	0.15503	0.368196
v	9.85938e-05	0.000136832	0.0011589	0.0129287	0.0541115	0.25205	0.0917733	0.587742
a	0.000125758	0.0005262	0.000705964	0.0115176	0.0559151	0.143895	0.242546	0.544768
</S>	1.09309e-05	1.62666e-05	0.000336079	0.00314706	0.0184613	0.00928548	0.167693	0.80105
