 	je	mange	de	l'	oseille	préparée	sans	assaison	nement	</S>
n	0.342255	0.0413171	0.0574509	0.0669496	0.178007	0.0113389	0.037725	0.0861237	0.168795	0.0100383
g	0.989744	0.00095319	0.0017877	0.00260192	0.000445492	0.000584681	0.00143185	0.000796942	0.00148959	0.000164237
á	0.966404	0.0173652	0.00584897	0.00280212	0.00145636	0.00188778	0.00328295	0.000226085	0.000613267	0.000113694
l	0.103066	0.129907	0.225002	0.190385	0.0210377	0.0632892	0.0721055	0.0333848	0.0139294	0.147893
í	0.287558	0.177108	0.06008	0.0562174	0.0287476	0.144319	0.0517546	0.0252066	0.00488261	0.164127
i	0.0188454	0.124858	0.251951	0.20614	0.0939299	0.0936514	0.0706797	0.0378892	0.0228976	0.0791575
d	0.00320436	0.752642	0.121617	0.0217573	0.00708565	0.0513758	0.00737669	0.00174886	0.00381039	0.0293823
z	0.00144611	0.86562	0.0973976	0.00932341	0.00279692	0.0103699	0.00760475	0.000186171	0.000330551	0.00492462
á	0.0462778	0.777241	0.0932876	0.0253761	0.00103656	0.0301805	0.0171737	0.00056835	0.000480154	0.0083778
e	0.00218609	0.0466955	0.228648	0.275501	0.0068582	0.0415252	0.130649	0.120683	0.0105736	0.136681
b	0.00149111	0.0399973	0.152651	0.238554	0.0724306	0.308335	0.0804989	0.0317566	0.00788289	0.0664031
v	0.000599828	0.0120656	0.120304	0.100156	0.413037	0.0383362	0.0436936	0.00990508	0.232287	0.029615
a	0.000183711	0.0182992	0.138727	0.121964	0.416658	0.0554374	0.120527	0.0530238	0.0522666	0.0229138
l	0.00175049	0.00638946	0.0770008	0.206024	0.0378265	0.131747	0.175301	0.1147	0.0415439	0.207718
a	0.00169945	0.0129618	0.0612813	0.112242	0.077265	0.171	0.16027	0.115147	0.0234927	0.26464
y	0.00172633	0.00541657	0.015792	0.0447555	0.0418053	0.246666	0.11813	0.0739802	0.0830891	0.368639
á	0.00376256	0.0343637	0.085248	0.0617109	0.00213915	0.295412	0.198045	0.0992438	0.00614837	0.213927
b	0.00293596	0.00885962	0.0226902	0.0657561	0.00380797	0.0747453	0.132173	0.115274	0.0494896	0.524268
v	0.000537072	0.00280387	0.0158716	0.0489913	0.107516	0.0421277	0.0836818	0.052693	0.516376	0.129401
i	0.000243041	0.00176362	0.0237126	0.0764785	0.0554732	0.0325959	0.116491	0.157893	0.297029	0.23832
á	5.16825e-05	0.000430214	0.00854723	0.0373648	0.00189536	0.0289229	0.136825	0.15025	0.0542127	0.5815
</S>	0.00084795	0.0152626	0.0214079	0.03123	0.00315365	0.079878	0.0410454	0.0614239	0.0117228	0.734028
