 	je	conduis	ce	malade	à	l'	hôpital	</S>
n	0.730512	0.0683886	0.10789	0.0460955	0.0367697	0.0101313	1.6853e-05	0.000196546
g	0.984369	0.0102052	0.00458919	0.00011395	0.000478545	0.000237462	2.57353e-07	6.42305e-06
á	0.840009	0.128269	0.0205331	0.00287378	0.00563413	0.00258295	7.82878e-06	9.01584e-05
l	0.222767	0.191007	0.253408	0.00887841	0.110249	0.115499	0.00270294	0.0954888
í	0.56357	0.0409933	0.099152	0.0163907	0.0555847	0.0514959	0.00459795	0.168216
i	0.122283	0.150932	0.313791	0.0528745	0.0704501	0.0777077	0.00594651	0.206015
y	0.0220088	0.721295	0.0827158	0.0524781	0.01657	0.0155649	0.0243122	0.065055
ε	0.0112166	0.84221	0.0337033	0.0188781	0.00483596	0.00233107	0.0402795	0.0465457
ε	0.0136354	0.611063	0.164542	0.0593895	0.0240749	0.023381	0.0122891	0.091625
s	0.00549783	0.0833918	0.774955	0.0306425	0.0627079	0.0259763	0.000435787	0.0163927
έ	0.0150193	0.188613	0.442821	0.0221223	0.225333	0.0505811	0.000949998	0.0545602
o	0.0324452	0.0831038	0.58987	0.0354771	0.172654	0.0770868	0.00303938	0.00632417
k	0.000515539	0.0547453	0.10889	0.765882	0.0412106	0.0118093	0.0140892	0.00285778
ω	3.53973e-05	0.00471534	0.00590362	0.969848	0.00690528	0.00168683	0.00921905	0.00168624
n	0.00010757	0.0751551	0.0296863	0.852821	0.0232558	0.0130895	0.00136856	0.00451628
í	0.00601184	0.0416634	0.0713955	0.733771	0.0866928	0.0300305	0.00361243	0.0268227
m	0.000720975	0.0100494	0.155555	0.0358892	0.490179	0.238516	0.023073	0.0460164
ú	0.00186602	0.00759215	0.151667	0.00783026	0.426256	0.231018	0.00677238	0.166997
m	0.000640679	0.0024258	0.136097	0.0281524	0.406194	0.304427	0.0488285	0.0732346
í	0.000376961	0.0011962	0.0599166	0.00236149	0.279248	0.247579	0.0149929	0.394329
d	0.00247218	0.00335028	0.121334	0.0303892	0.211006	0.278317	0.278307	0.0748238
z	0.00124351	0.00113118	0.0153271	0.004153	0.0437012	0.0644541	0.319386	0.550604
w	0.00224008	0.00473414	0.0364598	0.00122598	0.0699386	0.0537749	0.687968	0.143659
a	0.000733059	0.00270482	0.0313473	0.00450274	0.179271	0.157705	0.399536	0.2242
l	0.00011568	0.000515659	0.00888224	0.000985186	0.0332948	0.0510217	0.132987	0.772198
o	0.00141599	0.00194983	0.00784623	0.0109407	0.0277056	0.0361719	0.33778	0.57619
p	0.00034176	0.00651982	0.0182146	0.0128985	0.0120074	0.0371998	0.654171	0.258647
i	0.00014783	0.00409926	0.00562663	0.00847703	0.00780182	0.0116353	0.848496	0.113716
t	0.000141024	0.0021955	0.00224754	0.00872665	0.0103168	0.0121622	0.657951	0.30626
á	0.000759462	0.00263309	0.00714678	0.0132559	0.00868087	0.0133511	0.674414	0.279759
á	0.00122337	0.00241837	0.00721981	0.00395295	0.0453979	0.0243097	0.459826	0.455651
l	0.0287465	0.0141313	0.161858	0.0182123	0.178597	0.189345	0.0317075	0.377403
ε	0.0248464	0.0263657	0.0893449	0.0388263	0.0773784	0.0956249	0.0698294	0.577784
</S>	0.00918414	0.0127333	0.111277	0.0116496	0.0675631	0.0927572	0.127	0.567836
