 	fais-moi	sécher	ces	poissons	</S>
b	0.978365	0.0173692	0.0033688	0.000757424	0.000139124
h	0.954168	0.0185265	0.0200783	0.00673117	0.000495874
i	0.914675	0.030999	0.0245517	0.0138543	0.0159199
r	0.848551	0.105938	0.0203861	0.00687884	0.0182461
í	0.524872	0.416596	0.0356587	0.00174606	0.0211264
s	0.101477	0.600893	0.245591	0.0121071	0.0399313
á	0.0226105	0.798212	0.0821074	0.0183001	0.0787699
n	0.0153848	0.689811	0.184235	0.0734832	0.0370864
g	0.00219825	0.938144	0.0412761	0.0128728	0.0055084
á	0.0047322	0.798882	0.0977592	0.0728819	0.0257444
a	0.00997628	0.137783	0.555276	0.118555	0.17841
s	0.0289744	0.137118	0.452209	0.309822	0.0718768
w	0.00165038	0.0477884	0.183312	0.446807	0.320442
é	0.00115648	0.0538303	0.172485	0.634397	0.138131
b	0.00156427	0.0708061	0.142017	0.253907	0.531706
έ	0.0266903	0.325273	0.37178	0.19866	0.0775965
ε	0.0128154	0.195305	0.300109	0.0781043	0.413665
</S>	0.0016332	0.0074582	0.0726276	0.102583	0.815698
