 	tu	apporteras	de	l'	eau	seulement	pour	toi	même	</S>
n	0.870994	0.0171747	0.00603843	0.0239289	0.0092524	0.0377506	0.0251766	0.00833654	0.00124624	0.000101822
ω	0.967458	0.000661681	0.00248314	0.00724268	0.000356004	0.00720413	0.00359484	0.0108301	0.000139234	3.05184e-05
l	0.651519	0.0605664	0.0504474	0.078534	0.00797328	0.0535211	0.040015	0.0352879	0.00261513	0.0195211
ó	0.0472396	0.0399929	0.0413522	0.0308922	0.0107612	0.0739259	0.0372022	0.0996015	0.0439721	0.57506
o	0.270561	0.135674	0.125883	0.087595	0.0168681	0.0875802	0.0477816	0.103584	0.0499292	0.0745441
b	0.00093218	0.884776	0.0948044	0.00666239	0.00322379	0.000699248	0.000762841	0.000248439	0.00172772	0.00616347
é	0.000173438	0.960349	0.0257778	0.00336376	0.00530737	0.000331851	0.000742162	7.07372e-05	0.000770379	0.0031135
r	0.00127102	0.75008	0.14939	0.0334992	0.00819999	0.00370564	0.00236706	0.00062128	0.00306566	0.0478007
á	0.0114585	0.343235	0.309873	0.188295	0.0377238	0.021229	0.0212843	0.0024852	0.00840118	0.0560139
m	0.0300356	0.0515588	0.327313	0.426739	0.110578	0.0166522	0.0178298	0.00621672	0.00465865	0.00841777
á	0.00129833	0.00589338	0.106717	0.372832	0.454019	0.00468793	0.0337607	0.00207014	0.000320027	0.0184015
a	0.00545064	0.0130753	0.192392	0.460921	0.27525	0.0120055	0.0166455	0.010335	0.00576098	0.00816335
k	0.00138096	0.0150591	0.219388	0.398698	0.296887	0.0274742	0.0170131	0.00578862	0.0113726	0.00693825
á	0.000295182	0.0192095	0.192855	0.312241	0.239216	0.0613053	0.0371921	0.00566162	0.0979585	0.0340654
a	0.000615084	0.108302	0.256806	0.13413	0.27122	0.0496591	0.0352023	0.00499997	0.0578907	0.0811744
m	0.000700266	0.00449141	0.0786494	0.201642	0.359738	0.162539	0.126871	0.0197299	0.0223046	0.023334
ó	0.0017384	0.00292386	0.056206	0.182378	0.471064	0.0120298	0.171391	0.00542064	0.00374451	0.0931041
n	0.00498696	0.00398719	0.108168	0.280056	0.133387	0.0985973	0.174774	0.0589337	0.0988197	0.0382916
ω	0.0157498	0.00196253	0.0440631	0.209278	0.029152	0.120172	0.124515	0.370139	0.016005	0.0689631
m	0.000611625	0.000666797	0.0537322	0.163397	0.0254563	0.1361	0.174612	0.333487	0.0165619	0.0953751
é	0.00110937	0.00212474	0.0130981	0.0480141	0.156262	0.0335375	0.336275	0.0320848	0.026687	0.350807
n	0.000248354	0.00207869	0.037142	0.09303	0.0902147	0.152796	0.342693	0.056303	0.186414	0.0390801
ε	0.0049439	0.000715538	0.0161928	0.0500622	0.00647899	0.165672	0.103791	0.587985	0.0166815	0.0474763
</S>	0.000563189	0.000216819	0.0170205	0.0649284	0.0187071	0.163961	0.192377	0.316067	0.0348092	0.19135
