 	la	manière	dont	monte	le	riz	va	éteindre	le	feu	</S>
e	0.56491	0.246067	0.0802583	0.0313308	0.0362842	0.00872621	0.00358233	0.0104596	0.0120805	0.000685421	0.00561599
f	0.00226008	0.00114424	0.0166409	0.303211	0.00754787	0.114009	0.0264921	0.488746	0.0365314	0.00117519	0.00224159
u	0.00130623	0.00282182	0.00309723	0.890034	0.0041253	0.0125848	0.0263062	0.0557339	0.00276501	0.000196351	0.00102865
u	0.000141463	0.000409219	0.000771542	0.396819	0.00498832	0.00363798	0.0602817	0.490502	0.0326942	0.000631461	0.00912274
l	0.036804	0.0086177	0.0277147	0.0146844	0.184722	0.00742208	0.105577	0.325371	0.188008	0.0174139	0.0836646
ú	0.0490045	0.0157412	0.0209175	0.0153714	0.113909	0.0117681	0.105024	0.268735	0.0994223	0.0839824	0.216124
l	0.426336	0.0745688	0.103919	0.00953959	0.102001	0.0199961	0.0261321	0.0551563	0.069985	0.0135375	0.0988284
ú	0.301985	0.0518446	0.0742044	0.0361836	0.0212178	0.0310882	0.0459714	0.0254508	0.0127445	0.0242735	0.375036
y	0.0660279	0.0801684	0.326026	0.0172555	0.0278376	0.0620277	0.0534343	0.0407141	0.0120537	0.0184425	0.296012
á	0.555407	0.0633258	0.220115	0.0191848	0.0111272	0.0356937	0.0412736	0.0222557	0.00733055	0.00583959	0.0184468
l	0.121774	0.0167858	0.42869	0.0853916	0.136076	0.0933392	0.0337199	0.0341534	0.0233208	0.0096804	0.0170688
ώ	0.00736206	0.000692594	0.0203389	0.00562889	0.0183045	0.825501	0.0184561	0.0107481	0.00330712	0.0142793	0.0753812
s	0.000600204	0.000195517	0.0494857	0.0247243	0.0372149	0.674009	0.0527883	0.0610722	0.0274191	0.015575	0.0569153
ω	0.0156255	0.00160752	0.179023	0.0305596	0.152537	0.415029	0.0878546	0.0389668	0.0133493	0.00707529	0.0583727
y	0.00272159	0.00149444	0.29005	0.0526012	0.178743	0.172274	0.158969	0.0538677	0.0529192	0.0128238	0.0235376
é	0.333339	0.0255762	0.357617	0.0516848	0.0984939	0.0500373	0.042818	0.011949	0.0134102	0.0103751	0.00470026
y	0.0943286	0.0193183	0.322045	0.0250303	0.323007	0.0425225	0.0517505	0.0329791	0.051829	0.0240807	0.0131093
é	0.0649317	0.010786	0.283189	0.0649265	0.11317	0.165661	0.179483	0.025499	0.0199946	0.0491063	0.0232532
e	0.026043	0.00744202	0.224516	0.0173115	0.368609	0.0139793	0.199555	0.0439294	0.0572399	0.0203378	0.0210371
d	0.000589595	0.000357409	0.00299552	0.0271664	0.0688437	0.038247	0.475038	0.219524	0.050036	0.0335363	0.0836658
í	0.000306577	0.000184265	0.0027118	0.00801432	0.0657576	0.00488488	0.398476	0.245256	0.0638624	0.0122363	0.19831
m	0.00105983	0.000405631	0.00887494	0.00349231	0.0596681	0.0030306	0.222633	0.308669	0.15739	0.0374483	0.197328
í	0.00159528	0.000377629	0.00285158	0.00145318	0.0334743	0.000895618	0.0508001	0.0876208	0.201936	0.443479	0.175517
s	0.000749466	0.000251047	0.00231981	0.00170022	0.0586375	0.00208372	0.0295186	0.0560886	0.181276	0.409446	0.257929
á	0.00302862	0.000441495	0.00728141	0.00159849	0.0284271	0.0106328	0.0528077	0.0739067	0.0982608	0.295213	0.428401
m	0.0039319	0.000999362	0.0363904	0.00469519	0.071832	0.00462546	0.0253268	0.0726083	0.299915	0.2783	0.201376
í	0.000175655	1.98256e-05	0.000119418	0.000113079	0.0011833	8.2816e-06	0.00155902	0.00312274	0.0315557	0.891683	0.0704595
á	0.000338315	0.000189995	0.00122445	0.000511307	0.0211235	0.00102848	0.0147468	0.0458693	0.127484	0.583009	0.204475
</S>	0.00040234	0.000132741	0.00122354	0.00168139	0.00732597	0.000675664	0.0168699	0.0502654	0.0915456	0.272539	0.557339
