 	notre	père	a	l'	habitude	de	culpabiliser	les	autres	</S>
t	0.169951	0.720793	0.037232	0.0261852	0.0141781	0.0198204	0.00457486	0.00426092	0.0020213	0.000983687
á	0.0585912	0.859765	0.0343612	0.0172565	0.00401926	0.00540678	0.00390365	0.00424169	0.0118049	0.00064988
á	0.0412557	0.752388	0.0450837	0.0458212	0.0100341	0.0136709	0.0259017	0.0169131	0.00643524	0.0424961
y	0.647206	0.117121	0.0934338	0.0302176	0.02003	0.0177702	0.00906529	0.0207372	0.00166697	0.0427518
a	0.381268	0.154651	0.102915	0.0695296	0.0911954	0.0473609	0.0363828	0.0342708	0.00166354	0.0807629
b	0.91001	0.0246342	0.00970025	0.00802379	0.0112039	0.00611852	0.0020422	0.00568188	0.000365074	0.0222203
í	0.946386	0.00638486	0.00454203	0.0047924	0.000832506	0.00286838	0.0140574	0.00173797	0.0179243	0.000474382
s	0.994352	0.00259188	0.000615482	0.000624992	0.000122834	0.000293364	0.000271506	0.000166652	0.000425638	0.000535446
í	0.728789	0.0166747	0.0905481	0.0392451	0.0159661	0.0313815	0.013897	0.011308	0.00693121	0.0452592
a	0.0313074	0.0153328	0.563697	0.21564	0.0707522	0.0211745	0.0148602	0.0178316	0.0054825	0.0439213
d	0.00821204	0.00813725	0.389218	0.26604	0.202354	0.0295727	0.0293997	0.0132797	0.00411684	0.0496696
í	0.00960389	0.000825607	0.124835	0.221783	0.343464	0.0594797	0.0212394	0.0178209	0.000923502	0.200024
í	0.0121601	0.000509143	0.0515241	0.172768	0.266041	0.106304	0.0836793	0.111663	0.0194526	0.175898
a	0.0115159	0.000289475	0.0265506	0.0515967	0.185696	0.229925	0.22686	0.186835	0.0252079	0.0555232
m	0.00164738	8.25592e-05	0.0114094	0.0220787	0.0471407	0.104518	0.515371	0.07373	0.147703	0.0763193
b	0.000266495	4.10274e-05	0.00472046	0.0145452	0.0317345	0.132177	0.509351	0.0954958	0.0928866	0.118782
ε	2.32293e-05	1.13078e-05	0.000863485	0.00793734	0.0149323	0.100478	0.769241	0.0159431	0.0738615	0.0167082
s	9.86612e-05	6.50156e-05	0.00931271	0.0279812	0.0170721	0.168931	0.442573	0.0839444	0.115264	0.134758
í	0.000217236	0.000198534	0.0118524	0.0534825	0.210811	0.168926	0.276198	0.0561829	0.00558751	0.216545
w	0.000969874	2.6925e-05	0.00482855	0.00554727	0.0236105	0.105916	0.127712	0.282632	0.0852169	0.36354
a	0.027667	0.0196049	0.0496358	0.0593514	0.0598882	0.233796	0.100784	0.268925	0.0375745	0.142773
m	0.00976626	0.00109238	0.00257586	0.00308389	0.00764994	0.0854875	0.0618104	0.295359	0.166936	0.366239
έ	0.000230026	5.43791e-05	0.00224802	0.00691933	0.0106647	0.0736944	0.30375	0.430135	0.101543	0.0707608
n	0.000171428	1.47978e-05	0.00472907	0.00556381	0.0065582	0.0421399	0.101859	0.20343	0.506129	0.129405
d	0.00836288	3.0548e-05	0.00157964	0.00419304	0.0351151	0.0342075	0.0237317	0.0868968	0.136454	0.669429
e	0.000486449	0.000123419	0.00263575	0.00608482	0.050859	0.02839	0.0158959	0.0379597	0.0304336	0.827131
</S>	6.2097e-05	0.000125659	0.00406194	0.00772969	0.0169051	0.0312762	0.0382063	0.0392691	0.0182533	0.844111
