 	aujourd'	hui	c'	est	le	jour	où	l'	on	prie	dieu	</S>
p	0.329706	0.307947	0.184713	0.0356779	0.0329849	0.0386479	0.0244216	0.014492	0.0226524	0.0053169	0.00266055	0.000780658
á	0.0529233	0.617265	0.0301504	0.013896	0.0134196	0.0369893	0.00980908	0.0164999	0.0254982	0.0588223	0.11939	0.00533748
b	0.0210923	0.810982	0.00644472	0.00446259	0.0062008	0.0124383	0.00586409	0.0248244	0.0626691	0.0143213	0.00256587	0.0281343
h	0.0365092	0.631541	0.0179465	0.0118007	0.0141414	0.0205779	0.00741279	0.0240232	0.0631819	0.100624	0.0168291	0.0554126
a	0.140398	0.401302	0.0620162	0.0142072	0.0229177	0.0203244	0.0127565	0.049247	0.103256	0.057757	0.0366806	0.0791376
b	0.0505558	0.0185781	0.165186	0.09141	0.0891999	0.0791974	0.0943016	0.0991291	0.116488	0.116849	0.015196	0.0639101
v	0.0393804	0.076031	0.111718	0.101105	0.1134	0.147605	0.0824831	0.0526139	0.0629052	0.0436308	0.0270855	0.142042
ú	0.0106356	0.00189284	0.0651125	0.0953825	0.119094	0.0451111	0.0564595	0.117993	0.124676	0.116326	0.0408271	0.206489
s	0.00935656	0.000819594	0.0664421	0.133528	0.225731	0.0520979	0.0694536	0.11215	0.0835588	0.20993	0.0212156	0.0157164
á	0.054685	0.00156993	0.0615042	0.0760539	0.130653	0.0306833	0.0654714	0.0983461	0.0854157	0.127692	0.122638	0.145288
b	0.0229898	0.00644445	0.0751481	0.0641592	0.119873	0.102199	0.146188	0.0858575	0.0717729	0.198297	0.0823853	0.0246848
í	0.0103542	0.0173209	0.0140484	0.0251807	0.036176	0.0541976	0.0372144	0.081367	0.102819	0.414613	0.142538	0.0641715
s	0.00553267	0.0217168	0.0253332	0.0351599	0.0635538	0.151733	0.0722526	0.107128	0.189494	0.173932	0.0961051	0.0580582
ε	0.00168277	0.00042819	0.00371445	0.0175309	0.0293471	0.0182325	0.0369841	0.107417	0.18115	0.133178	0.166208	0.304128
m	0.00139866	0.000126126	0.0139127	0.0358313	0.044121	0.038721	0.110771	0.140706	0.184648	0.266612	0.0823277	0.0808246
έ	0.00835645	0.000607315	0.0119186	0.0132756	0.0167327	0.0241944	0.0305983	0.0432857	0.0630935	0.518771	0.132253	0.136913
l	0.00410414	0.000398243	0.00799464	0.0200224	0.0346122	0.0230872	0.0716424	0.131363	0.191035	0.222618	0.112418	0.180705
á	0.00618167	0.00190681	0.0130968	0.0148352	0.0136439	0.0134683	0.0677076	0.112906	0.207752	0.13292	0.154347	0.261235
n	0.0105546	0.000726028	0.0105296	0.0106302	0.0166697	0.0067899	0.0515959	0.107145	0.158093	0.196876	0.322354	0.108036
z	0.000372543	8.42927e-05	0.000545814	0.00210853	0.00538859	0.0012178	0.0147509	0.0714904	0.143582	0.190528	0.519183	0.0507485
a	7.33589e-05	7.72121e-05	0.000280231	0.00206825	0.00716523	0.00267952	0.0128013	0.0446892	0.0488003	0.160127	0.611221	0.110018
m	3.5871e-05	1.64207e-05	0.000348144	0.00272699	0.0134372	0.00707885	0.0234956	0.10348	0.0961262	0.413892	0.183274	0.156088
b	0.00309475	0.000982273	0.00128681	0.000899826	0.00271784	0.00592139	0.00713044	0.0163216	0.0288214	0.338439	0.531281	0.0631031
é	0.00223903	0.000813463	0.000837081	0.00136458	0.00725891	0.00648769	0.00961504	0.0528976	0.0515979	0.341663	0.363643	0.161583
</S>	0.00218668	0.000638507	0.0050746	0.00550862	0.008723	0.0153222	0.0535275	0.0816069	0.153452	0.0720566	0.0549076	0.546996
