 	il	vomit	de	la	bile	</S>
w	0.955634	0.0349282	0.00665106	0.00162297	0.00044271	0.00072106
a	0.94646	0.0229952	0.0146223	0.0142687	0.0011177	0.000536136
l	0.353329	0.38774	0.155048	0.0503123	0.00434586	0.0492247
á	0.123085	0.292422	0.144835	0.0790693	0.012069	0.34852
a	0.349707	0.226603	0.187704	0.05979	0.0287844	0.147412
l	0.0265623	0.76325	0.122183	0.0345096	0.0130498	0.0404457
ú	0.0498894	0.488157	0.162919	0.123302	0.0779623	0.097771
a	0.0928546	0.126405	0.452285	0.157806	0.0275564	0.143094
e	0.0422612	0.0151128	0.461587	0.340812	0.0597881	0.0804397
n	0.00758754	0.0329214	0.225743	0.440091	0.197866	0.0957908
y	0.0057404	0.130172	0.0598575	0.126524	0.615196	0.0625104
i	0.00113517	0.00862713	0.0253509	0.0531807	0.88232	0.0293861
n	0.000397378	0.0155355	0.0175286	0.0551633	0.737021	0.174354
g	0.00351107	0.01126	0.141371	0.153467	0.231115	0.459276
i	0.101139	0.118877	0.195826	0.118679	0.238947	0.226532
</S>	0.00772651	0.00995056	0.11656	0.0933469	0.0880667	0.684349
