 	il	est	allé	au-devant	des	étrangers	</S>
w	0.849616	0.132514	0.00170389	0.00389351	0.0112226	0.00100017	4.98952e-05
a	0.955816	0.0202678	0.000459557	0.00631943	0.0104182	0.00666925	5.01548e-05
a	0.0603067	0.884266	0.0481268	0.00221151	0.00338644	0.000507688	0.00119478
d	0.0319598	0.628795	0.158962	0.11831	0.0334442	0.00738645	0.021142
z	0.00222668	0.138617	0.843176	0.00600145	0.000666917	0.000257019	0.0090549
w	0.0162397	0.0312468	0.940693	0.00568558	0.00153693	0.000203345	0.00439426
é	0.0104557	0.0209281	0.888275	0.015453	0.0146112	0.000420418	0.0498569
m	0.0169392	0.139056	0.179972	0.508045	0.0939626	0.00542046	0.0566041
ó	0.0557578	0.122267	0.066884	0.375255	0.295298	0.0100137	0.0745243
b	0.0123399	0.0300734	0.0362291	0.620654	0.166714	0.110407	0.0235835
o	0.00221274	0.00420095	0.0100337	0.8317	0.0483492	0.0882985	0.0152047
s	0.000431816	0.00414687	0.011549	0.893492	0.028983	0.0373627	0.0240349
ó	0.00119779	0.0133436	0.0938537	0.661878	0.0894636	0.0139509	0.126313
b	0.00577628	0.0342228	0.00266532	0.256822	0.445116	0.106637	0.148761
á	0.0125668	0.00874762	0.00506755	0.221833	0.278601	0.0586237	0.414561
a	0.0200782	0.00579131	0.0042584	0.0377074	0.479508	0.343414	0.109243
b	0.000968863	0.00946071	0.0151222	0.0281063	0.055356	0.851957	0.0390284
v	0.000818508	0.00191578	0.00117362	0.0504348	0.0684998	0.852737	0.02442
ú	0.00113574	0.00563672	0.00308808	0.150226	0.0390793	0.790571	0.0102633
r	0.0033375	0.00900566	0.000795501	0.215719	0.281632	0.339401	0.15011
u	0.001075	0.000624799	0.00110622	0.0651884	0.321047	0.192974	0.417984
</S>	0.000188253	0.000759456	0.000119076	0.00810738	0.137191	0.18816	0.665475
