 	la	patte	de	l'	éléphant	est	grande	</S>
i	0.880103	0.0286744	0.0382425	0.023995	0.0194973	0.00717404	0.000836662	0.0014771
t	0.0927042	0.841141	0.00738399	0.0188874	0.0197771	0.00596086	0.00916551	0.00498028
í	0.03433	0.899426	0.00486564	0.00450238	0.0489891	0.000778725	0.00469532	0.00241291
n	0.0241652	0.948811	0.00461248	0.00260402	0.00250311	0.00053689	0.0025544	0.0142131
d	0.10043	0.872075	0.00822036	0.00534483	0.00478251	0.000545484	0.00103803	0.00756415
í	0.0872422	0.813383	0.0088963	0.00715246	0.00704896	0.00210079	0.00444211	0.0697344
l	0.249219	0.207468	0.294648	0.0836976	0.0465507	0.0485097	0.00615566	0.0637522
á	0.158725	0.161902	0.156958	0.0769153	0.0773481	0.0394899	0.0191529	0.309509
n	0.333506	0.0649587	0.271257	0.0806591	0.156601	0.0185659	0.0136963	0.0607554
d	0.0905819	0.0158287	0.232709	0.307112	0.19113	0.0158611	0.0359585	0.11082
z	0.00723571	0.0287039	0.0587699	0.122432	0.685889	0.00457736	0.0186783	0.0737142
ω	0.00345752	0.0177171	0.0541353	0.141869	0.580782	0.0101956	0.0884896	0.103353
i	0.0236081	0.0622775	0.0682115	0.121015	0.469182	0.0211299	0.0705839	0.163992
í	0.0113298	0.00264066	0.198839	0.172691	0.0433099	0.418153	0.0324055	0.120631
d	0.072696	0.0297515	0.0785128	0.0392658	0.0139161	0.277072	0.179515	0.309271
í	0.00106911	0.000885593	0.00465496	0.00415032	0.000520568	0.0856169	0.0722939	0.830809
i	0.0192787	0.00315279	0.101053	0.0652032	0.0154377	0.365317	0.208347	0.222212
n	0.01675	0.0134849	0.0149764	0.0113748	0.0187535	0.0346125	0.486389	0.403658
έ	0.0078773	0.0121885	0.0278764	0.0398463	0.0243311	0.0307502	0.602933	0.254197
</S>	0.00181353	0.00121353	0.0121078	0.0118056	0.00522714	0.10529	0.233254	0.629289
