 	il	avantage	les	enfants	de	sa	première	femme	</S>
w	0.909779	0.0342673	0.0251068	0.00674724	0.00325475	0.00771596	0.0130084	3.98218e-05	8.11383e-05
a	0.641529	0.0245833	0.134481	0.0602513	0.0048444	0.0180959	0.114913	0.0012864	1.53285e-05
l	0.447828	0.354725	0.0794528	0.0131761	0.0268503	0.0227623	0.0124211	0.0273965	0.0153875
á	0.143162	0.102578	0.131713	0.0373278	0.076434	0.0380971	0.0146104	0.00752932	0.448548
a	0.235576	0.127608	0.168514	0.116651	0.0424281	0.0605067	0.0520635	0.034663	0.161991
k	0.050162	0.88163	0.0146602	0.00542567	0.0102168	0.00554276	0.00124237	0.00470859	0.0264114
a	0.0439415	0.898624	0.0249154	0.00283976	0.00548623	0.00514821	0.00206504	0.000829886	0.0161497
n	0.0445989	0.768433	0.0892754	0.021844	0.00809268	0.0114659	0.00236636	0.000750313	0.0531739
d	0.104346	0.705741	0.144795	0.014495	0.00922529	0.00565114	0.00233465	0.00016751	0.0132444
í	0.118185	0.501138	0.170016	0.0106438	0.0440161	0.0326408	0.00942448	0.0016052	0.112331
s	0.0694324	0.150332	0.639389	0.100763	0.0145817	0.00947378	0.0108036	0.000314677	0.00490959
á	0.0170428	0.138739	0.546732	0.162552	0.0518939	0.0341135	0.0186223	0.00778895	0.0225159
b	0.0193918	0.0115458	0.484757	0.39523	0.0182098	0.0183185	0.0443844	0.00403176	0.00413072
á	0.00160412	0.0048672	0.0394707	0.943148	0.00233687	0.00189806	0.00341307	0.00250092	0.000760893
n	0.00405293	0.00362445	0.0853028	0.898868	0.00216583	0.00092874	0.00215953	0.00188578	0.00101147
a	0.0688115	0.0176874	0.119608	0.689626	0.0127132	0.010865	0.018391	0.0305395	0.0317585
b	0.0305057	0.129745	0.35741	0.149545	0.227414	0.0648943	0.0198856	0.0029562	0.0176447
á	0.0638115	0.0623617	0.307088	0.24331	0.189332	0.0577413	0.0317039	0.00172608	0.0429248
m	0.0203914	0.0142015	0.285489	0.0903467	0.266289	0.122021	0.151813	0.00560618	0.0438421
w	0.00102507	0.0015002	0.0213986	0.0075143	0.112498	0.111749	0.208273	0.454601	0.0814406
á	0.000126549	0.000166655	0.00147904	0.00599868	0.00441023	0.00406284	0.0106812	0.971283	0.00179181
s	0.01177	0.00859627	0.294947	0.13297	0.0727492	0.0887043	0.365989	0.0156336	0.00864154
í	0.0570797	0.0585147	0.0836777	0.135212	0.100579	0.0721597	0.0451082	0.124646	0.323022
y	0.0126016	0.0182933	0.0697841	0.0229515	0.308563	0.238766	0.124288	0.0441636	0.160588
a	0.00633198	0.017144	0.0441971	0.00386662	0.239931	0.400926	0.147178	0.0570154	0.0834092
w	0.00114718	0.00133795	0.0207286	0.00170385	0.0323207	0.229602	0.672151	0.0220404	0.0189678
a	0.00692579	0.00860292	0.0509055	0.0197416	0.173953	0.348545	0.339862	0.0160511	0.035414
y	0.0013362	0.00209483	0.0187189	0.00342935	0.0999178	0.199757	0.24001	0.0168521	0.417884
a	0.00162518	0.00457525	0.0235702	0.000546473	0.111238	0.354529	0.416598	0.0323565	0.0549621
b	0.00118222	0.00150132	0.0244177	0.0026658	0.0269515	0.171518	0.701426	0.0120341	0.0583031
o	0.00601662	0.00769975	0.0749401	0.102259	0.0623928	0.258935	0.44916	0.0273425	0.0112551
s	0.000561684	0.00643794	0.0280932	0.00153628	0.166335	0.474469	0.123333	0.0113839	0.18785
ó	0.0035995	0.00331271	0.00834301	0.000779477	0.0422379	0.490819	0.143129	0.0255271	0.282252
</S>	0.00334925	0.00456063	0.0151593	0.00209686	0.0498466	0.150672	0.133641	0.0121722	0.628502
