 	mon	épouse	a	défait	le	noeud	qu'	elle	avait	fait	à	son	pagne	</S>
m	0.726203	0.118924	0.0212172	0.00840154	0.0630925	0.0259408	0.0254286	0.00574051	0.00238435	0.000585439	0.00113405	0.000755848	5.03454e-05	0.000141914
w	0.0618711	0.926892	0.00378714	0.000661133	0.00167421	0.000220674	0.000375202	0.00051785	0.00114353	0.000295735	0.000591475	0.00123531	6.31315e-06	0.000728913
á	0.00755544	0.975824	0.00188901	0.00515912	0.00073979	0.00770127	0.000307057	0.000415718	0.000178402	8.72622e-05	6.43833e-05	3.6715e-05	1.83951e-05	2.33959e-05
s	0.923463	0.0595656	0.000846846	0.000298413	0.000935509	0.000762269	0.00367917	0.00406905	0.00166015	0.000403552	0.000340823	0.000272521	2.45492e-05	0.00367866
í	0.374192	0.114715	0.0669914	0.016003	0.00988227	0.0119634	0.0368459	0.0980123	0.0851634	0.036851	0.0158476	0.019828	0.00099005	0.112715
y	0.579863	0.0542999	0.0681058	0.00894574	0.0437473	0.00416431	0.0406897	0.0179503	0.0357744	0.0291249	0.0361482	0.035746	0.00226145	0.0431791
a	0.328719	0.132311	0.166919	0.0789545	0.0215987	0.0335287	0.0429907	0.05934	0.0586139	0.0347364	0.0146824	0.0157095	0.00414887	0.00774676
n	0.852322	0.0268987	0.0238844	0.00252662	0.00671593	0.0025074	0.0232654	0.0251391	0.014116	0.00388204	0.00234133	0.00437978	0.00114295	0.0108777
g	0.990053	0.000861748	0.00429279	0.00104909	0.00133574	0.00016681	0.000190465	0.000194603	0.000494988	0.000290661	0.000370153	0.000393021	2.91687e-05	0.000277704
á	0.566073	0.0506721	0.112852	0.0508336	0.0250828	0.0258276	0.00744893	0.00792923	0.0187861	0.0139687	0.0171226	0.0219671	0.00136998	0.0800664
á	0.118592	0.0421368	0.57637	0.0400394	0.0605272	0.00954637	0.0232677	0.0238731	0.0306513	0.013328	0.018501	0.024048	0.00439184	0.0147266
p	0.00540383	0.00809912	0.735697	0.164497	0.0120759	0.00356407	0.000453526	0.00157624	0.00992046	0.0206386	0.0151225	0.00827228	0.0023243	0.012355
f	0.000912538	0.00539082	0.358469	0.411175	0.0295738	0.0770182	0.00180955	0.00367193	0.0126763	0.0481042	0.0229805	0.00897287	0.00585059	0.0133952
ú	0.0151055	0.00334284	0.364606	0.461409	0.0295218	0.041337	0.000729133	0.00302271	0.0115635	0.038032	0.0166287	0.00505458	0.00385383	0.00579316
s	0.0751423	0.00719608	0.162355	0.530088	0.0762231	0.0499874	0.0035023	0.00352083	0.00671906	0.0155382	0.0138598	0.00536321	0.0195544	0.0309507
u	0.00520443	0.000408614	0.177138	0.549755	0.121785	0.0611203	0.0199502	0.00443625	0.00767374	0.0114774	0.0179969	0.0151787	0.00220011	0.00567522
i	0.0055299	0.000749213	0.106863	0.278985	0.411965	0.0595638	0.0550933	0.0324297	0.0163495	0.0049937	0.00703409	0.00741363	0.0012847	0.0117458
s	0.00187947	0.00181858	0.0472882	0.469075	0.254479	0.156314	0.0121063	0.0127612	0.00954199	0.0105304	0.00911173	0.00612796	0.00230722	0.0066595
ú	0.00113974	0.00134243	0.026852	0.825127	0.0423132	0.0702094	0.00331511	0.00503123	0.00353438	0.00666844	0.00497011	0.00290849	0.000677248	0.00591081
n	0.00232287	0.000554773	0.0195253	0.653659	0.123664	0.110842	0.0148853	0.0148645	0.00783602	0.00700464	0.00715947	0.00508607	0.00340949	0.0291864
g	0.000716674	0.000307739	0.033289	0.516719	0.235401	0.0957953	0.0502467	0.0112568	0.00585308	0.00832501	0.0129637	0.00947426	0.00131478	0.0183369
a	0.00475955	0.000183548	0.0150391	0.184893	0.136547	0.569879	0.0440148	0.0144302	0.00660758	0.00460217	0.00373176	0.003155	0.00103763	0.011119
l	0.00083984	3.50779e-05	0.0177145	0.0298449	0.269807	0.0550962	0.30368	0.100149	0.10201	0.0401976	0.0265618	0.0195643	0.000710804	0.0337889
í	0.00727082	0.000129614	0.0210782	0.0309434	0.118386	0.0457161	0.0845023	0.112122	0.125311	0.0878934	0.0417497	0.0472097	0.00987896	0.267809
