 	c'	est	un	homme	de	bonne	conduite	parmi	tous	les	hommes	que	je	connais	</S>
w	0.534642	0.332559	0.0607653	0.0409513	0.0106072	0.00149367	0.00444376	0.00513492	0.00255804	0.00257056	0.00172828	0.00129273	0.00117014	2.63987e-05	5.65618e-05
a	0.48643	0.372972	0.00732412	0.00328792	0.00457316	0.000692061	0.0346844	0.0305971	0.0168798	0.0279275	0.00566127	0.00234293	0.0064632	0.00012247	4.28187e-05
a	0.25631	0.436663	0.226021	0.0243804	0.0115865	0.00101306	0.00240457	0.0113212	0.00624226	0.00740607	0.00318516	0.00666035	0.00301141	0.000417405	0.00337746
d	0.0475226	0.234738	0.45218	0.111475	0.0454231	0.0189384	0.0174047	0.0104052	0.00849695	0.00448229	0.00460454	0.0116133	0.00810934	0.00709997	0.0175064
í	0.028884	0.254569	0.35769	0.0506089	0.041519	0.0200042	0.00623996	0.0445474	0.0350546	0.016017	0.00139831	0.0114582	0.0111913	0.000384133	0.120435
m	0.00717238	0.0355514	0.231136	0.128669	0.105518	0.105293	0.0250678	0.0530898	0.0336825	0.0230449	0.00972442	0.012416	0.0117686	0.00740545	0.210461
o	0.0300874	0.103849	0.177261	0.188094	0.269867	0.0154335	0.0316136	0.0581795	0.0570356	0.0515544	0.00462661	0.00340249	0.00471597	2.71692e-05	0.00425271
r	0.0368782	0.0251122	0.208394	0.149663	0.113568	0.070428	0.0512362	0.183531	0.0746633	0.0529849	0.0100653	0.00788492	0.00373762	0.00285822	0.00899469
o	0.00965739	0.00970743	0.10589	0.0839147	0.154591	0.0661398	0.0410362	0.150325	0.131701	0.150699	0.00592661	0.0179468	0.0203149	0.000712631	0.0514373
y	0.00957438	0.00383814	0.0366225	0.020918	0.0484972	0.0527684	0.160438	0.330913	0.137024	0.0958271	0.0220332	0.031817	0.00840077	0.00414685	0.0371812
o	0.0150731	0.0196025	0.102144	0.0467209	0.149965	0.0264515	0.0332245	0.193206	0.15876	0.148577	0.0226994	0.0384515	0.00891823	0.013356	0.0228511
b	0.00622321	0.00195052	0.0146989	0.00389885	0.0279166	0.0133449	0.0275711	0.275606	0.254677	0.25361	0.0186954	0.0462036	0.0244861	0.00288752	0.0282305
v	0.00111423	0.00376609	0.00565383	0.0076087	0.00888137	0.0113269	0.27454	0.217047	0.0858374	0.0765433	0.295748	0.00801864	0.000609117	0.000887875	0.00241788
έ	0.000199191	0.000669181	0.00291465	0.0124554	0.01036	0.0439722	0.44802	0.116666	0.0660011	0.0524883	0.223058	0.0075867	0.00116002	0.000853482	0.0135961
s	0.000450126	0.00136832	0.00620802	0.0110045	0.02573	0.0750741	0.0965962	0.0710734	0.157621	0.112722	0.243977	0.0453422	0.00305442	0.00353986	0.14624
á	0.000781075	0.00159385	0.00624609	0.00129009	0.0106879	0.00412604	0.012237	0.162909	0.287041	0.374239	0.0361806	0.0464144	0.0111318	0.00288599	0.0422367
b	0.00430203	0.0020985	0.00499163	0.00174828	0.00464107	0.00335909	0.00599655	0.0851741	0.287279	0.391714	0.0783785	0.0752703	0.0321864	0.0131883	0.00967247
a	0.0021857	0.0141911	0.00707748	0.00239953	0.00340466	0.00161818	0.0307754	0.0703815	0.108146	0.12583	0.586071	0.0321318	0.0092926	0.00166009	0.00483527
r	0.000345071	0.000571011	0.000720943	0.00112301	0.000600774	0.000901188	0.0513547	0.0190359	0.0384066	0.0804056	0.780351	0.0163115	0.00353412	0.000572154	0.00576649
e	0.00227711	0.0043422	0.00458131	0.000906288	0.00551022	0.00673698	0.0214106	0.0435496	0.212756	0.361687	0.0905555	0.0530152	0.0486863	0.000478763	0.143507
b	0.00049491	0.000827912	0.00536752	0.00165944	0.00454705	0.00558681	0.00548001	0.0276369	0.127834	0.21886	0.232865	0.256147	0.0715807	0.0111158	0.0299976
á	0.00310309	0.0108303	0.00970169	0.00439171	0.00496497	0.00408001	0.0291832	0.0862516	0.195874	0.164999	0.323966	0.112683	0.0280468	0.00242552	0.0194999
á	0.00316785	0.00481979	0.0144858	0.00557342	0.00784611	0.00886572	0.0179193	0.0131673	0.0421173	0.0927034	0.284087	0.212474	0.185161	0.0362291	0.0713833
y	0.00053454	0.00150568	0.00876619	0.00617275	0.00639803	0.0426076	0.0101959	0.0107957	0.0263356	0.0340138	0.0150567	0.202663	0.478946	0.105862	0.050146
é	0.000671517	0.000500561	0.00219595	0.000154022	0.000805402	0.00147262	0.000689039	0.00334493	0.0140981	0.0344062	0.00154227	0.0903611	0.553447	0.22634	0.0699719
b	0.000151481	7.01167e-05	0.000834822	0.000114218	0.000495256	0.00201959	0.000660559	0.00191772	0.0122323	0.030949	0.00367302	0.102118	0.292702	0.237015	0.315047
h	7.28526e-05	0.000185289	0.00112185	0.000669516	0.0010801	0.0067739	0.00788679	0.012274	0.0368089	0.0834718	0.0429757	0.234942	0.170506	0.275527	0.125704
á	0.000415149	0.000604184	0.00417402	0.00359462	0.00480394	0.0239125	0.0235399	0.0292747	0.080005	0.0955585	0.119203	0.175934	0.0280324	0.0787796	0.332168
n	0.00278163	0.00240386	0.00597869	0.00522924	0.00989387	0.00693474	0.00584663	0.00787079	0.0169483	0.0276398	0.0217587	0.151786	0.21062	0.176395	0.347912
g	0.000181675	0.000125301	0.0001833	8.01775e-05	0.000240554	0.000251441	0.000376832	0.00131008	0.00462172	0.0199648	0.00200126	0.0206817	0.902815	0.00721891	0.0399473
á	6.03678e-05	0.000274494	0.000570535	0.000104173	0.000231624	0.000152663	0.000205711	0.000788831	0.00232103	0.0111528	0.00253059	0.0116851	0.93834	0.00725243	0.0243298
