 	il	a	arrêté	le	voleur	</S>
w	0.920672	0.0527815	0.00432345	0.0148162	0.00616323	0.00124377
a	0.86714	0.0470638	0.00248545	0.0664881	0.016546	0.000276132
á	0.173027	0.653046	0.116157	0.0390431	0.0106569	0.00807007
m	0.0699851	0.519457	0.299316	0.0710015	0.0070529	0.0331875
i	0.00533666	0.283651	0.478216	0.145234	0.037143	0.0504192
p	0.0039623	0.102477	0.796969	0.0702128	0.00899921	0.0173795
i	0.00881833	0.133592	0.666171	0.133896	0.00164475	0.0558786
á	0.00214618	0.16484	0.629791	0.177103	0.00104131	0.0250784
m	0.0339622	0.1125	0.0466496	0.658343	0.134326	0.014219
ú	0.00067607	0.00127227	0.00183772	0.150749	0.821315	0.0241491
b	8.18312e-05	0.000587329	0.00106559	0.0439984	0.950688	0.00357857
h	0.0202254	0.0149095	0.019131	0.259159	0.286165	0.40041
u	0.0152747	0.0170265	0.0398759	0.304878	0.0975446	0.5254
</S>	0.000741894	0.020229	0.0679923	0.405378	0.0089222	0.496737
