 	la	femme	ramasse	les	brins	d'	herbe	</S>
o	0.942132	0.0472231	0.00166295	0.00475835	0.00154813	0.00231656	0.000182383	0.000176503
y	0.159139	0.811021	0.0236933	0.00274035	0.000848436	0.000585068	0.000691096	0.00128158
ú	0.596203	0.400971	0.00109352	0.000237364	0.000741432	8.25468e-05	0.000155008	0.000515822
r	0.952758	0.0376117	0.0011245	0.000704378	0.000742571	0.000567332	0.000983857	0.00550715
u	0.923017	0.0342188	0.00689927	0.0206916	0.00554664	0.00244809	0.00254762	0.00463058
l	0.445855	0.176422	0.208973	0.0530762	0.0162454	0.0273234	0.014345	0.0577604
á	0.215399	0.072807	0.0965799	0.0667241	0.0357934	0.0742245	0.0592305	0.379241
a	0.312861	0.0275418	0.237771	0.233962	0.0910787	0.0408289	0.016131	0.0398252
t	0.0237636	0.0341043	0.63788	0.166121	0.07895	0.00704559	0.00598512	0.0461502
ώ	0.0234079	0.00345329	0.587811	0.133898	0.15909	0.00852431	0.00583398	0.0779813
ώ	0.00935186	0.00164267	0.568624	0.279933	0.0657309	0.0172108	0.00506193	0.0524446
t	0.0286519	0.00067408	0.086441	0.454262	0.168587	0.242974	0.0110977	0.00731221
s	0.00469371	0.000113025	0.0791931	0.254251	0.434322	0.134347	0.054919	0.0381612
a	0.000447699	4.63277e-06	0.0109523	0.047361	0.823813	0.0659747	0.0463006	0.00514552
l	0.00179529	0.000106568	0.0289218	0.133538	0.616666	0.0694128	0.0640549	0.0855047
e	0.0079648	5.8212e-05	0.0404658	0.22646	0.42658	0.178168	0.0581973	0.0621057
e	0.00166424	2.99226e-05	0.0286334	0.0421642	0.0688486	0.615938	0.128694	0.114027
</S>	0.00285661	0.000167839	0.0131185	0.00977164	0.0456543	0.194989	0.425394	0.308048
