 	apporte-	moi	du	piment	</S>
y	0.671664	0.193657	0.119183	0.0139639	0.00153186
á	0.849763	0.0782707	0.0131795	0.0468034	0.0119835
a	0.642105	0.226918	0.0352582	0.0903334	0.00538585
n	0.17524	0.559042	0.190251	0.0277199	0.047747
g	0.0206494	0.926167	0.0307305	0.00591287	0.01654
á	0.00901406	0.902543	0.0317748	0.0453739	0.0112944
l	0.0495579	0.157246	0.596031	0.107529	0.0896359
a	0.167134	0.491183	0.182889	0.0208302	0.137964
l	0.154229	0.148174	0.187243	0.364307	0.146047
e	0.0725397	0.289267	0.2455	0.264323	0.12837
n	0.0106115	0.0305001	0.123465	0.673493	0.161931
d	0.00835468	0.299556	0.156092	0.43734	0.0986571
ó	0.00588926	0.10745	0.0354922	0.772814	0.0783546
n	0.00343167	0.0418684	0.0230661	0.891224	0.0404097
g	0.0118938	0.0456579	0.10889	0.519537	0.314022
ó	0.0122697	0.0991858	0.0273581	0.811167	0.0500198
</S>	0.00725686	0.04527	0.198963	0.0945275	0.653982
